Date,Close,High
2022-06-25 09:00:00,7.69,7.84
2022-06-26 09:00:00,7.43,7.69
2022-06-27 09:00:00,7.54,8.03
2022-06-28 09:00:00,7.43,8.47
2022-06-29 09:00:00,7.32,7.5
2022-06-30 09:00:00,7.0,7.51
2022-07-01 09:00:00,7.01,7.25
2022-07-02 09:00:00,7.3,8.34
2022-07-03 09:00:00,7.56,8.4
2022-07-04 09:00:00,7.4,7.56
2022-07-05 09:00:00,7.28,7.4
2022-07-06 09:00:00,7.52,8.37
2022-07-07 09:00:00,7.59,7.63
2022-07-08 09:00:00,7.66,7.77
2022-07-09 09:00:00,7.99,8.44
2022-07-10 09:00:00,8.17,9.53
2022-07-11 09:00:00,7.59,8.41
2022-07-12 09:00:00,7.35,7.77
2022-07-13 09:00:00,7.67,7.84
2022-07-14 09:00:00,7.65,7.72
2022-07-15 09:00:00,8.04,8.28
2022-07-16 09:00:00,8.31,8.53
2022-07-17 09:00:00,8.03,8.53
2022-07-18 09:00:00,8.53,9.18
2022-07-19 09:00:00,8.69,8.76
2022-07-20 09:00:00,8.54,9.4
2022-07-21 09:00:00,8.55,8.69
2022-07-22 09:00:00,8.52,8.58
2022-07-23 09:00:00,8.71,8.73
2022-07-24 09:00:00,8.65,9.12
2022-07-25 09:00:00,8.25,8.65
2022-07-26 09:00:00,8.17,8.38
2022-07-27 09:00:00,8.54,8.55
2022-07-28 09:00:00,8.67,8.73
2022-07-29 09:00:00,8.83,9.01
2022-07-30 09:00:00,8.81,9.0
2022-07-31 09:00:00,9.02,9.8
2022-08-01 09:00:00,9.69,10.1
2022-08-02 09:00:00,9.03,10.3
2022-08-03 09:00:00,8.89,9.21
2022-08-04 09:00:00,8.82,8.95
2022-08-05 09:00:00,8.96,9.78
2022-08-06 09:00:00,9.05,9.07
2022-08-07 09:00:00,9.1,9.84
2022-08-08 09:00:00,9.19,9.2
2022-08-09 09:00:00,9.07,9.29
2022-08-10 09:00:00,9.46,9.9
2022-08-11 09:00:00,9.82,10.4
2022-08-12 09:00:00,9.98,9.98
2022-08-13 09:00:00,9.87,9.98
2022-08-14 09:00:00,9.82,10.0
2022-08-15 09:00:00,9.72,9.89
2022-08-16 09:00:00,9.7,9.76
2022-08-17 09:00:00,9.38,9.7
2022-08-18 09:00:00,9.35,9.73
2022-08-19 09:00:00,8.37,9.52
2022-08-20 09:00:00,8.64,8.84
2022-08-21 09:00:00,8.67,8.68
2022-08-22 09:00:00,8.37,8.93
2022-08-23 09:00:00,8.34,8.46
2022-08-24 09:00:00,8.34,8.74
2022-08-25 09:00:00,8.57,8.58
2022-08-26 09:00:00,8.24,8.7
2022-08-27 09:00:00,8.26,8.49
2022-08-28 09:00:00,8.12,8.49
2022-08-29 09:00:00,8.29,8.35
2022-08-30 09:00:00,8.34,8.65
2022-08-31 09:00:00,8.35,8.53
2022-09-01 09:00:00,8.26,8.71
2022-09-02 09:00:00,8.21,8.28
2022-09-03 09:00:00,8.2,8.27
2022-09-04 09:00:00,8.19,8.22
2022-09-05 09:00:00,8.15,8.73
2022-09-06 09:00:00,7.97,8.52
2022-09-07 09:00:00,8.06,8.08
