Date,Close,High
2022-06-25 09:00:00,6.1,6.26
2022-06-26 09:00:00,5.98,6.17
2022-06-27 09:00:00,6.19,6.31
2022-06-28 09:00:00,6.07,6.29
2022-06-29 09:00:00,5.8,6.08
2022-06-30 09:00:00,5.52,5.92
2022-07-01 09:00:00,5.57,5.83
2022-07-02 09:00:00,6.04,7.79
2022-07-03 09:00:00,6.3,7.5
2022-07-04 09:00:00,5.96,6.37
2022-07-05 09:00:00,5.78,5.99
2022-07-06 09:00:00,5.79,6.1
2022-07-07 09:00:00,5.95,5.96
2022-07-08 09:00:00,6.09,6.14
2022-07-09 09:00:00,6.38,6.62
2022-07-10 09:00:00,6.71,8.59
2022-07-11 09:00:00,6.11,6.88
2022-07-12 09:00:00,5.88,6.13
2022-07-13 09:00:00,6.11,6.24
2022-07-14 09:00:00,6.16,6.17
2022-07-15 09:00:00,6.5,6.59
2022-07-16 09:00:00,7.01,7.89
2022-07-17 09:00:00,7.42,8.34
2022-07-18 09:00:00,7.53,7.75
2022-07-19 09:00:00,7.62,7.73
2022-07-20 09:00:00,7.3,7.71
2022-07-21 09:00:00,7.25,7.58
2022-07-22 09:00:00,7.36,7.48
2022-07-23 09:00:00,7.51,7.71
2022-07-24 09:00:00,7.35,7.6
2022-07-25 09:00:00,6.85,7.74
2022-07-26 09:00:00,6.77,7.01
2022-07-27 09:00:00,7.05,7.1
2022-07-28 09:00:00,7.38,7.78
2022-07-29 09:00:00,7.51,7.57
2022-07-30 09:00:00,7.74,8.37
2022-07-31 09:00:00,7.92,8.28
2022-08-01 09:00:00,8.17,9.22
2022-08-02 09:00:00,7.82,8.2
2022-08-03 09:00:00,7.73,8.02
2022-08-04 09:00:00,7.7,7.79
2022-08-05 09:00:00,7.93,8.0
2022-08-06 09:00:00,8.02,8.07
2022-08-07 09:00:00,8.06,8.52
2022-08-08 09:00:00,8.04,8.1
2022-08-09 09:00:00,7.77,8.05
2022-08-10 09:00:00,8.17,8.82
2022-08-11 09:00:00,8.41,9.48
2022-08-12 09:00:00,8.64,8.9
2022-08-13 09:00:00,8.64,8.67
2022-08-14 09:00:00,8.54,8.85
2022-08-15 09:00:00,8.41,8.63
2022-08-16 09:00:00,8.25,8.62
2022-08-17 09:00:00,8.12,8.37
2022-08-18 09:00:00,8.17,8.22
2022-08-19 09:00:00,7.18,8.21
2022-08-20 09:00:00,7.4,7.61
2022-08-21 09:00:00,7.44,7.53
2022-08-22 09:00:00,7.22,7.45
2022-08-23 09:00:00,7.22,7.32
2022-08-24 09:00:00,7.21,7.43
2022-08-25 09:00:00,7.49,7.61
2022-08-26 09:00:00,7.03,7.68
2022-08-27 09:00:00,7.1,7.46
2022-08-28 09:00:00,7.06,7.34
2022-08-29 09:00:00,7.26,7.27
2022-08-30 09:00:00,7.28,7.65
2022-08-31 09:00:00,7.32,7.43
2022-09-01 09:00:00,7.19,7.48
2022-09-02 09:00:00,7.18,7.24
2022-09-03 09:00:00,7.21,7.37
2022-09-04 09:00:00,7.2,7.24
2022-09-05 09:00:00,7.13,7.4
2022-09-06 09:00:00,6.89,7.39
2022-09-07 09:00:00,6.92,6.99
2022-09-08 09:00:00,7.2,7.35
2022-09-09 09:00:00,7.42,7.45
2022-09-10 09:00:00,7.41,7.48
2022-09-11 09:00:00,8.99,9.85
2022-09-12 09:00:00,8.11,9.5
2022-09-13 09:00:00,7.52,8.19
2022-09-14 09:00:00,7.57,7.93
2022-09-15 09:00:00,7.52,8.16
2022-09-16 09:00:00,7.42,7.55
2022-09-17 09:00:00,7.64,8.14
2022-09-18 09:00:00,7.39,8.82
2022-09-19 09:00:00,7.44,7.98
2022-09-20 09:00:00,7.09,7.46
2022-09-21 09:00:00,6.95,7.33
2022-09-22 09:00:00,7.14,7.16
2022-09-23 09:00:00,7.16,7.35
2022-09-24 09:00:00,7.21,7.31
2022-09-25 09:00:00,7.24,7.83
2022-09-26 09:00:00,7.06,7.27
2022-09-27 09:00:00,7.03,7.13
2022-09-28 09:00:00,6.99,7.05
2022-09-29 09:00:00,6.92,6.99
2022-09-30 09:00:00,6.99,7.1
2022-10-01 09:00:00,6.97,7.0
2022-10-02 09:00:00,6.86,6.98
2022-10-03 09:00:00,6.91,6.93
2022-10-04 09:00:00,6.94,6.96
2022-10-05 09:00:00,6.89,6.96
2022-10-06 09:00:00,6.91,6.93
2022-10-07 09:00:00,6.88,6.92
2022-10-08 09:00:00,7.0,7.33
2022-10-09 09:00:00,6.99,7.18
2022-10-10 09:00:00,6.91,7.6
2022-10-11 09:00:00,6.72,6.92
2022-10-12 09:00:00,6.75,7.07
2022-10-13 09:00:00,6.53,6.82
2022-10-14 09:00:00,6.59,6.62
2022-10-15 09:00:00,6.55,6.85
2022-10-16 09:00:00,6.53,6.58
2022-10-17 09:00:00,6.68,6.75
2022-10-18 09:00:00,6.62,6.95
2022-10-19 09:00:00,6.35,6.64
2022-10-20 09:00:00,6.28,6.58
2022-10-21 09:00:00,6.28,6.83
2022-10-22 09:00:00,6.23,6.29
2022-10-23 09:00:00,6.5,7.22
2022-10-24 09:00:00,6.39,6.58
2022-10-25 09:00:00,6.49,6.66
2022-10-26 09:00:00,6.47,6.53
2022-10-27 09:00:00,6.36,6.5
2022-10-28 09:00:00,6.38,6.4
2022-10-29 09:00:00,6.39,6.4
2022-10-30 09:00:00,6.33,6.68
2022-10-31 09:00:00,6.37,6.43
2022-11-01 09:00:00,6.37,6.4
2022-11-02 09:00:00,6.28,6.38
2022-11-03 09:00:00,6.35,6.48
2022-11-04 09:00:00,6.48,6.5
2022-11-05 09:00:00,6.49,6.57
2022-11-06 09:00:00,6.47,6.54
2022-11-07 09:00:00,6.33,6.8
2022-11-08 09:00:00,5.62,6.35
2022-11-09 09:00:00,4.2,5.64
2022-11-10 09:00:00,4.74,4.78
2022-11-11 09:00:00,4.56,4.83
2022-11-12 09:00:00,4.25,4.77
2022-11-13 09:00:00,3.94,4.35
2022-11-14 09:00:00,3.88,3.97
2022-11-15 09:00:00,4.04,4.19
2022-11-16 09:00:00,4.08,4.27
2022-11-17 09:00:00,4.0,4.09
2022-11-18 09:00:00,4.12,4.25
2022-11-19 09:00:00,7.16,7.86
2022-11-20 09:00:00,8.89,12.0
2022-11-21 09:00:00,9.24,10.5
2022-11-22 09:00:00,8.24,10.1
2022-11-23 09:00:00,7.85,8.76
2022-11-24 09:00:00,7.03,7.86
2022-11-25 09:00:00,6.73,7.48
2022-11-26 09:00:00,8.88,9.13
2022-11-27 09:00:00,9.08,10.7
2022-11-28 09:00:00,8.37,9.25
2022-11-29 09:00:00,8.82,9.15
2022-11-30 09:00:00,8.93,8.95
2022-12-01 09:00:00,8.54,8.98
2022-12-02 09:00:00,8.63,9.06
2022-12-03 09:00:00,8.77,9.03
2022-12-04 09:00:00,8.56,8.77
2022-12-05 09:00:00,8.04,8.57
2022-12-06 09:00:00,8.14,8.46
2022-12-07 09:00:00,7.75,8.13
2022-12-08 09:00:00,8.11,8.54
2022-12-09 09:00:00,8.19,8.41
2022-12-10 09:00:00,7.93,8.26
2022-12-11 09:00:00,7.81,8.12
2022-12-12 09:00:00,7.48,8.0
2022-12-13 09:00:00,7.33,7.62
2022-12-14 09:00:00,7.54,7.68
2022-12-15 09:00:00,7.3,7.59
2022-12-16 09:00:00,6.61,7.31
2022-12-17 09:00:00,6.75,7.12
2022-12-18 09:00:00,6.57,6.75
2022-12-19 09:00:00,5.96,6.72
2022-12-20 09:00:00,6.55,7.04
2022-12-21 09:00:00,6.47,6.95
2022-12-22 09:00:00,6.28,6.63
2022-12-23 09:00:00,6.34,6.49
2022-12-24 09:00:00,6.3,6.36
2022-12-25 09:00:00,6.13,6.3
2022-12-26 09:00:00,5.96,6.11
2022-12-27 09:00:00,5.86,6.16
2022-12-28 09:00:00,5.58,6.03
2022-12-29 09:00:00,5.42,5.58
2022-12-30 09:00:00,5.33,5.65
2022-12-31 09:00:00,5.64,5.98
2023-01-01 09:00:00,5.64,5.84
2023-01-02 09:00:00,5.65,5.73
2023-01-03 09:00:00,5.62,5.65
2023-01-04 09:00:00,5.69,5.72
2023-01-05 09:00:00,5.65,5.74
2023-01-06 09:00:00,5.56,5.65
2023-01-07 09:00:00,5.6,5.7
2023-01-08 09:00:00,5.65,5.66
2023-01-09 09:00:00,6.05,6.16
2023-01-10 09:00:00,6.07,6.08
2023-01-11 09:00:00,6.03,6.08
2023-01-12 09:00:00,6.18,6.35
2023-01-13 09:00:00,6.32,6.35
2023-01-14 09:00:00,6.56,6.65
2023-01-15 09:00:00,8.26,10.1
2023-01-16 09:00:00,7.9,8.86
2023-01-17 09:00:00,7.68,7.9
2023-01-18 09:00:00,7.11,7.68
2023-01-19 09:00:00,7.36,7.45
2023-01-20 09:00:00,7.77,7.77
2023-01-21 09:00:00,7.8,8.18
2023-01-22 09:00:00,7.89,8.04
2023-01-23 09:00:00,8.06,8.12
2023-01-24 09:00:00,7.68,8.56
2023-01-25 09:00:00,7.89,8.28
2023-01-26 09:00:00,7.85,7.95
2023-01-27 09:00:00,8.2,8.48
2023-01-28 09:00:00,8.1,8.98
2023-01-29 09:00:00,8.1,8.14
2023-01-30 09:00:00,7.72,8.49
2023-01-31 09:00:00,7.8,7.98
2023-02-01 09:00:00,8.19,8.2
2023-02-02 09:00:00,8.32,8.38
2023-02-03 09:00:00,8.59,8.6
2023-02-04 09:00:00,8.63,8.78
2023-02-05 09:00:00,8.2,8.88
2023-02-06 09:00:00,8.32,8.39
2023-02-07 09:00:00,8.32,8.35
2023-02-08 09:00:00,9.65,9.74
2023-02-09 09:00:00,8.52,9.98
2023-02-10 09:00:00,8.4,8.77
2023-02-11 09:00:00,8.44,8.48
2023-02-12 09:00:00,8.75,9.07
