Date,Close,High
2022-06-24 09:00:00,49.7,49.7
2022-06-25 09:00:00,49.0,51.0
2022-06-26 09:00:00,46.7,49.0
2022-06-27 09:00:00,51.0,51.0
2022-06-28 09:00:00,48.8,53.7
2022-06-29 09:00:00,46.6,48.7
2022-06-30 09:00:00,44.0,47.1
2022-07-01 09:00:00,44.1,46.2
2022-07-02 09:00:00,45.2,46.5
2022-07-03 09:00:00,45.8,46.6
2022-07-04 09:00:00,45.8,46.1
2022-07-05 09:00:00,45.3,46.0
2022-07-06 09:00:00,45.6,45.7
2022-07-07 09:00:00,46.5,46.7
2022-07-08 09:00:00,47.4,47.6
2022-07-09 09:00:00,48.6,48.7
2022-07-10 09:00:00,47.5,52.7
2022-07-11 09:00:00,44.1,48.6
2022-07-12 09:00:00,43.3,50.4
2022-07-13 09:00:00,44.4,45.5
2022-07-14 09:00:00,45.1,47.1
2022-07-15 09:00:00,46.3,47.1
2022-07-16 09:00:00,46.9,47.1
2022-07-17 09:00:00,48.2,52.1
2022-07-18 09:00:00,49.6,49.8
2022-07-19 09:00:00,50.9,51.0
2022-07-20 09:00:00,49.0,55.5
2022-07-21 09:00:00,49.2,50.3
2022-07-22 09:00:00,48.5,49.8
2022-07-23 09:00:00,48.3,48.9
2022-07-24 09:00:00,48.4,49.2
2022-07-25 09:00:00,46.3,48.6
2022-07-26 09:00:00,45.7,48.5
2022-07-27 09:00:00,47.8,48.1
2022-07-28 09:00:00,49.2,49.2
2022-07-29 09:00:00,49.5,52.3
2022-07-30 09:00:00,49.7,51.8
2022-07-31 09:00:00,51.8,52.9
2022-08-01 09:00:00,55.0,57.0
2022-08-02 09:00:00,54.0,66.5
2022-08-03 09:00:00,51.9,54.0
2022-08-04 09:00:00,52.0,52.4
2022-08-05 09:00:00,52.9,52.9
2022-08-06 09:00:00,53.3,55.3
2022-08-07 09:00:00,54.3,58.1
2022-08-08 09:00:00,54.1,54.4
2022-08-09 09:00:00,53.7,59.0
2022-08-10 09:00:00,57.1,63.2
2022-08-11 09:00:00,59.5,60.4
2022-08-12 09:00:00,59.7,61.7
2022-08-13 09:00:00,60.0,61.1
2022-08-14 09:00:00,60.4,62.8
2022-08-15 09:00:00,59.0,60.5
2022-08-16 09:00:00,57.5,59.2
2022-08-17 09:00:00,57.3,61.6
2022-08-18 09:00:00,56.7,59.0
2022-08-19 09:00:00,49.9,56.8
2022-08-20 09:00:00,50.6,51.8
2022-08-21 09:00:00,50.9,51.4
2022-08-22 09:00:00,49.7,51.0
2022-08-23 09:00:00,49.9,50.2
2022-08-24 09:00:00,50.2,50.8
2022-08-25 09:00:00,52.4,54.5
2022-08-26 09:00:00,48.9,53.3
2022-08-27 09:00:00,49.0,52.1
2022-08-28 09:00:00,47.7,49.9
2022-08-29 09:00:00,49.1,50.1
2022-08-30 09:00:00,62.5,67.7
2022-08-31 09:00:00,58.2,64.9
2022-09-01 09:00:00,56.4,58.3
2022-09-02 09:00:00,54.4,57.2
2022-09-03 09:00:00,53.4,54.5
2022-09-04 09:00:00,53.3,53.8
2022-09-05 09:00:00,52.7,53.2
2022-09-06 09:00:00,49.3,52.8
2022-09-07 09:00:00,50.2,50.3
2022-09-08 09:00:00,51.3,51.9
2022-09-09 09:00:00,52.5,52.6
2022-09-10 09:00:00,52.1,52.5
2022-09-11 09:00:00,52.5,53.3
2022-09-12 09:00:00,53.0,55.2
2022-09-13 09:00:00,49.0,53.0
2022-09-14 09:00:00,49.4,49.7
2022-09-15 09:00:00,48.6,51.4
2022-09-16 09:00:00,48.5,49.6
2022-09-17 09:00:00,48.8,49.4
2022-09-18 09:00:00,46.0,51.1
2022-09-19 09:00:00,46.3,47.4
2022-09-20 09:00:00,45.6,46.7
2022-09-21 09:00:00,44.9,47.1
2022-09-22 09:00:00,46.4,46.7
2022-09-23 09:00:00,46.9,50.9
2022-09-24 09:00:00,47.0,48.2
2022-09-25 09:00:00,46.3,48.7
2022-09-26 09:00:00,46.9,46.9
2022-09-27 09:00:00,46.3,47.4
2022-09-28 09:00:00,45.9,46.7
2022-09-29 09:00:00,47.0,51.1
2022-09-30 09:00:00,46.8,48.5
2022-10-01 09:00:00,46.1,46.9
2022-10-02 09:00:00,45.5,46.6
2022-10-03 09:00:00,45.9,45.9
2022-10-04 09:00:00,46.0,46.1
2022-10-05 09:00:00,45.5,46.1
2022-10-06 09:00:00,45.3,45.8
2022-10-07 09:00:00,45.5,46.7
2022-10-08 09:00:00,46.0,46.4
2022-10-09 09:00:00,45.9,46.4
2022-10-10 09:00:00,44.8,46.2
2022-10-11 09:00:00,43.6,44.9
2022-10-12 09:00:00,43.5,46.0
2022-10-13 09:00:00,43.4,45.7
2022-10-14 09:00:00,42.8,44.5
2022-10-15 09:00:00,42.5,43.1
2022-10-16 09:00:00,42.8,42.9
2022-10-17 09:00:00,43.4,43.5
2022-10-18 09:00:00,43.9,46.1
2022-10-19 09:00:00,42.2,44.7
2022-10-20 09:00:00,42.5,43.9
2022-10-21 09:00:00,42.2,42.5
2022-10-22 09:00:00,42.3,43.0
2022-10-23 09:00:00,42.7,43.4
2022-10-24 09:00:00,42.1,43.8
2022-10-25 09:00:00,43.4,43.7
2022-10-26 09:00:00,43.6,43.6
2022-10-27 09:00:00,42.7,43.7
2022-10-28 09:00:00,42.9,43.0
2022-10-29 09:00:00,43.0,43.3
2022-10-30 09:00:00,43.0,43.5
2022-10-31 09:00:00,43.3,43.5
2022-11-01 09:00:00,43.8,46.1
2022-11-02 09:00:00,43.5,43.9
2022-11-03 09:00:00,44.9,46.0
2022-11-04 09:00:00,46.8,49.7
2022-11-05 09:00:00,46.9,47.5
2022-11-06 09:00:00,44.8,51.0
2022-11-07 09:00:00,46.8,52.0
2022-11-08 09:00:00,40.9,46.9
2022-11-09 09:00:00,30.0,43.8
2022-11-10 09:00:00,34.3,34.4
2022-11-11 09:00:00,33.5,38.1
2022-11-12 09:00:00,32.2,35.7
2022-11-13 09:00:00,30.1,35.0
2022-11-14 09:00:00,29.8,31.2
2022-11-15 09:00:00,31.2,35.7
2022-11-16 09:00:00,31.5,33.4
2022-11-17 09:00:00,31.8,32.2
2022-11-18 09:00:00,32.6,33.0
2022-11-19 09:00:00,34.8,36.7
2022-11-20 09:00:00,33.3,37.2
2022-11-21 09:00:00,32.8,34.9
2022-11-22 09:00:00,35.5,37.3
2022-11-23 09:00:00,37.6,38.4
2022-11-24 09:00:00,36.5,41.4
2022-11-25 09:00:00,34.8,36.5
2022-11-26 09:00:00,34.8,36.2
2022-11-27 09:00:00,34.5,35.1
2022-11-28 09:00:00,33.1,34.5
2022-11-29 09:00:00,33.5,33.7
2022-11-30 09:00:00,34.1,34.2
2022-12-01 09:00:00,34.0,35.5
2022-12-02 09:00:00,34.0,35.5
2022-12-03 09:00:00,33.8,34.1
2022-12-04 09:00:00,33.6,33.9
2022-12-05 09:00:00,32.8,33.8
2022-12-06 09:00:00,32.9,33.1
2022-12-07 09:00:00,31.7,33.3
2022-12-08 09:00:00,32.1,32.3
2022-12-09 09:00:00,32.7,32.8
2022-12-10 09:00:00,33.6,33.6
2022-12-11 09:00:00,32.3,33.6
2022-12-12 09:00:00,31.5,32.5
2022-12-13 09:00:00,31.5,32.2
2022-12-14 09:00:00,31.1,32.7
2022-12-15 09:00:00,30.8,32.4
2022-12-16 09:00:00,28.2,31.0
2022-12-17 09:00:00,27.7,28.7
2022-12-18 09:00:00,27.8,27.9
2022-12-19 09:00:00,25.7,28.5
2022-12-20 09:00:00,26.8,27.6
2022-12-21 09:00:00,27.2,29.8
2022-12-22 09:00:00,27.0,28.1
2022-12-23 09:00:00,27.0,27.2
2022-12-24 09:00:00,27.3,27.3
2022-12-25 09:00:00,26.6,27.6
2022-12-26 09:00:00,25.8,26.7
2022-12-27 09:00:00,24.5,25.9
2022-12-28 09:00:00,22.8,24.5
2022-12-29 09:00:00,22.3,22.9
2022-12-30 09:00:00,21.6,22.7
2022-12-31 09:00:00,22.3,23.6
2023-01-01 09:00:00,22.8,23.3
2023-01-02 09:00:00,23.1,23.3
2023-01-03 09:00:00,23.0,23.2
2023-01-04 09:00:00,23.4,23.7
2023-01-05 09:00:00,23.6,24.7
2023-01-06 09:00:00,23.3,24.2
2023-01-07 09:00:00,23.8,24.1
2023-01-08 09:00:00,24.5,24.5
2023-01-09 09:00:00,25.0,25.4
2023-01-10 09:00:00,30.5,33.4
2023-01-11 09:00:00,28.5,32.9
2023-01-12 09:00:00,28.3,28.5
2023-01-13 09:00:00,29.3,29.5
2023-01-14 09:00:00,30.1,31.1
2023-01-15 09:00:00,30.8,34.8
2023-01-16 09:00:00,30.7,31.3
2023-01-17 09:00:00,44.2,49.6
2023-01-18 09:00:00,36.2,46.8
2023-01-19 09:00:00,36.4,37.2
2023-01-20 09:00:00,38.0,38.0
2023-01-21 09:00:00,37.3,38.5
2023-01-22 09:00:00,36.9,37.5
2023-01-23 09:00:00,39.5,41.9
2023-01-24 09:00:00,37.4,43.2
2023-01-25 09:00:00,38.9,41.4
2023-01-26 09:00:00,39.2,40.2
2023-01-27 09:00:00,39.6,39.9
2023-01-28 09:00:00,39.1,39.8
2023-01-29 09:00:00,39.5,42.0
2023-01-30 09:00:00,35.9,39.5
2023-01-31 09:00:00,36.4,37.3
2023-02-01 09:00:00,37.1,37.5
2023-02-02 09:00:00,39.3,40.1
2023-02-03 09:00:00,42.3,46.4
2023-02-04 09:00:00,45.8,54.2
2023-02-05 09:00:00,43.1,50.5
2023-02-06 09:00:00,43.3,48.1
2023-02-07 09:00:00,45.1,47.7
2023-02-08 09:00:00,44.3,45.1
2023-02-09 09:00:00,40.9,44.2
2023-02-10 09:00:00,42.0,44.2
2023-02-11 09:00:00,42.2,43.6
2023-02-12 09:00:00,40.8,42.7
2023-02-13 09:00:00,39.7,41.5
2023-02-14 09:00:00,40.3,40.6
2023-02-15 09:00:00,44.3,44.5
2023-02-16 09:00:00,44.9,50.0
2023-02-17 09:00:00,46.8,46.9
2023-02-18 09:00:00,46.4,46.8
2023-02-19 09:00:00,45.7,46.4
2023-02-20 09:00:00,46.6,46.9
2023-02-21 09:00:00,45.9,46.9
2023-02-22 09:00:00,45.9,46.3
2023-02-23 09:00:00,46.2,46.4
2023-02-24 09:00:00,49.5,52.6
2023-02-25 09:00:00,46.5,49.5
2023-02-26 09:00:00,47.4,49.6
2023-02-27 09:00:00,46.7,47.5
2023-02-28 09:00:00,47.7,50.2
2023-03-01 09:00:00,46.9,47.7
2023-03-02 09:00:00,45.1,46.9
2023-03-03 09:00:00,42.1,45.7
2023-03-04 09:00:00,42.0,43.1
2023-03-05 09:00:00,41.8,43.1
2023-03-06 09:00:00,41.1,41.9
2023-03-07 09:00:00,40.9,43.0
2023-03-08 09:00:00,39.3,41.2
2023-03-09 09:00:00,36.7,39.6
2023-03-10 09:00:00,36.8,37.0
2023-03-11 09:00:00,36.8,38.9
2023-03-12 09:00:00,38.2,38.4
2023-03-13 09:00:00,42.1,43.8
2023-03-14 09:00:00,43.7,43.8
2023-03-15 09:00:00,41.6,44.4
2023-03-16 09:00:00,42.1,42.9
2023-03-17 09:00:00,44.0,44.0
2023-03-18 09:00:00,42.7,44.1
2023-03-19 09:00:00,42.7,43.2
2023-03-20 09:00:00,41.8,42.8
2023-03-21 09:00:00,40.7,41.8
2023-03-22 09:00:00,39.5,41.3
2023-03-23 09:00:00,40.7,41.2
2023-03-24 09:00:00,41.1,41.7
2023-03-25 09:00:00,40.3,41.5
2023-03-26 09:00:00,40.4,40.6
2023-03-27 09:00:00,38.7,40.6
2023-03-28 09:00:00,39.0,39.8
2023-03-29 09:00:00,40.7,40.7
2023-03-30 09:00:00,40.0,40.9
2023-03-31 09:00:00,40.6,40.6
2023-04-01 09:00:00,41.8,42.1
2023-04-02 09:00:00,40.3,42.0
2023-04-03 09:00:00,40.3,42.6
2023-04-04 09:00:00,40.8,41.3
2023-04-05 09:00:00,45.7,46.2
2023-04-06 09:00:00,43.2,46.0
2023-04-07 09:00:00,41.7,43.9
2023-04-08 09:00:00,42.5,50.5
2023-04-09 09:00:00,40.9,42.5
2023-04-10 09:00:00,41.0,41.8
2023-04-11 09:00:00,41.2,41.2
2023-04-12 09:00:00,40.6,41.2
2023-04-13 09:00:00,40.6,40.8
2023-04-14 09:00:00,40.7,41.0
2023-04-15 09:00:00,40.9,41.6
2023-04-16 09:00:00,41.1,41.3
2023-04-17 09:00:00,40.4,41.2
2023-04-18 09:00:00,40.7,41.1
2023-04-19 09:00:00,39.2,41.7
2023-04-20 09:00:00,39.4,39.8
2023-04-21 09:00:00,41.2,42.8
2023-04-22 09:00:00,40.4,41.2
2023-04-23 09:00:00,39.4,40.8
2023-04-24 09:00:00,39.5,41.4
2023-04-25 09:00:00,40.2,40.3
2023-04-26 09:00:00,40.1,40.7
2023-04-27 09:00:00,40.2,40.4
2023-04-28 09:00:00,40.3,40.3
2023-04-29 09:00:00,40.4,43.5
2023-04-30 09:00:00,40.0,40.5
2023-05-01 09:00:00,39.0,40.0
2023-05-02 09:00:00,39.1,39.5
2023-05-03 09:00:00,39.8,42.3
2023-05-04 09:00:00,41.1,44.5
2023-05-05 09:00:00,40.0,41.1
2023-05-06 09:00:00,39.6,41.2
2023-05-07 09:00:00,39.1,40.5
2023-05-08 09:00:00,38.4,40.1
2023-05-09 09:00:00,37.9,38.5
2023-05-10 09:00:00,38.2,38.9
2023-05-11 09:00:00,37.2,38.7
2023-05-12 09:00:00,37.1,37.4
2023-05-13 09:00:00,37.0,37.5
2023-05-14 09:00:00,37.0,37.6
2023-05-15 09:00:00,37.3,37.7
2023-05-16 09:00:00,37.0,37.4
2023-05-17 09:00:00,37.0,37.2
2023-05-18 09:00:00,36.8,37.9
2023-05-19 09:00:00,37.1,37.8
2023-05-20 09:00:00,37.2,37.4
2023-05-21 09:00:00,36.5,37.3
2023-05-22 09:00:00,36.0,36.5
2023-05-23 09:00:00,35.7,36.5
2023-05-24 09:00:00,34.3,35.7
2023-05-25 09:00:00,33.7,34.5
2023-05-26 09:00:00,33.4,33.7
2023-05-27 09:00:00,33.5,33.5
2023-05-28 09:00:00,34.2,34.6
2023-05-29 09:00:00,34.1,34.8
2023-05-30 09:00:00,33.9,34.5
2023-05-31 09:00:00,33.2,33.9
2023-06-01 09:00:00,32.7,33.3
2023-06-02 09:00:00,33.1,33.2
2023-06-03 09:00:00,33.2,33.5
2023-06-04 09:00:00,33.1,33.8
2023-06-05 09:00:00,31.6,34.1
2023-06-06 09:00:00,31.7,32.2
2023-06-07 09:00:00,31.5,33.3
2023-06-08 09:00:00,31.3,31.8
2023-06-09 09:00:00,31.8,32.4
2023-06-10 09:00:00,29.1,32.2
2023-06-11 09:00:00,29.3,30.0
2023-06-12 09:00:00,28.7,29.3
2023-06-13 09:00:00,28.2,29.1
2023-06-14 09:00:00,26.6,28.4
