Date,Close,High
2022-06-25 09:00:00,6.26,6.44
2022-06-26 09:00:00,6.09,6.42
2022-06-27 09:00:00,6.2,6.37
2022-06-28 09:00:00,6.2,6.37
2022-06-29 09:00:00,6.03,6.21
2022-06-30 09:00:00,5.77,6.16
2022-07-01 09:00:00,5.82,6.0
2022-07-02 09:00:00,6.05,6.31
2022-07-03 09:00:00,6.11,6.45
2022-07-04 09:00:00,6.06,6.14
2022-07-05 09:00:00,5.92,6.07
2022-07-06 09:00:00,6.02,6.11
2022-07-07 09:00:00,6.1,6.13
2022-07-08 09:00:00,6.15,6.16
2022-07-09 09:00:00,6.36,6.74
2022-07-10 09:00:00,6.34,6.95
2022-07-11 09:00:00,5.93,6.45
2022-07-12 09:00:00,5.72,6.0
2022-07-13 09:00:00,5.8,5.9
2022-07-14 09:00:00,5.82,5.86
2022-07-15 09:00:00,5.92,6.02
2022-07-16 09:00:00,6.06,6.27
2022-07-17 09:00:00,6.07,6.26
2022-07-18 09:00:00,6.25,6.27
2022-07-19 09:00:00,6.46,6.5
2022-07-20 09:00:00,6.27,6.6
2022-07-21 09:00:00,6.27,6.31
2022-07-22 09:00:00,6.21,6.33
2022-07-23 09:00:00,6.22,6.26
2022-07-24 09:00:00,6.23,6.27
2022-07-25 09:00:00,5.98,6.23
2022-07-26 09:00:00,6.01,6.09
2022-07-27 09:00:00,6.21,6.23
2022-07-28 09:00:00,6.32,6.33
2022-07-29 09:00:00,6.34,6.38
2022-07-30 09:00:00,6.33,6.53
2022-07-31 09:00:00,6.5,7.07
2022-08-01 09:00:00,7.92,10.2
2022-08-02 09:00:00,6.87,8.35
2022-08-03 09:00:00,6.78,7.07
2022-08-04 09:00:00,6.71,6.87
2022-08-05 09:00:00,6.86,7.3
2022-08-06 09:00:00,6.9,6.94
2022-08-07 09:00:00,6.94,6.98
2022-08-08 09:00:00,6.96,6.99
2022-08-09 09:00:00,6.8,6.96
2022-08-10 09:00:00,7.67,9.25
2022-08-11 09:00:00,7.7,8.86
2022-08-12 09:00:00,7.77,8.08
2022-08-13 09:00:00,7.74,7.81
2022-08-14 09:00:00,7.87,8.32
2022-08-15 09:00:00,7.68,7.9
2022-08-16 09:00:00,7.53,7.84
2022-08-17 09:00:00,7.44,7.72
2022-08-18 09:00:00,7.59,8.05
2022-08-19 09:00:00,7.12,8.12
2022-08-20 09:00:00,7.54,8.06
2022-08-21 09:00:00,7.48,7.55
2022-08-22 09:00:00,7.54,7.64
2022-08-23 09:00:00,7.41,7.55
2022-08-24 09:00:00,7.61,8.06
2022-08-25 09:00:00,7.72,7.84
2022-08-26 09:00:00,7.82,8.07
2022-08-27 09:00:00,7.8,7.88
2022-08-28 09:00:00,7.94,8.14
2022-08-29 09:00:00,8.24,8.24
2022-08-30 09:00:00,8.49,9.4
2022-08-31 09:00:00,8.23,8.91
2022-09-01 09:00:00,8.0,8.24
2022-09-02 09:00:00,7.9,8.0
2022-09-03 09:00:00,7.96,8.19
2022-09-04 09:00:00,7.78,7.99
