Date,Close,High
2022-06-25 09:00:00,39.4,39.7
2022-06-26 09:00:00,38.6,39.6
2022-06-27 09:00:00,39.7,41.3
2022-06-28 09:00:00,39.3,41.6
2022-06-29 09:00:00,37.9,39.7
2022-06-30 09:00:00,36.4,37.9
2022-07-01 09:00:00,38.0,39.5
2022-07-02 09:00:00,39.4,41.4
2022-07-03 09:00:00,39.8,40.1
2022-07-04 09:00:00,41.8,50.9
2022-07-05 09:00:00,40.5,46.2
2022-07-06 09:00:00,39.6,40.6
2022-07-07 09:00:00,40.2,40.4
2022-07-08 09:00:00,40.2,40.8
2022-07-09 09:00:00,41.1,41.3
2022-07-10 09:00:00,39.2,41.2
2022-07-11 09:00:00,36.8,39.2
2022-07-12 09:00:00,37.5,39.2
2022-07-13 09:00:00,38.2,38.9
2022-07-14 09:00:00,38.7,39.3
2022-07-15 09:00:00,39.6,40.3
2022-07-16 09:00:00,39.9,40.1
2022-07-17 09:00:00,39.1,40.1
2022-07-18 09:00:00,40.8,41.0
2022-07-19 09:00:00,42.4,42.4
2022-07-20 09:00:00,40.3,43.5
2022-07-21 09:00:00,40.6,40.8
2022-07-22 09:00:00,41.2,41.8
2022-07-23 09:00:00,40.8,41.4
2022-07-24 09:00:00,40.7,41.0
2022-07-25 09:00:00,38.0,40.8
2022-07-26 09:00:00,38.3,39.9
2022-07-27 09:00:00,40.1,40.2
2022-07-28 09:00:00,41.2,41.4
2022-07-29 09:00:00,41.6,41.8
2022-07-30 09:00:00,41.6,42.8
2022-07-31 09:00:00,42.9,44.4
2022-08-01 09:00:00,45.5,45.6
2022-08-02 09:00:00,43.5,47.5
2022-08-03 09:00:00,42.9,43.7
2022-08-04 09:00:00,42.6,43.3
2022-08-05 09:00:00,43.6,43.7
2022-08-06 09:00:00,44.2,46.4
2022-08-07 09:00:00,43.9,44.6
2022-08-08 09:00:00,45.0,45.7
2022-08-09 09:00:00,43.0,45.0
2022-08-10 09:00:00,44.6,44.7
2022-08-11 09:00:00,45.9,49.4
2022-08-12 09:00:00,46.7,48.0
2022-08-13 09:00:00,47.4,48.2
2022-08-14 09:00:00,47.0,47.7
2022-08-15 09:00:00,46.8,47.4
2022-08-16 09:00:00,46.0,46.8
2022-08-17 09:00:00,44.8,46.9
2022-08-18 09:00:00,44.6,45.4
2022-08-19 09:00:00,39.6,44.9
2022-08-20 09:00:00,40.4,40.7
2022-08-21 09:00:00,40.7,40.7
2022-08-22 09:00:00,39.6,40.7
2022-08-23 09:00:00,39.6,41.0
2022-08-24 09:00:00,39.7,41.5
2022-08-25 09:00:00,41.4,44.2
2022-08-26 09:00:00,39.2,42.9
2022-08-27 09:00:00,39.6,43.4
2022-08-28 09:00:00,39.4,40.9
2022-08-29 09:00:00,40.3,40.6
2022-08-30 09:00:00,40.1,41.6
2022-08-31 09:00:00,40.2,41.1
2022-09-01 09:00:00,39.8,40.3
2022-09-02 09:00:00,39.4,40.3
2022-09-03 09:00:00,39.5,39.8
2022-09-04 09:00:00,39.7,39.8
2022-09-05 09:00:00,39.3,39.7
2022-09-06 09:00:00,38.0,39.8
2022-09-07 09:00:00,38.8,39.2
2022-09-08 09:00:00,40.5,43.2
2022-09-09 09:00:00,41.5,41.5
2022-09-10 09:00:00,41.1,41.5
2022-09-11 09:00:00,41.9,43.1
2022-09-12 09:00:00,44.5,49.1
2022-09-13 09:00:00,40.8,45.6
2022-09-14 09:00:00,40.9,41.4
2022-09-15 09:00:00,40.3,41.1
2022-09-16 09:00:00,41.8,43.5
2022-09-17 09:00:00,43.5,49.4
2022-09-18 09:00:00,39.6,45.1
2022-09-19 09:00:00,40.0,40.5
2022-09-20 09:00:00,40.7,43.2
