,0
Start,2022-06-25 09:00:00
End,2023-07-29 09:00:00
Duration,399 days 00:00:00
Exposure Time [%],94.75
Equity Final [$],5480.244600000002
Equity Peak [$],11021.274399999998
Return [%],-45.19755399999998
Buy & Hold Return [%],-14.21319796954315
Return (Ann.) [%],-42.23630744492377
Volatility (Ann.) [%],46.51038831507005
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-64.71539080816278
Avg. Drawdown [%],-21.129597984883873
Max. Drawdown Duration,350 days 00:00:00
Avg. Drawdown Duration,95 days 00:00:00
# Trades,18
ticker,RANK-2-KRW-SNT
explain,# Explain RANK-2-KRW-SNT 
