Date,Close,High
2022-06-25 09:00:00,56.1,57.0
2022-06-26 09:00:00,56.3,58.4
2022-06-27 09:00:00,57.7,58.3
2022-06-28 09:00:00,55.8,58.5
2022-06-29 09:00:00,54.4,59.4
2022-06-30 09:00:00,52.8,55.8
2022-07-01 09:00:00,52.3,53.4
2022-07-02 09:00:00,53.4,54.9
2022-07-03 09:00:00,53.9,54.7
2022-07-04 09:00:00,54.5,54.9
2022-07-05 09:00:00,55.1,55.5
2022-07-06 09:00:00,55.4,55.7
2022-07-07 09:00:00,63.3,66.5
2022-07-08 09:00:00,66.3,78.5
2022-07-09 09:00:00,62.4,66.4
2022-07-10 09:00:00,58.3,62.5
2022-07-11 09:00:00,56.2,58.3
2022-07-12 09:00:00,59.7,60.0
2022-07-13 09:00:00,59.9,60.4
2022-07-14 09:00:00,58.7,60.0
2022-07-15 09:00:00,62.2,67.7
2022-07-16 09:00:00,61.4,62.3
2022-07-17 09:00:00,59.8,61.5
2022-07-18 09:00:00,61.8,61.8
2022-07-19 09:00:00,63.8,63.9
2022-07-20 09:00:00,60.4,66.6
2022-07-21 09:00:00,60.9,61.6
2022-07-22 09:00:00,60.4,61.4
2022-07-23 09:00:00,61.8,64.0
2022-07-24 09:00:00,60.9,62.3
2022-07-25 09:00:00,57.5,61.7
2022-07-26 09:00:00,57.0,57.6
2022-07-27 09:00:00,59.3,60.2
2022-07-28 09:00:00,60.3,60.6
2022-07-29 09:00:00,60.6,61.5
2022-07-30 09:00:00,60.7,62.2
2022-07-31 09:00:00,62.5,69.6
2022-08-01 09:00:00,65.8,77.2
2022-08-02 09:00:00,62.5,66.6
2022-08-03 09:00:00,63.3,66.2
2022-08-04 09:00:00,62.6,63.8
2022-08-05 09:00:00,65.0,67.4
2022-08-06 09:00:00,66.5,69.4
2022-08-07 09:00:00,66.0,69.0
2022-08-08 09:00:00,66.2,66.6
2022-08-09 09:00:00,64.2,66.4
2022-08-10 09:00:00,67.1,73.7
2022-08-11 09:00:00,72.2,72.9
2022-08-12 09:00:00,72.9,74.2
2022-08-13 09:00:00,71.2,73.6
2022-08-14 09:00:00,74.0,82.1
2022-08-15 09:00:00,72.0,77.4
2022-08-16 09:00:00,69.7,72.1
2022-08-17 09:00:00,67.8,71.3
2022-08-18 09:00:00,68.8,70.9
2022-08-19 09:00:00,60.6,70.4
2022-08-20 09:00:00,61.7,64.6
2022-08-21 09:00:00,62.3,63.8
2022-08-22 09:00:00,60.6,62.3
2022-08-23 09:00:00,61.3,63.2
2022-08-24 09:00:00,61.3,63.4
2022-08-25 09:00:00,64.8,67.3
2022-08-26 09:00:00,60.1,65.5
2022-08-27 09:00:00,60.9,64.5
2022-08-28 09:00:00,59.5,62.6
2022-08-29 09:00:00,61.4,62.6
2022-08-30 09:00:00,61.5,65.1
2022-08-31 09:00:00,62.8,66.8
2022-09-01 09:00:00,63.3,66.5
2022-09-02 09:00:00,62.1,63.6
2022-09-03 09:00:00,61.4,62.6
2022-09-04 09:00:00,61.6,61.8
2022-09-05 09:00:00,61.0,61.6
2022-09-06 09:00:00,58.0,61.5
2022-09-07 09:00:00,59.3,59.8
2022-09-08 09:00:00,61.9,65.9
2022-09-09 09:00:00,63.6,65.5
2022-09-10 09:00:00,63.2,64.9
2022-09-11 09:00:00,65.1,69.2
2022-09-12 09:00:00,68.4,78.1
2022-09-13 09:00:00,63.2,70.3
2022-09-14 09:00:00,63.2,64.9
2022-09-15 09:00:00,62.0,64.4
2022-09-16 09:00:00,63.9,64.5
2022-09-17 09:00:00,64.2,64.4
2022-09-18 09:00:00,59.7,64.5
2022-09-19 09:00:00,60.2,62.1
2022-09-20 09:00:00,58.8,60.4
2022-09-21 09:00:00,60.7,62.5
2022-09-22 09:00:00,63.5,63.6
2022-09-23 09:00:00,62.7,64.1
2022-09-24 09:00:00,62.3,63.2
2022-09-25 09:00:00,61.4,62.6
2022-09-26 09:00:00,60.8,64.0
2022-09-27 09:00:00,61.1,62.0
2022-09-28 09:00:00,60.6,61.2
2022-09-29 09:00:00,60.1,61.2
2022-09-30 09:00:00,61.1,61.6
2022-10-01 09:00:00,60.6,62.0
2022-10-02 09:00:00,59.7,61.6
2022-10-03 09:00:00,60.2,60.5
2022-10-04 09:00:00,60.4,60.7
2022-10-05 09:00:00,60.8,61.5
2022-10-06 09:00:00,60.1,60.9
2022-10-07 09:00:00,61.2,61.4
2022-10-08 09:00:00,62.0,65.2
2022-10-09 09:00:00,61.2,62.0
2022-10-10 09:00:00,62.8,65.7
2022-10-11 09:00:00,59.7,62.7
2022-10-12 09:00:00,59.4,60.6
2022-10-13 09:00:00,57.5,61.9
2022-10-14 09:00:00,57.3,59.4
2022-10-15 09:00:00,57.5,58.2
2022-10-16 09:00:00,59.1,60.6
2022-10-17 09:00:00,60.0,62.1
2022-10-18 09:00:00,59.9,62.3
2022-10-19 09:00:00,58.1,60.9
2022-10-20 09:00:00,58.3,59.5
2022-10-21 09:00:00,58.0,58.7
2022-10-22 09:00:00,58.9,59.2
2022-10-23 09:00:00,59.8,60.0
2022-10-24 09:00:00,60.5,60.7
2022-10-25 09:00:00,61.1,61.5
2022-10-26 09:00:00,60.7,61.4
2022-10-27 09:00:00,59.5,61.2
2022-10-28 09:00:00,60.2,60.3
2022-10-29 09:00:00,60.0,60.7
2022-10-30 09:00:00,59.5,60.2
2022-10-31 09:00:00,60.0,60.4
2022-11-01 09:00:00,60.2,61.0
2022-11-02 09:00:00,58.4,60.2
2022-11-03 09:00:00,59.3,60.8
2022-11-04 09:00:00,60.4,60.7
2022-11-05 09:00:00,60.7,61.3
2022-11-06 09:00:00,59.6,61.0
2022-11-07 09:00:00,59.4,61.4
2022-11-08 09:00:00,51.7,59.6
2022-11-09 09:00:00,37.3,52.1
2022-11-10 09:00:00,42.9,43.1
2022-11-11 09:00:00,40.6,46.9
2022-11-12 09:00:00,40.0,46.7
2022-11-13 09:00:00,37.7,42.5
2022-11-14 09:00:00,37.6,39.7
2022-11-15 09:00:00,38.7,39.4
2022-11-16 09:00:00,38.6,39.9
2022-11-17 09:00:00,37.8,38.7
2022-11-18 09:00:00,39.2,39.9
2022-11-19 09:00:00,41.6,44.5
2022-11-20 09:00:00,39.2,46.0
2022-11-21 09:00:00,40.8,45.3
2022-11-22 09:00:00,42.9,43.0
2022-11-23 09:00:00,45.2,45.9
2022-11-24 09:00:00,46.6,66.7
2022-11-25 09:00:00,42.8,46.5
2022-11-26 09:00:00,44.0,45.6
2022-11-27 09:00:00,42.9,44.4
2022-11-28 09:00:00,41.3,43.1
2022-11-29 09:00:00,41.8,42.5
2022-11-30 09:00:00,42.6,43.0
2022-12-01 09:00:00,43.3,45.9
2022-12-02 09:00:00,42.9,45.2
2022-12-03 09:00:00,42.3,43.0
2022-12-04 09:00:00,42.5,42.9
2022-12-05 09:00:00,41.5,42.7
2022-12-06 09:00:00,42.1,42.8
2022-12-07 09:00:00,40.4,43.4
2022-12-08 09:00:00,40.8,42.0
2022-12-09 09:00:00,42.3,42.7
2022-12-10 09:00:00,43.3,46.1
2022-12-11 09:00:00,41.8,43.3
2022-12-12 09:00:00,40.8,41.9
2022-12-13 09:00:00,41.6,41.9
2022-12-14 09:00:00,40.8,42.0
2022-12-15 09:00:00,39.9,41.2
2022-12-16 09:00:00,36.7,40.8
2022-12-17 09:00:00,36.7,38.2
2022-12-18 09:00:00,36.8,37.2
2022-12-19 09:00:00,34.1,37.7
2022-12-20 09:00:00,36.2,36.5
2022-12-21 09:00:00,36.7,38.5
2022-12-22 09:00:00,36.2,37.1
2022-12-23 09:00:00,37.8,38.0
2022-12-24 09:00:00,38.3,38.5
2022-12-25 09:00:00,37.1,38.3
2022-12-26 09:00:00,36.4,37.7
2022-12-27 09:00:00,34.9,36.4
2022-12-28 09:00:00,33.0,35.3
2022-12-29 09:00:00,32.9,33.2
2022-12-30 09:00:00,31.8,33.2
2022-12-31 09:00:00,33.0,33.6
2023-01-01 09:00:00,33.0,33.4
2023-01-02 09:00:00,33.3,33.7
2023-01-03 09:00:00,33.2,33.4
2023-01-04 09:00:00,34.4,34.6
2023-01-05 09:00:00,35.2,39.6
2023-01-06 09:00:00,35.0,35.5
2023-01-07 09:00:00,35.5,36.9
2023-01-08 09:00:00,36.6,36.7
2023-01-09 09:00:00,37.1,37.7
2023-01-10 09:00:00,38.4,41.0
2023-01-11 09:00:00,38.6,38.8
2023-01-12 09:00:00,38.9,39.2
2023-01-13 09:00:00,40.1,40.4
2023-01-14 09:00:00,41.4,42.1
2023-01-15 09:00:00,42.9,45.9
2023-01-16 09:00:00,42.6,43.2
2023-01-17 09:00:00,44.7,50.7
2023-01-18 09:00:00,40.9,44.9
2023-01-19 09:00:00,42.5,42.6
2023-01-20 09:00:00,44.7,46.8
2023-01-21 09:00:00,46.9,53.5
2023-01-22 09:00:00,46.7,47.5
2023-01-23 09:00:00,49.0,49.0
2023-01-24 09:00:00,46.6,51.0
2023-01-25 09:00:00,48.9,53.9
2023-01-26 09:00:00,52.1,52.9
2023-01-27 09:00:00,52.8,65.0
2023-01-28 09:00:00,51.7,53.4
2023-01-29 09:00:00,51.8,52.4
2023-01-30 09:00:00,49.7,51.9
2023-01-31 09:00:00,50.5,51.4
2023-02-01 09:00:00,52.2,54.7
2023-02-02 09:00:00,55.8,56.3
2023-02-03 09:00:00,61.4,69.5
2023-02-04 09:00:00,58.7,61.5
2023-02-05 09:00:00,56.3,59.5
2023-02-06 09:00:00,56.4,57.1
2023-02-07 09:00:00,58.1,61.7
2023-02-08 09:00:00,58.4,58.5
2023-02-09 09:00:00,55.8,64.7
2023-02-10 09:00:00,55.4,56.4
2023-02-11 09:00:00,55.5,55.5
2023-02-12 09:00:00,54.9,58.3
2023-02-13 09:00:00,55.9,59.7
2023-02-14 09:00:00,56.8,56.8
2023-02-15 09:00:00,61.4,61.5
2023-02-16 09:00:00,59.5,65.7
2023-02-17 09:00:00,63.0,63.1
2023-02-18 09:00:00,63.0,63.4
2023-02-19 09:00:00,62.5,63.0
2023-02-20 09:00:00,66.3,66.4
2023-02-21 09:00:00,64.8,67.7
2023-02-22 09:00:00,64.9,65.2
