,0
Start,2022-06-24 09:00:00
End,2023-07-28 09:00:00
Duration,399 days 00:00:00
Exposure Time [%],94.0
Equity Final [$],6968.01
Equity Peak [$],12422.16
Return [%],-30.3199
Buy & Hold Return [%],-26.147186147186147
Return (Ann.) [%],-28.082141270024852
Volatility (Ann.) [%],66.69616812598366
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-66.29072560649679
Avg. Drawdown [%],-17.29475756851188
Max. Drawdown Duration,349 days 00:00:00
Avg. Drawdown Duration,74 days 00:00:00
# Trades,19
ticker,RANK-3-KRW-DAWN
explain,# Explain RANK-3-KRW-DAWN 
