Date,Close,High
2022-06-25 09:00:00,63.9,65.3
2022-06-26 09:00:00,63.4,69.8
2022-06-27 09:00:00,64.3,64.8
2022-06-28 09:00:00,63.1,65.4
2022-06-29 09:00:00,60.7,64.5
2022-06-30 09:00:00,59.5,60.9
2022-07-01 09:00:00,58.5,59.7
2022-07-02 09:00:00,59.7,62.9
2022-07-03 09:00:00,60.4,62.2
2022-07-04 09:00:00,60.6,60.9
2022-07-05 09:00:00,59.1,60.6
2022-07-06 09:00:00,59.5,59.6
2022-07-07 09:00:00,60.7,61.7
2022-07-08 09:00:00,62.3,68.3
2022-07-09 09:00:00,62.3,62.8
2022-07-10 09:00:00,60.8,66.4
2022-07-11 09:00:00,57.8,60.9
2022-07-12 09:00:00,56.8,59.3
2022-07-13 09:00:00,58.1,59.5
2022-07-14 09:00:00,60.0,64.0
2022-07-15 09:00:00,61.5,61.9
2022-07-16 09:00:00,61.5,62.0
2022-07-17 09:00:00,60.3,62.8
2022-07-18 09:00:00,62.5,62.5
2022-07-19 09:00:00,64.7,65.5
2022-07-20 09:00:00,62.0,66.9
2022-07-21 09:00:00,63.4,63.5
2022-07-22 09:00:00,62.7,65.8
2022-07-23 09:00:00,62.5,63.4
2022-07-24 09:00:00,62.8,63.6
2022-07-25 09:00:00,59.3,62.8
2022-07-26 09:00:00,59.6,62.6
2022-07-27 09:00:00,61.6,61.9
2022-07-28 09:00:00,62.9,63.0
2022-07-29 09:00:00,63.0,63.4
2022-07-30 09:00:00,63.0,64.5
2022-07-31 09:00:00,65.3,70.2
2022-08-01 09:00:00,68.9,74.0
2022-08-02 09:00:00,66.3,76.5
2022-08-03 09:00:00,65.7,67.1
2022-08-04 09:00:00,66.1,68.0
2022-08-05 09:00:00,68.1,68.3
2022-08-06 09:00:00,74.2,87.2
2022-08-07 09:00:00,72.0,80.5
2022-08-08 09:00:00,71.4,75.5
2022-08-09 09:00:00,69.6,71.5
2022-08-10 09:00:00,71.2,71.5
2022-08-11 09:00:00,71.8,79.8
2022-08-12 09:00:00,72.7,73.2
2022-08-13 09:00:00,73.9,77.3
2022-08-14 09:00:00,75.0,78.7
2022-08-15 09:00:00,73.4,75.0
2022-08-16 09:00:00,70.7,73.5
2022-08-17 09:00:00,69.2,72.0
2022-08-18 09:00:00,69.3,70.2
2022-08-19 09:00:00,61.6,69.3
2022-08-20 09:00:00,62.5,63.8
2022-08-21 09:00:00,63.7,66.5
2022-08-22 09:00:00,62.5,65.6
2022-08-23 09:00:00,63.0,63.7
2022-08-24 09:00:00,62.7,64.1
2022-08-25 09:00:00,64.7,69.9
2022-08-26 09:00:00,61.5,68.9
2022-08-27 09:00:00,62.1,67.9
2022-08-28 09:00:00,60.1,63.1
2022-08-29 09:00:00,66.0,74.9
2022-08-30 09:00:00,63.7,67.3
2022-08-31 09:00:00,62.9,64.3
2022-09-01 09:00:00,62.0,63.2
2022-09-02 09:00:00,61.8,62.6
2022-09-03 09:00:00,61.9,62.3
2022-09-04 09:00:00,61.8,62.1
2022-09-05 09:00:00,60.9,61.9
2022-09-06 09:00:00,58.8,61.8
2022-09-07 09:00:00,59.7,60.0
2022-09-08 09:00:00,61.8,62.7
2022-09-09 09:00:00,63.5,64.3
2022-09-10 09:00:00,63.2,63.8
2022-09-11 09:00:00,64.2,65.2
2022-09-12 09:00:00,65.1,67.3
2022-09-13 09:00:00,60.2,65.1
2022-09-14 09:00:00,60.6,61.9
2022-09-15 09:00:00,59.5,62.1
2022-09-16 09:00:00,59.9,62.1
2022-09-17 09:00:00,60.0,60.4
2022-09-18 09:00:00,56.7,60.4
2022-09-19 09:00:00,58.2,59.9
2022-09-20 09:00:00,56.7,58.3
2022-09-21 09:00:00,56.4,58.8
2022-09-22 09:00:00,58.1,58.5
2022-09-23 09:00:00,58.6,61.1
2022-09-24 09:00:00,58.4,59.4
2022-09-25 09:00:00,59.0,62.0
2022-09-26 09:00:00,58.3,59.4
2022-09-27 09:00:00,57.5,58.8
2022-09-28 09:00:00,57.5,59.8
2022-09-29 09:00:00,57.7,59.2
2022-09-30 09:00:00,58.1,58.6
2022-10-01 09:00:00,57.7,58.3
2022-10-02 09:00:00,57.3,57.9
2022-10-03 09:00:00,57.7,57.7
2022-10-04 09:00:00,58.0,58.0
2022-10-05 09:00:00,57.2,61.7
2022-10-06 09:00:00,57.2,58.4
2022-10-07 09:00:00,57.1,58.0
2022-10-08 09:00:00,57.7,58.0
2022-10-09 09:00:00,57.8,58.7
2022-10-10 09:00:00,56.4,58.4
2022-10-11 09:00:00,55.3,57.2
2022-10-12 09:00:00,55.3,56.7
2022-10-13 09:00:00,53.6,56.0
2022-10-14 09:00:00,53.6,55.1
2022-10-15 09:00:00,54.1,54.7
2022-10-16 09:00:00,53.6,54.1
2022-10-17 09:00:00,54.7,55.1
2022-10-18 09:00:00,53.9,57.4
2022-10-19 09:00:00,52.5,57.1
2022-10-20 09:00:00,52.0,52.7
2022-10-21 09:00:00,51.8,52.2
2022-10-22 09:00:00,51.8,52.3
2022-10-23 09:00:00,52.3,53.2
2022-10-24 09:00:00,53.1,53.7
2022-10-25 09:00:00,54.0,54.3
2022-10-26 09:00:00,53.9,54.4
2022-10-27 09:00:00,53.3,57.2
2022-10-28 09:00:00,53.4,53.7
2022-10-29 09:00:00,54.3,56.3
2022-10-30 09:00:00,53.7,54.4
2022-10-31 09:00:00,53.6,54.0
2022-11-01 09:00:00,53.8,54.0
2022-11-02 09:00:00,52.4,53.8
2022-11-03 09:00:00,53.0,53.6
2022-11-04 09:00:00,54.7,54.8
2022-11-05 09:00:00,54.9,55.9
2022-11-06 09:00:00,53.5,55.6
2022-11-07 09:00:00,53.2,54.6
2022-11-08 09:00:00,47.3,57.3
2022-11-09 09:00:00,34.7,48.1
2022-11-10 09:00:00,39.6,39.9
2022-11-11 09:00:00,37.8,41.9
2022-11-12 09:00:00,36.5,39.4
2022-11-13 09:00:00,33.8,42.4
2022-11-14 09:00:00,33.3,35.0
2022-11-15 09:00:00,34.5,34.9
2022-11-16 09:00:00,34.5,38.5
2022-11-17 09:00:00,33.9,34.6
2022-11-18 09:00:00,35.1,36.5
2022-11-19 09:00:00,37.8,44.4
2022-11-20 09:00:00,35.4,39.7
2022-11-21 09:00:00,34.9,38.8
2022-11-22 09:00:00,58.1,58.2
2022-11-23 09:00:00,58.6,70.9
2022-11-24 09:00:00,45.7,59.7
2022-11-25 09:00:00,42.3,45.7
2022-11-26 09:00:00,44.9,50.5
2022-11-27 09:00:00,43.6,47.4
2022-11-28 09:00:00,41.6,44.3
2022-11-29 09:00:00,44.8,45.7
2022-11-30 09:00:00,43.7,44.9
2022-12-01 09:00:00,44.2,48.7
2022-12-02 09:00:00,46.0,49.3
2022-12-03 09:00:00,45.5,47.0
2022-12-04 09:00:00,45.3,46.7
2022-12-05 09:00:00,43.4,45.4
2022-12-06 09:00:00,43.1,44.5
2022-12-07 09:00:00,41.1,43.2
2022-12-08 09:00:00,42.8,43.8
2022-12-09 09:00:00,42.5,43.4
2022-12-10 09:00:00,42.4,43.3
2022-12-11 09:00:00,41.5,42.7
