,0
Start,2022-06-25 09:00:00
End,2023-07-29 09:00:00
Duration,399 days 00:00:00
Exposure Time [%],93.0
Equity Final [$],12297.119999999999
Equity Peak [$],21353.674
Return [%],22.97119999999999
Buy & Hold Return [%],-13.982300884955754
Return (Ann.) [%],20.766258809844018
Volatility (Ann.) [%],143.44080632430178
Sharpe Ratio,0.14477232345511287
Sortino Ratio,0.42672393943305054
Calmar Ratio,0.34974723922006623
Max. Drawdown [%],-59.37504712303841
Avg. Drawdown [%],-20.057216146038506
Max. Drawdown Duration,191 days 00:00:00
Avg. Drawdown Duration,62 days 00:00:00
# Trades,19
ticker,RANK-3-KRW-HUNT
explain,# Explain RANK-3-KRW-HUNT 
