,0
Start,2022-06-25 09:00:00
End,2023-07-29 09:00:00
Duration,399 days 00:00:00
Exposure Time [%],93.75
Equity Final [$],5335.138599999997
Equity Peak [$],12708.557999999999
Return [%],-46.64861400000003
Buy & Hold Return [%],-25.925925925925924
Return (Ann.) [%],-43.63357939527881
Volatility (Ann.) [%],36.46468544652901
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-61.718709549895465
Avg. Drawdown [%],-18.36772757684198
Max. Drawdown Duration,351 days 00:00:00
Avg. Drawdown Duration,93 days 00:00:00
# Trades,18
ticker,RANK-4-KRW-ARDR
explain,# Explain RANK-4-KRW-ARDR 
