Date,Close,High
2022-06-24 09:00:00,5.95,6.0
2022-06-25 09:00:00,5.91,6.18
2022-06-26 09:00:00,5.72,5.93
2022-06-27 09:00:00,5.87,5.92
2022-06-28 09:00:00,5.76,5.94
2022-06-29 09:00:00,5.55,5.81
2022-06-30 09:00:00,5.34,5.71
2022-07-01 09:00:00,5.4,6.1
2022-07-02 09:00:00,5.6,6.44
2022-07-03 09:00:00,5.82,6.14
2022-07-04 09:00:00,5.69,5.86
2022-07-05 09:00:00,5.53,5.69
2022-07-06 09:00:00,5.56,5.63
2022-07-07 09:00:00,5.66,5.69
2022-07-08 09:00:00,5.72,5.75
2022-07-09 09:00:00,6.2,7.16
2022-07-10 09:00:00,5.99,7.11
2022-07-11 09:00:00,5.58,6.05
2022-07-12 09:00:00,5.36,5.66
2022-07-13 09:00:00,5.48,5.77
2022-07-14 09:00:00,5.51,5.53
2022-07-15 09:00:00,5.62,5.67
2022-07-16 09:00:00,5.76,6.14
2022-07-17 09:00:00,5.71,6.02
2022-07-18 09:00:00,5.93,5.94
2022-07-19 09:00:00,6.14,6.31
2022-07-20 09:00:00,5.94,6.3
2022-07-21 09:00:00,5.95,6.02
2022-07-22 09:00:00,5.97,6.04
2022-07-23 09:00:00,5.93,6.01
2022-07-24 09:00:00,5.97,5.99
2022-07-25 09:00:00,5.71,5.97
2022-07-26 09:00:00,5.66,5.76
2022-07-27 09:00:00,5.94,6.22
2022-07-28 09:00:00,6.04,6.1
2022-07-29 09:00:00,6.06,6.12
2022-07-30 09:00:00,6.1,6.33
2022-07-31 09:00:00,6.21,6.75
2022-08-01 09:00:00,6.67,7.15
2022-08-02 09:00:00,6.3,6.8
2022-08-03 09:00:00,6.27,6.42
2022-08-04 09:00:00,6.28,6.4
2022-08-05 09:00:00,6.44,6.96
2022-08-06 09:00:00,6.58,6.84
2022-08-07 09:00:00,6.59,6.66
2022-08-08 09:00:00,6.62,6.64
2022-08-09 09:00:00,6.44,6.64
2022-08-10 09:00:00,6.8,7.58
2022-08-11 09:00:00,6.96,7.63
2022-08-12 09:00:00,7.11,7.22
2022-08-13 09:00:00,7.06,7.14
2022-08-14 09:00:00,7.14,7.3
2022-08-15 09:00:00,7.06,7.15
2022-08-16 09:00:00,6.84,7.12
2022-08-17 09:00:00,6.78,7.0
2022-08-18 09:00:00,6.77,6.89
2022-08-19 09:00:00,6.1,6.9
2022-08-20 09:00:00,6.23,6.34
2022-08-21 09:00:00,6.26,6.33
2022-08-22 09:00:00,6.09,6.4
2022-08-23 09:00:00,6.08,6.12
2022-08-24 09:00:00,6.07,6.2
2022-08-25 09:00:00,6.33,6.53
2022-08-26 09:00:00,6.02,6.4
2022-08-27 09:00:00,6.06,6.28
2022-08-28 09:00:00,5.93,6.23
2022-08-29 09:00:00,6.06,6.22
2022-08-30 09:00:00,6.18,6.51
2022-08-31 09:00:00,6.19,6.3
2022-09-01 09:00:00,6.16,6.79
2022-09-02 09:00:00,6.11,6.17
2022-09-03 09:00:00,6.13,6.22
2022-09-04 09:00:00,6.11,6.14
2022-09-05 09:00:00,6.1,6.36
2022-09-06 09:00:00,6.08,6.82
2022-09-07 09:00:00,6.12,6.13
2022-09-08 09:00:00,6.23,6.33
2022-09-09 09:00:00,6.44,6.48
2022-09-10 09:00:00,6.39,6.44
2022-09-11 09:00:00,6.55,6.76
2022-09-12 09:00:00,6.52,6.65
2022-09-13 09:00:00,6.05,6.52
2022-09-14 09:00:00,6.13,6.25
2022-09-15 09:00:00,6.08,6.16
2022-09-16 09:00:00,6.05,6.12
2022-09-17 09:00:00,6.11,6.13
2022-09-18 09:00:00,5.77,6.15
2022-09-19 09:00:00,5.82,5.89
2022-09-20 09:00:00,5.68,5.83
2022-09-21 09:00:00,5.65,5.79
2022-09-22 09:00:00,5.85,5.9
2022-09-23 09:00:00,5.96,6.15
2022-09-24 09:00:00,5.97,6.19
2022-09-25 09:00:00,5.85,6.11
2022-09-26 09:00:00,5.79,5.86
2022-09-27 09:00:00,5.82,5.88
2022-09-28 09:00:00,5.76,5.83
2022-09-29 09:00:00,5.74,5.81
2022-09-30 09:00:00,5.76,5.95
2022-10-01 09:00:00,5.77,5.81
2022-10-02 09:00:00,5.71,5.79
2022-10-03 09:00:00,5.74,5.74
2022-10-04 09:00:00,5.78,5.79
2022-10-05 09:00:00,5.71,5.78
2022-10-06 09:00:00,5.7,5.73
2022-10-07 09:00:00,5.72,5.73
2022-10-08 09:00:00,5.76,5.94
2022-10-09 09:00:00,5.79,6.08
2022-10-10 09:00:00,5.66,5.84
2022-10-11 09:00:00,5.55,5.66
2022-10-12 09:00:00,5.55,5.57
2022-10-13 09:00:00,5.4,5.71
2022-10-14 09:00:00,5.41,5.57
2022-10-15 09:00:00,5.4,5.59
2022-10-16 09:00:00,5.43,5.44
2022-10-17 09:00:00,5.52,5.56
2022-10-18 09:00:00,5.46,5.6
2022-10-19 09:00:00,5.3,5.53
2022-10-20 09:00:00,5.27,5.6
2022-10-21 09:00:00,5.29,5.5
2022-10-22 09:00:00,5.31,5.42
2022-10-23 09:00:00,5.38,5.54
2022-10-24 09:00:00,5.53,5.57
2022-10-25 09:00:00,5.59,5.67
2022-10-26 09:00:00,5.6,5.65
2022-10-27 09:00:00,5.44,5.61
2022-10-28 09:00:00,5.47,5.48
2022-10-29 09:00:00,5.5,5.51
2022-10-30 09:00:00,5.42,5.5
2022-10-31 09:00:00,5.47,5.5
2022-11-01 09:00:00,5.47,5.49
2022-11-02 09:00:00,5.34,5.47
2022-11-03 09:00:00,5.43,5.54
2022-11-04 09:00:00,5.54,5.56
2022-11-05 09:00:00,5.56,5.59
2022-11-06 09:00:00,5.45,5.56
2022-11-07 09:00:00,5.42,5.5
2022-11-08 09:00:00,4.88,5.43
2022-11-09 09:00:00,3.93,4.9
2022-11-10 09:00:00,4.43,4.43
2022-11-11 09:00:00,4.2,4.49
2022-11-12 09:00:00,3.96,4.54
2022-11-13 09:00:00,3.69,3.98
2022-11-14 09:00:00,3.61,4.02
2022-11-15 09:00:00,3.69,3.78
2022-11-16 09:00:00,3.68,3.98
2022-11-17 09:00:00,3.63,3.69
2022-11-18 09:00:00,3.7,3.72
2022-11-19 09:00:00,4.03,4.43
2022-11-20 09:00:00,3.82,4.42
2022-11-21 09:00:00,3.83,4.15
2022-11-22 09:00:00,3.98,4.0
2022-11-23 09:00:00,4.26,4.26
2022-11-24 09:00:00,4.27,4.53
2022-11-25 09:00:00,4.11,4.27
2022-11-26 09:00:00,4.21,4.34
2022-11-27 09:00:00,4.08,4.24
2022-11-28 09:00:00,3.98,4.14
2022-11-29 09:00:00,4.01,4.09
2022-11-30 09:00:00,4.05,4.09
2022-12-01 09:00:00,4.04,4.24
2022-12-02 09:00:00,4.12,4.47
2022-12-03 09:00:00,4.15,4.28
2022-12-04 09:00:00,4.2,4.2
2022-12-05 09:00:00,4.13,4.21
2022-12-06 09:00:00,4.12,4.16
2022-12-07 09:00:00,4.09,4.33
2022-12-08 09:00:00,4.31,4.42
2022-12-09 09:00:00,4.66,4.66
2022-12-10 09:00:00,4.44,4.68
2022-12-11 09:00:00,4.25,4.44
2022-12-12 09:00:00,4.2,4.27
2022-12-13 09:00:00,4.25,4.92
2022-12-14 09:00:00,4.1,4.26
2022-12-15 09:00:00,4.02,4.12
2022-12-16 09:00:00,3.66,4.05
2022-12-17 09:00:00,3.59,3.7
2022-12-18 09:00:00,3.65,3.72
2022-12-19 09:00:00,3.39,3.64
2022-12-20 09:00:00,3.53,3.62
2022-12-21 09:00:00,3.56,3.94
2022-12-22 09:00:00,3.57,3.77
2022-12-23 09:00:00,3.62,3.65
2022-12-24 09:00:00,3.71,3.86
2022-12-25 09:00:00,3.58,3.71
2022-12-26 09:00:00,3.53,3.69
2022-12-27 09:00:00,3.45,3.54
2022-12-28 09:00:00,3.25,3.44
2022-12-29 09:00:00,3.2,3.27
2022-12-30 09:00:00,3.19,3.26
2022-12-31 09:00:00,3.29,3.3
2023-01-01 09:00:00,3.27,3.3
2023-01-02 09:00:00,3.35,3.47
2023-01-03 09:00:00,3.33,3.38
2023-01-04 09:00:00,3.4,3.4
2023-01-05 09:00:00,3.4,3.59
