,0
Start,2022-06-24 09:00:00
End,2023-07-28 09:00:00
Duration,399 days 00:00:00
Exposure Time [%],92.5
Equity Final [$],8179.291200000004
Equity Peak [$],13951.5602
Return [%],-18.207087999999956
Buy & Hold Return [%],15.074798619102408
Return (Ann.) [%],-16.755979189811455
Volatility (Ann.) [%],81.95553884704343
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-58.42807458910582
Avg. Drawdown [%],-17.215741449797992
Max. Drawdown Duration,269 days 00:00:00
Avg. Drawdown Duration,52 days 00:00:00
# Trades,19
ticker,RANK-4-KRW-DOGE
explain,# Explain RANK-4-KRW-DOGE 
