,0
Start,2022-06-25 09:00:00
End,2023-07-29 09:00:00
Duration,399 days 00:00:00
Exposure Time [%],93.5
Equity Final [$],11518.320000000002
Equity Peak [$],13365.54
Return [%],15.183200000000015
Buy & Hold Return [%],-7.936507936507936
Return (Ann.) [%],13.767336378583273
Volatility (Ann.) [%],110.23478653973054
Sharpe Ratio,0.12489103313699697
Sortino Ratio,0.2749564590463069
Calmar Ratio,0.3549737232160413
Max. Drawdown [%],-38.78410000000001
Avg. Drawdown [%],-34.144331001446645
Max. Drawdown Duration,214 days 00:00:00
Avg. Drawdown Duration,125 days 00:00:00
# Trades,26
ticker,RANK-4-KRW-MTL
explain,# Explain RANK-4-KRW-MTL 
