,0
Start,2022-06-25 09:00:00
End,2023-07-29 09:00:00
Duration,399 days 00:00:00
Exposure Time [%],93.0
Equity Final [$],16078.189999999997
Equity Peak [$],20706.468
Return [%],60.781899999999965
Buy & Hold Return [%],-58.3793738489871
Return (Ann.) [%],54.23800718004044
Volatility (Ann.) [%],128.00366318438716
Sharpe Ratio,0.42372230474304073
Sortino Ratio,1.134536622806536
Calmar Ratio,1.18616066842168
Max. Drawdown [%],-45.725683395159436
Avg. Drawdown [%],-12.140177537670773
Max. Drawdown Duration,172 days 00:00:00
Avg. Drawdown Duration,33 days 00:00:00
# Trades,18
ticker,RANK-4-KRW-PLA
explain,# Explain RANK-4-KRW-PLA 
