Date,Close,High
2022-06-25 09:00:00,84.1,86.5
2022-06-26 09:00:00,85.0,85.8
2022-06-27 09:00:00,87.3,91.2
2022-06-28 09:00:00,86.5,88.9
2022-06-29 09:00:00,85.5,87.2
2022-06-30 09:00:00,84.6,86.7
2022-07-01 09:00:00,86.3,86.6
2022-07-02 09:00:00,85.7,86.7
2022-07-03 09:00:00,87.3,87.5
2022-07-04 09:00:00,87.9,88.6
2022-07-05 09:00:00,89.9,91.0
2022-07-06 09:00:00,88.7,90.2
2022-07-07 09:00:00,89.5,89.7
2022-07-08 09:00:00,90.3,90.9
2022-07-09 09:00:00,91.1,93.3
2022-07-10 09:00:00,88.5,91.7
2022-07-11 09:00:00,85.9,89.0
2022-07-12 09:00:00,86.0,87.2
2022-07-13 09:00:00,87.2,87.3
2022-07-14 09:00:00,88.0,88.9
2022-07-15 09:00:00,88.9,89.5
2022-07-16 09:00:00,90.9,91.4
2022-07-17 09:00:00,89.2,91.3
2022-07-18 09:00:00,90.5,92.6
2022-07-19 09:00:00,91.0,91.4
2022-07-20 09:00:00,88.9,92.4
2022-07-21 09:00:00,89.5,89.9
2022-07-22 09:00:00,89.1,91.1
2022-07-23 09:00:00,88.6,89.6
2022-07-24 09:00:00,88.2,89.2
2022-07-25 09:00:00,85.4,88.7
2022-07-26 09:00:00,87.3,87.4
2022-07-27 09:00:00,90.4,90.5
2022-07-28 09:00:00,91.2,92.0
2022-07-29 09:00:00,91.7,94.8
2022-07-30 09:00:00,91.3,93.8
2022-07-31 09:00:00,91.0,93.2
2022-08-01 09:00:00,92.7,95.0
2022-08-02 09:00:00,91.6,94.9
2022-08-03 09:00:00,91.1,92.3
2022-08-04 09:00:00,92.2,93.3
2022-08-05 09:00:00,92.3,92.9
2022-08-06 09:00:00,92.5,93.7
2022-08-07 09:00:00,92.3,93.1
2022-08-08 09:00:00,92.6,93.7
2022-08-09 09:00:00,91.7,94.4
2022-08-10 09:00:00,93.0,93.4
2022-08-11 09:00:00,93.6,94.3
2022-08-12 09:00:00,93.7,94.2
2022-08-13 09:00:00,93.4,94.7
2022-08-14 09:00:00,94.4,96.2
2022-08-15 09:00:00,92.8,94.8
2022-08-16 09:00:00,93.9,94.8
2022-08-17 09:00:00,92.5,94.8
2022-08-18 09:00:00,92.3,93.1
2022-08-19 09:00:00,88.0,92.5
2022-08-20 09:00:00,91.3,91.4
2022-08-21 09:00:00,90.3,91.7
2022-08-22 09:00:00,89.7,91.1
2022-08-23 09:00:00,90.2,93.0
2022-08-24 09:00:00,88.3,90.6
2022-08-25 09:00:00,89.0,89.6
2022-08-26 09:00:00,85.2,89.2
2022-08-27 09:00:00,86.9,87.3
2022-08-28 09:00:00,85.2,87.5
2022-08-29 09:00:00,86.8,87.2
2022-08-30 09:00:00,89.1,92.7
2022-08-31 09:00:00,87.1,89.7
2022-09-01 09:00:00,86.8,87.6
2022-09-02 09:00:00,86.6,87.5
2022-09-03 09:00:00,87.2,87.6
2022-09-04 09:00:00,87.6,87.8
2022-09-05 09:00:00,86.8,87.7
2022-09-06 09:00:00,85.2,88.5
2022-09-07 09:00:00,86.0,86.2
2022-09-08 09:00:00,85.5,86.1
2022-09-09 09:00:00,87.3,87.7
2022-09-10 09:00:00,89.0,89.1
2022-09-11 09:00:00,88.4,89.8
2022-09-12 09:00:00,87.6,89.3
2022-09-13 09:00:00,85.3,88.0
2022-09-14 09:00:00,86.4,86.5
2022-09-15 09:00:00,87.2,87.3
2022-09-16 09:00:00,86.5,87.5
2022-09-17 09:00:00,87.3,87.5
2022-09-18 09:00:00,86.1,88.0
2022-09-19 09:00:00,85.2,86.7
2022-09-20 09:00:00,84.6,85.8
2022-09-21 09:00:00,84.8,86.5
2022-09-22 09:00:00,85.7,85.9
2022-09-23 09:00:00,86.4,87.5
2022-09-24 09:00:00,86.2,87.5
2022-09-25 09:00:00,86.0,86.8
2022-09-26 09:00:00,85.5,86.1
2022-09-27 09:00:00,85.6,86.9
2022-09-28 09:00:00,85.8,86.3
2022-09-29 09:00:00,87.4,88.7
2022-09-30 09:00:00,87.7,89.2
2022-10-01 09:00:00,87.6,89.0
2022-10-02 09:00:00,88.6,89.8
2022-10-03 09:00:00,88.5,89.3
2022-10-04 09:00:00,89.0,89.1
2022-10-05 09:00:00,89.0,89.4
2022-10-06 09:00:00,89.3,90.0
2022-10-07 09:00:00,89.0,90.0
2022-10-08 09:00:00,88.8,89.6
2022-10-09 09:00:00,89.0,89.5
2022-10-10 09:00:00,90.0,93.5
2022-10-11 09:00:00,88.6,90.0
2022-10-12 09:00:00,88.6,92.8
2022-10-13 09:00:00,87.7,89.5
2022-10-14 09:00:00,92.3,94.0
2022-10-15 09:00:00,89.2,94.0
2022-10-16 09:00:00,88.8,89.7
2022-10-17 09:00:00,89.8,90.7
2022-10-18 09:00:00,89.6,90.4
2022-10-19 09:00:00,89.2,91.3
2022-10-20 09:00:00,89.8,90.3
2022-10-21 09:00:00,88.8,90.9
2022-10-22 09:00:00,88.7,89.1
2022-10-23 09:00:00,88.7,89.2
2022-10-24 09:00:00,88.2,89.0
2022-10-25 09:00:00,88.5,89.1
2022-10-26 09:00:00,89.0,89.8
2022-10-27 09:00:00,88.8,89.8
2022-10-28 09:00:00,89.4,89.8
2022-10-29 09:00:00,89.9,90.5
2022-10-30 09:00:00,88.7,90.8
2022-10-31 09:00:00,88.8,89.0
2022-11-01 09:00:00,88.2,89.0
2022-11-02 09:00:00,87.6,89.1
2022-11-03 09:00:00,87.8,88.6
2022-11-04 09:00:00,88.8,88.8
2022-11-05 09:00:00,89.1,90.1
2022-11-06 09:00:00,88.4,91.6
2022-11-07 09:00:00,87.6,88.8
2022-11-08 09:00:00,84.2,88.3
2022-11-09 09:00:00,77.1,93.5
2022-11-10 09:00:00,81.7,87.5
2022-11-11 09:00:00,77.7,82.1
2022-11-12 09:00:00,76.5,78.0
2022-11-13 09:00:00,70.0,78.2
2022-11-14 09:00:00,68.4,72.2
2022-11-15 09:00:00,69.1,70.5
2022-11-16 09:00:00,69.2,70.7
2022-11-17 09:00:00,68.9,69.4
2022-11-18 09:00:00,70.0,70.3
2022-11-19 09:00:00,72.0,72.9
2022-11-20 09:00:00,70.1,72.4
2022-11-21 09:00:00,72.5,72.7
2022-11-22 09:00:00,70.8,74.2
2022-11-23 09:00:00,71.8,71.9
2022-11-24 09:00:00,72.4,73.6
2022-11-25 09:00:00,72.7,73.4
2022-11-26 09:00:00,72.6,73.7
2022-11-27 09:00:00,73.6,74.4
2022-11-28 09:00:00,73.0,74.4
2022-11-29 09:00:00,72.7,74.5
2022-11-30 09:00:00,73.8,74.2
2022-12-01 09:00:00,73.4,74.6
2022-12-02 09:00:00,73.0,73.7
2022-12-03 09:00:00,72.4,73.3
2022-12-04 09:00:00,71.2,73.0
2022-12-05 09:00:00,71.5,71.7
2022-12-06 09:00:00,71.7,71.8
2022-12-07 09:00:00,71.2,71.8
2022-12-08 09:00:00,72.5,72.8
2022-12-09 09:00:00,72.9,73.2
2022-12-10 09:00:00,73.0,74.2
2022-12-11 09:00:00,71.8,73.2
2022-12-12 09:00:00,71.2,72.0
2022-12-13 09:00:00,71.1,71.5
2022-12-14 09:00:00,72.7,75.4
2022-12-15 09:00:00,73.7,74.4
2022-12-16 09:00:00,70.9,74.2
2022-12-17 09:00:00,72.7,72.9
2022-12-18 09:00:00,71.3,73.2
2022-12-19 09:00:00,70.6,71.7
2022-12-20 09:00:00,71.7,72.0
2022-12-21 09:00:00,71.7,72.6
2022-12-22 09:00:00,72.2,72.6
2022-12-23 09:00:00,70.8,72.3
2022-12-24 09:00:00,71.3,71.5
2022-12-25 09:00:00,71.2,71.6
2022-12-26 09:00:00,70.0,71.2
2022-12-27 09:00:00,69.2,70.2
2022-12-28 09:00:00,69.0,69.7
2022-12-29 09:00:00,68.9,69.6
2022-12-30 09:00:00,69.1,69.2
2022-12-31 09:00:00,69.5,70.3
2023-01-01 09:00:00,69.7,70.1
2023-01-02 09:00:00,70.1,70.7
2023-01-03 09:00:00,70.2,71.3
2023-01-04 09:00:00,70.2,71.3
2023-01-05 09:00:00,68.9,70.6
2023-01-06 09:00:00,66.7,69.1
2023-01-07 09:00:00,66.3,67.3
2023-01-08 09:00:00,68.9,68.9
2023-01-09 09:00:00,68.8,71.7
2023-01-10 09:00:00,69.1,69.3
2023-01-11 09:00:00,70.9,71.0
2023-01-12 09:00:00,71.6,71.9
2023-01-13 09:00:00,74.9,75.5
2023-01-14 09:00:00,76.4,81.5
2023-01-15 09:00:00,77.1,77.7
2023-01-16 09:00:00,77.7,78.3
2023-01-17 09:00:00,76.7,77.9
2023-01-18 09:00:00,73.3,77.8
2023-01-19 09:00:00,74.8,75.0
2023-01-20 09:00:00,77.5,77.8
2023-01-21 09:00:00,76.9,79.3
