,0
Start,2022-06-25 09:00:00
End,2023-07-29 09:00:00
Duration,399 days 00:00:00
Exposure Time [%],94.5
Equity Final [$],2586.591999999997
Equity Peak [$],14828.155999999999
Return [%],-74.13408000000004
Buy & Hold Return [%],93.0672268907563
Return (Ann.) [%],-70.88517150725491
Volatility (Ann.) [%],30.994899500982093
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-82.67760333786617
Avg. Drawdown [%],-17.57437322637436
Max. Drawdown Duration,293 days 00:00:00
Avg. Drawdown Duration,54 days 00:00:00
# Trades,19
ticker,RANK-4-KRW-XRP
explain,# Explain RANK-4-KRW-XRP 
