,0
Start,2023-03-30 09:00:00
End,2023-07-29 09:00:00
Duration,121 days 00:00:00
Exposure Time [%],75.40983606557377
Equity Final [$],8446.929999999998
Equity Peak [$],11831.6
Return [%],-15.530700000000014
Buy & Hold Return [%],-16.893732970027248
Return (Ann.) [%],-39.64718738483324
Volatility (Ann.) [%],30.24044297721463
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-28.689441833733408
Avg. Drawdown [%],-7.44907613767249
Max. Drawdown Duration,79 days 00:00:00
Avg. Drawdown Duration,18 days 00:00:00
# Trades,6
ticker,RANK-5-KRW-ARB
explain,# Explain RANK-5-KRW-ARB 
