,0
Start,2022-06-24 09:00:00
End,2023-07-28 09:00:00
Duration,399 days 00:00:00
Exposure Time [%],94.0
Equity Final [$],6673.803999999999
Equity Peak [$],12126.752
Return [%],-33.26196000000001
Buy & Hold Return [%],-41.66666666666667
Return (Ann.) [%],-30.858185723773623
Volatility (Ann.) [%],65.67706822757297
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-56.287982140642455
Avg. Drawdown [%],-18.45618728091386
Max. Drawdown Duration,347 days 00:00:00
Avg. Drawdown Duration,93 days 00:00:00
# Trades,20
ticker,RANK-5-KRW-ARK
explain,# Explain RANK-5-KRW-ARK 
