,0
Start,2022-06-25 09:00:00
End,2023-07-29 09:00:00
Duration,399 days 00:00:00
Exposure Time [%],94.5
Equity Final [$],12837.611999999997
Equity Peak [$],15271.112000000001
Return [%],28.376119999999972
Buy & Hold Return [%],-53.66726296958855
Return (Ann.) [%],25.600646280693184
Volatility (Ann.) [%],84.48974874753576
Sharpe Ratio,0.30300298746526755
Sortino Ratio,0.5879066877822432
Calmar Ratio,0.5014481168534958
Max. Drawdown [%],-51.053429896861545
Avg. Drawdown [%],-12.345626378281489
Max. Drawdown Duration,152 days 00:00:00
Avg. Drawdown Duration,34 days 00:00:00
# Trades,22
ticker,RANK-5-KRW-BAT
explain,# Explain RANK-5-KRW-BAT 
