,0
Start,2022-06-25 09:00:00
End,2023-07-29 09:00:00
Duration,399 days 00:00:00
Exposure Time [%],93.25
Equity Final [$],12451.042000000005
Equity Peak [$],17642.148
Return [%],24.51042000000005
Buy & Hold Return [%],-55.98194130925508
Return (Ann.) [%],22.144860967318493
Volatility (Ann.) [%],101.66797068184982
Sharpe Ratio,0.2178155108123141
Sortino Ratio,0.3999422856541836
Calmar Ratio,0.441134695733437
Max. Drawdown [%],-50.19977159243872
Avg. Drawdown [%],-13.410762002036696
Max. Drawdown Duration,152 days 00:00:00
Avg. Drawdown Duration,28 days 00:00:00
# Trades,15
ticker,RANK-5-KRW-BORA
explain,# Explain RANK-5-KRW-BORA 
