,0
Start,2022-06-24 09:00:00
End,2023-07-28 09:00:00
Duration,399 days 00:00:00
Exposure Time [%],85.25
Equity Final [$],2003.2679999999987
Equity Peak [$],11060.056
Return [%],-79.96732000000002
Buy & Hold Return [%],-34.701492537313435
Return (Ann.) [%],-76.94119022942287
Volatility (Ann.) [%],33.100758347008245
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-89.40070466189323
Avg. Drawdown [%],-32.18883276324707
Max. Drawdown Duration,325 days 00:00:00
Avg. Drawdown Duration,113 days 00:00:00
# Trades,19
ticker,RANK-5-KRW-POLYX
explain,# Explain RANK-5-KRW-POLYX 
