,0
Start,2023-05-04 09:00:00
End,2023-07-29 09:00:00
Duration,86 days 00:00:00
Exposure Time [%],40.229885057471265
Equity Final [$],8658.41
Equity Peak [$],10000.0
Return [%],-13.415900000000002
Buy & Hold Return [%],-54.285714285714285
Return (Ann.) [%],-45.357840053457174
Volatility (Ann.) [%],15.920363397953722
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-13.415900000000002
Avg. Drawdown [%],-13.415900000000002
Max. Drawdown Duration,35 days 00:00:00
Avg. Drawdown Duration,35 days 00:00:00
# Trades,4
ticker,RANK-5-KRW-SUI
explain,# Explain RANK-5-KRW-SUI 
