,0
Start,2022-06-24 09:00:00
End,2023-07-28 09:00:00
Duration,399 days 00:00:00
Exposure Time [%],94.25
Equity Final [$],13425.063799999998
Equity Peak [$],19936.123
Return [%],34.25063799999998
Buy & Hold Return [%],-26.969696969696965
Return (Ann.) [%],30.834921126599156
Volatility (Ann.) [%],83.99616062065708
Sharpe Ratio,0.36709917332835756
Sortino Ratio,0.7603669339456748
Calmar Ratio,0.8118597613056239
Max. Drawdown [%],-37.98060034039719
Avg. Drawdown [%],-9.47500973854905
Max. Drawdown Duration,167 days 00:00:00
Avg. Drawdown Duration,31 days 00:00:00
# Trades,18
ticker,RANK-5-KRW-VET
explain,# Explain RANK-5-KRW-VET 
