,0
Start,2022-06-24 09:00:00
End,2023-07-28 09:00:00
Duration,399 days 00:00:00
Exposure Time [%],94.0
Equity Final [$],12252.698603400007
Equity Peak [$],16307.488383400007
Return [%],22.526986034000075
Buy & Hold Return [%],-31.36200716845878
Return (Ann.) [%],20.368118634202826
Volatility (Ann.) [%],151.06899783615327
Sharpe Ratio,0.13482659530378113
Sortino Ratio,0.4102445935807043
Calmar Ratio,0.44113966803807503
Max. Drawdown [%],-46.171587163738906
Avg. Drawdown [%],-17.611753761225575
Max. Drawdown Duration,164 days 00:00:00
Avg. Drawdown Duration,47 days 00:00:00
# Trades,23
ticker,RANK-5-KRW-XEC
explain,# Explain RANK-5-KRW-XEC 
