,0
Start,2022-06-25 09:00:00
End,2023-07-29 09:00:00
Duration,399 days 00:00:00
Exposure Time [%],94.75
Equity Final [$],18404.099399999992
Equity Peak [$],23980.1812
Return [%],84.04099399999991
Buy & Hold Return [%],-54.047619047619044
Return (Ann.) [%],74.47553766200485
Volatility (Ann.) [%],112.92170060703461
Sharpe Ratio,0.6595325545191559
Sortino Ratio,2.079194478758443
Calmar Ratio,2.4313913464327164
Max. Drawdown [%],-30.630831096472278
Avg. Drawdown [%],-5.991758431383176
Max. Drawdown Duration,171 days 00:00:00
Avg. Drawdown Duration,17 days 00:00:00
# Trades,16
ticker,RANK-6-KRW-CRO
explain,# Explain RANK-6-KRW-CRO 
