,0
Start,2022-06-24 09:00:00
End,2023-07-28 09:00:00
Duration,399 days 00:00:00
Exposure Time [%],92.5
Equity Final [$],7912.437999999996
Equity Peak [$],12272.855999999994
Return [%],-20.875620000000044
Buy & Hold Return [%],-17.24137931034483
Return (Ann.) [%],-19.237795129349465
Volatility (Ann.) [%],95.87944859568981
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-54.436947697617896
Avg. Drawdown [%],-24.18685329448869
Max. Drawdown Duration,248 days 00:00:00
Avg. Drawdown Duration,92 days 00:00:00
# Trades,18
ticker,RANK-6-KRW-MLK
explain,# Explain RANK-6-KRW-MLK 
