,0
Start,2022-06-25 09:00:00
End,2023-07-29 09:00:00
Duration,399 days 00:00:00
Exposure Time [%],94.25
Equity Final [$],4307.858000000002
Equity Peak [$],11154.176
Return [%],-56.921419999999976
Buy & Hold Return [%],-21.316614420062695
Return (Ann.) [%],-53.627179814856994
Volatility (Ann.) [%],37.97037321263744
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-64.36039739735142
Avg. Drawdown [%],-18.30624108353957
Max. Drawdown Duration,350 days 00:00:00
Avg. Drawdown Duration,75 days 00:00:00
# Trades,23
ticker,RANK-6-KRW-ONT
explain,# Explain RANK-6-KRW-ONT 
