,0
Start,2022-06-24 09:00:00
End,2023-07-28 09:00:00
Duration,399 days 00:00:00
Exposure Time [%],85.25
Equity Final [$],10143.640000000007
Equity Peak [$],15640.980000000003
Return [%],1.436400000000067
Buy & Hold Return [%],-46.365914786967416
Return (Ann.) [%],1.3098955709526239
Volatility (Ann.) [%],57.685621438318194
Sharpe Ratio,0.022707488249099697
Sortino Ratio,0.036388234056796157
Calmar Ratio,0.03206327885243319
Max. Drawdown [%],-40.853450359248576
Avg. Drawdown [%],-12.653478272529783
Max. Drawdown Duration,156 days 00:00:00
Avg. Drawdown Duration,37 days 00:00:00
# Trades,17
ticker,RANK-6-KRW-XTZ
explain,# Explain RANK-6-KRW-XTZ 
