,0
Start,2022-06-25 09:00:00
End,2023-07-29 09:00:00
Duration,399 days 00:00:00
Exposure Time [%],90.0
Equity Final [$],6627.707999999999
Equity Peak [$],13348.591999999999
Return [%],-33.72292000000001
Buy & Hold Return [%],-66.18181818181819
Return (Ann.) [%],-31.29409386780434
Volatility (Ann.) [%],54.4049646923624
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-53.814155080925396
Avg. Drawdown [%],-16.989995216794046
Max. Drawdown Duration,172 days 00:00:00
Avg. Drawdown Duration,45 days 00:00:00
# Trades,24
ticker,RANK-7-KRW-SAND
explain,# Explain RANK-7-KRW-SAND 
