Date,Open,High,Low,Close
2022-08-13 09:00:00,13.4,13.4,13.1,13.2
2022-08-14 09:00:00,13.1,13.6,12.8,13.0
2022-08-15 09:00:00,13.0,15.0,13.0,13.3
2022-08-16 09:00:00,13.2,13.6,13.0,13.5
2022-08-17 09:00:00,13.5,13.5,12.6,12.8
2022-08-18 09:00:00,12.8,12.8,12.1,12.2
2022-08-19 09:00:00,12.2,12.2,10.5,10.8
2022-08-20 09:00:00,10.8,11.5,10.6,11.0
2022-08-21 09:00:00,11.1,11.4,11.0,11.4
2022-08-22 09:00:00,11.4,11.4,10.7,11.2
2022-08-23 09:00:00,11.2,11.3,10.8,11.3
2022-08-24 09:00:00,11.3,12.0,11.1,11.4
2022-08-25 09:00:00,11.4,11.9,11.3,11.9
2022-08-26 09:00:00,11.8,12.0,10.6,10.8
2022-08-27 09:00:00,10.8,10.9,10.3,10.5
2022-08-28 09:00:00,10.4,10.7,10.0,10.1
2022-08-29 09:00:00,10.2,10.5,9.82,10.4
2022-08-30 09:00:00,10.5,11.4,10.3,11.4
2022-08-31 09:00:00,11.4,11.4,10.7,10.9
2022-09-01 09:00:00,10.9,11.0,10.3,10.7
2022-09-02 09:00:00,10.6,10.8,10.4,10.6
2022-09-03 09:00:00,10.6,10.7,10.5,10.7
2022-09-04 09:00:00,10.7,11.1,10.6,11.0
2022-09-05 09:00:00,11.0,11.1,10.6,10.8
2022-09-06 09:00:00,10.8,11.0,10.1,10.1
2022-09-07 09:00:00,10.2,10.6,10.1,10.5
2022-09-08 09:00:00,10.5,11.1,10.4,11.1
2022-09-09 09:00:00,11.1,11.4,10.9,11.3
2022-09-10 09:00:00,11.3,11.4,11.0,11.2
2022-09-11 09:00:00,11.2,12.3,11.2,11.8
2022-09-12 09:00:00,11.7,12.3,11.4,11.6
2022-09-13 09:00:00,11.5,11.9,10.6,10.7
2022-09-14 09:00:00,10.6,10.9,10.4,10.7
2022-09-15 09:00:00,10.7,10.7,10.4,10.6
2022-09-16 09:00:00,10.7,10.7,10.1,10.4
2022-09-17 09:00:00,10.4,10.8,10.4,10.6
