,0
Start,2022-08-13 09:00:00
End,2023-09-16 09:00:00
Duration,399 days 00:00:00
Exposure Time [%],92.25
Equity Final [$],9761516.379420001
Equity Peak [$],17370239.137420002
Return [%],-2.3848362057999895
Buy & Hold Return [%],-30.37878787878788
Return (Ann.) [%],-2.1784534487625073
Volatility (Ann.) [%],126.3772598882067
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-57.16007824839997
Avg. Drawdown [%],-50.481645365212636
Max. Drawdown Duration,312 days 00:00:00
Avg. Drawdown Duration,184 days 00:00:00
# Trades,16
ticker,RANK_2_[LH117.77_HL-54.5]_KRW-STMX
explain,# Explain RANK_2_[LH117.77_HL-54.5]_KRW-STMX 
