,0
Start,2022-08-13 09:00:00
End,2023-09-16 09:00:00
Duration,399 days 00:00:00
Exposure Time [%],92.25
Equity Final [$],21732504.746000003
Equity Peak [$],21781894.746000003
Return [%],117.32504746000004
Buy & Hold Return [%],1.2626262626262625
Return (Ann.) [%],103.0545273743726
Volatility (Ann.) [%],216.75119651557475
Sharpe Ratio,0.47545078888165476
Sortino Ratio,1.9511529793841256
Calmar Ratio,2.992040772019479
Max. Drawdown [%],-34.442888726016896
Avg. Drawdown [%],-26.04465892539678
Max. Drawdown Duration,107 days 00:00:00
Avg. Drawdown Duration,61 days 00:00:00
# Trades,25
ticker,RANK_3_[LH150.62_HL-37.34]_KRW-MTL
explain,# Explain RANK_3_[LH150.62_HL-37.34]_KRW-MTL 
