Date,Open,High,Low,Close
2022-08-13 09:00:00,7.11,7.14,7.02,7.06
2022-08-14 09:00:00,7.06,7.3,7.03,7.14
2022-08-15 09:00:00,7.14,7.15,6.96,7.06
2022-08-16 09:00:00,7.06,7.12,6.8,6.84
2022-08-17 09:00:00,6.85,7.0,6.64,6.78
2022-08-18 09:00:00,6.78,6.89,6.68,6.77
2022-08-19 09:00:00,6.78,6.9,6.05,6.1
2022-08-20 09:00:00,6.1,6.34,6.07,6.23
2022-08-21 09:00:00,6.24,6.33,6.08,6.26
2022-08-22 09:00:00,6.24,6.4,5.99,6.09
2022-08-23 09:00:00,6.09,6.12,5.88,6.08
2022-08-24 09:00:00,6.08,6.2,5.99,6.07
2022-08-25 09:00:00,6.04,6.53,6.03,6.33
2022-08-26 09:00:00,6.32,6.4,6.02,6.02
2022-08-27 09:00:00,6.02,6.28,5.95,6.06
2022-08-28 09:00:00,6.05,6.23,5.91,5.93
2022-08-29 09:00:00,5.99,6.22,5.91,6.06
2022-08-30 09:00:00,6.06,6.51,6.04,6.18
2022-08-31 09:00:00,6.18,6.3,6.14,6.19
2022-09-01 09:00:00,6.19,6.79,6.0,6.16
2022-09-02 09:00:00,6.16,6.17,6.05,6.11
2022-09-03 09:00:00,6.09,6.22,6.07,6.13
2022-09-04 09:00:00,6.13,6.14,6.07,6.11
2022-09-05 09:00:00,6.1,6.36,6.02,6.1
2022-09-06 09:00:00,6.11,6.82,6.01,6.08
2022-09-07 09:00:00,6.07,6.13,5.85,6.12
2022-09-08 09:00:00,6.11,6.33,6.02,6.23
2022-09-09 09:00:00,6.22,6.48,6.18,6.44
2022-09-10 09:00:00,6.41,6.44,6.25,6.39
2022-09-11 09:00:00,6.37,6.76,6.29,6.55
2022-09-12 09:00:00,6.55,6.65,6.46,6.52
2022-09-13 09:00:00,6.52,6.52,6.05,6.05
2022-09-14 09:00:00,6.08,6.25,6.04,6.13
2022-09-15 09:00:00,6.12,6.16,6.04,6.08
2022-09-16 09:00:00,6.08,6.12,5.95,6.05
2022-09-17 09:00:00,6.05,6.13,6.02,6.11
2022-09-18 09:00:00,6.1,6.15,5.71,5.77
2022-09-19 09:00:00,5.77,5.89,5.51,5.82
2022-09-20 09:00:00,5.82,5.83,5.62,5.68
2022-09-21 09:00:00,5.67,5.79,5.53,5.65
2022-09-22 09:00:00,5.65,5.9,5.61,5.85
2022-09-23 09:00:00,5.85,6.15,5.78,5.96
2022-09-24 09:00:00,5.92,6.19,5.91,5.97
2022-09-25 09:00:00,5.97,6.11,5.81,5.85
2022-09-26 09:00:00,5.85,5.86,5.65,5.79
2022-09-27 09:00:00,5.79,5.88,5.69,5.82
2022-09-28 09:00:00,5.82,5.83,5.64,5.76
2022-09-29 09:00:00,5.78,5.81,5.66,5.74
2022-09-30 09:00:00,5.74,5.95,5.66,5.76
2022-10-01 09:00:00,5.76,5.81,5.72,5.77
2022-10-02 09:00:00,5.77,5.79,5.66,5.71
2022-10-03 09:00:00,5.7,5.74,5.64,5.74
2022-10-04 09:00:00,5.72,5.79,5.67,5.78
2022-10-05 09:00:00,5.78,5.78,5.68,5.71
2022-10-06 09:00:00,5.73,5.73,5.67,5.7
2022-10-07 09:00:00,5.71,5.73,5.61,5.72
2022-10-08 09:00:00,5.72,5.94,5.7,5.76
2022-10-09 09:00:00,5.76,6.08,5.7,5.79
2022-10-10 09:00:00,5.78,5.84,5.62,5.66
2022-10-11 09:00:00,5.66,5.66,5.46,5.55
2022-10-12 09:00:00,5.55,5.57,5.5,5.55
2022-10-13 09:00:00,5.53,5.71,5.12,5.4
2022-10-14 09:00:00,5.4,5.57,5.38,5.41
2022-10-15 09:00:00,5.41,5.59,5.36,5.4
2022-10-16 09:00:00,5.4,5.44,5.38,5.43
2022-10-17 09:00:00,5.42,5.56,5.31,5.52
2022-10-18 09:00:00,5.51,5.6,5.42,5.46
2022-10-19 09:00:00,5.46,5.53,5.3,5.3
2022-10-20 09:00:00,5.31,5.6,5.26,5.27
2022-10-21 09:00:00,5.29,5.5,5.13,5.29
2022-10-22 09:00:00,5.28,5.42,5.22,5.31
2022-10-23 09:00:00,5.3,5.54,5.27,5.38
2022-10-24 09:00:00,5.37,5.57,5.33,5.53
2022-10-25 09:00:00,5.53,5.67,5.42,5.59
2022-10-26 09:00:00,5.59,5.65,5.52,5.6
2022-10-27 09:00:00,5.6,5.61,5.43,5.44
2022-10-28 09:00:00,5.44,5.48,5.34,5.47
2022-10-29 09:00:00,5.47,5.51,5.43,5.5
2022-10-30 09:00:00,5.47,5.5,5.39,5.42
2022-10-31 09:00:00,5.42,5.5,5.34,5.47
2022-11-01 09:00:00,5.46,5.49,5.41,5.47
2022-11-02 09:00:00,5.47,5.47,5.31,5.34
2022-11-03 09:00:00,5.34,5.54,5.31,5.43
2022-11-04 09:00:00,5.43,5.56,5.4,5.54
2022-11-05 09:00:00,5.53,5.59,5.52,5.56
