Date,Open,High,Low,Close
2022-08-13 09:00:00,8.82,8.82,8.58,8.68
2022-08-14 09:00:00,8.68,9.27,8.55,8.81
2022-08-15 09:00:00,8.82,8.83,8.52,8.65
2022-08-16 09:00:00,8.66,8.73,8.25,8.36
2022-08-17 09:00:00,8.36,8.42,8.0,8.15
2022-08-18 09:00:00,8.13,8.49,8.07,8.32
2022-08-19 09:00:00,8.29,8.57,7.45,7.5
2022-08-20 09:00:00,7.5,7.97,7.49,7.74
2022-08-21 09:00:00,7.74,7.8,7.51,7.8
2022-08-22 09:00:00,7.79,7.88,7.41,7.68
2022-08-23 09:00:00,7.66,7.71,7.4,7.59
2022-08-24 09:00:00,7.58,7.8,7.45,7.59
2022-08-25 09:00:00,7.58,7.87,7.54,7.84
2022-08-26 09:00:00,7.84,7.97,7.38,7.46
2022-08-27 09:00:00,7.44,7.51,7.32,7.51
2022-08-28 09:00:00,7.51,7.98,7.35,7.42
2022-08-29 09:00:00,7.39,7.64,7.27,7.63
2022-08-30 09:00:00,7.63,8.6,7.54,7.81
2022-08-31 09:00:00,7.81,8.33,7.74,8.03
2022-09-01 09:00:00,8.03,8.39,7.6,7.9
2022-09-02 09:00:00,7.89,7.89,7.63,7.71
2022-09-03 09:00:00,7.7,7.81,7.55,7.64
2022-09-04 09:00:00,7.65,7.68,7.55,7.67
2022-09-05 09:00:00,7.64,8.21,7.53,7.67
2022-09-06 09:00:00,7.67,8.04,7.48,7.51
2022-09-07 09:00:00,7.51,7.89,7.34,7.59
2022-09-08 09:00:00,7.59,7.98,7.51,7.8
2022-09-09 09:00:00,7.8,8.03,7.73,7.94
2022-09-10 09:00:00,7.93,8.0,7.76,7.91
2022-09-11 09:00:00,7.9,8.53,7.82,8.04
2022-09-12 09:00:00,8.04,8.3,7.92,8.01
2022-09-13 09:00:00,8.02,8.19,7.46,7.54
2022-09-14 09:00:00,7.54,7.81,7.49,7.68
2022-09-15 09:00:00,7.67,7.82,7.55,7.63
2022-09-16 09:00:00,7.62,7.69,7.5,7.6
2022-09-17 09:00:00,7.59,7.75,7.58,7.68
2022-09-18 09:00:00,7.67,7.83,7.03,7.2
2022-09-19 09:00:00,7.19,7.29,6.7,7.22
2022-09-20 09:00:00,7.21,7.22,6.97,7.02
2022-09-21 09:00:00,7.02,7.2,6.83,6.96
2022-09-22 09:00:00,6.96,7.25,6.94,7.24
