Date,Open,High,Low,Close
2022-08-13 09:00:00,668.0,697.0,652.0,676.0
2022-08-14 09:00:00,677.0,682.0,648.0,658.0
2022-08-15 09:00:00,658.0,710.0,652.0,673.0
2022-08-16 09:00:00,674.0,681.0,640.0,648.0
2022-08-17 09:00:00,648.0,661.0,613.0,621.0
2022-08-18 09:00:00,621.0,622.0,594.0,596.0
2022-08-19 09:00:00,597.0,599.0,518.0,527.0
2022-08-20 09:00:00,527.0,553.0,525.0,539.0
2022-08-21 09:00:00,539.0,552.0,534.0,547.0
2022-08-22 09:00:00,547.0,548.0,512.0,545.0
2022-08-23 09:00:00,545.0,559.0,530.0,553.0
2022-08-24 09:00:00,553.0,569.0,539.0,553.0
2022-08-25 09:00:00,552.0,564.0,546.0,555.0
2022-08-26 09:00:00,555.0,556.0,498.0,505.0
2022-08-27 09:00:00,505.0,508.0,491.0,500.0
2022-08-28 09:00:00,500.0,513.0,492.0,495.0
2022-08-29 09:00:00,494.0,518.0,490.0,517.0
2022-08-30 09:00:00,516.0,526.0,499.0,504.0
2022-08-31 09:00:00,505.0,520.0,504.0,506.0
2022-09-01 09:00:00,505.0,516.0,496.0,515.0
2022-09-02 09:00:00,515.0,526.0,508.0,514.0
2022-09-03 09:00:00,513.0,518.0,509.0,516.0
2022-09-04 09:00:00,515.0,527.0,513.0,527.0
2022-09-05 09:00:00,527.0,530.0,507.0,516.0
2022-09-06 09:00:00,516.0,532.0,480.0,481.0
2022-09-07 09:00:00,481.0,499.0,475.0,497.0
2022-09-08 09:00:00,497.0,516.0,490.0,516.0
2022-09-09 09:00:00,515.0,535.0,513.0,530.0
2022-09-10 09:00:00,531.0,540.0,526.0,536.0
2022-09-11 09:00:00,536.0,540.0,523.0,534.0
2022-09-12 09:00:00,534.0,548.0,526.0,536.0
2022-09-13 09:00:00,537.0,548.0,494.0,496.0
2022-09-14 09:00:00,497.0,505.0,490.0,501.0
2022-09-15 09:00:00,502.0,503.0,487.0,491.0
2022-09-16 09:00:00,490.0,492.0,481.0,492.0
2022-09-17 09:00:00,493.0,505.0,489.0,504.0
2022-09-18 09:00:00,502.0,504.0,456.0,465.0
2022-09-19 09:00:00,464.0,475.0,453.0,469.0
2022-09-20 09:00:00,469.0,493.0,463.0,473.0
2022-09-21 09:00:00,473.0,493.0,458.0,464.0
2022-09-22 09:00:00,464.0,495.0,462.0,489.0
2022-09-23 09:00:00,489.0,515.0,479.0,510.0
2022-09-24 09:00:00,510.0,520.0,497.0,500.0
2022-09-25 09:00:00,499.0,506.0,487.0,491.0
2022-09-26 09:00:00,490.0,503.0,482.0,500.0
2022-09-27 09:00:00,500.0,519.0,496.0,508.0
2022-09-28 09:00:00,509.0,514.0,484.0,511.0
2022-09-29 09:00:00,511.0,520.0,498.0,509.0
2022-09-30 09:00:00,510.0,517.0,502.0,512.0
2022-10-01 09:00:00,512.0,525.0,499.0,505.0
2022-10-02 09:00:00,505.0,510.0,494.0,499.0
2022-10-03 09:00:00,498.0,514.0,493.0,511.0
2022-10-04 09:00:00,511.0,519.0,507.0,517.0
2022-10-05 09:00:00,515.0,517.0,506.0,510.0
2022-10-06 09:00:00,509.0,513.0,499.0,501.0
2022-10-07 09:00:00,500.0,504.0,489.0,501.0
2022-10-08 09:00:00,499.0,508.0,495.0,498.0
2022-10-09 09:00:00,498.0,501.0,496.0,498.0
2022-10-10 09:00:00,498.0,503.0,483.0,483.0
2022-10-11 09:00:00,483.0,483.0,464.0,470.0
2022-10-12 09:00:00,470.0,473.0,461.0,463.0
2022-10-13 09:00:00,463.0,464.0,420.0,448.0
