Date,Open,High,Low,Close
2022-08-13 09:00:00,504.0,513.0,502.0,504.0
2022-08-14 09:00:00,504.0,520.0,502.0,505.0
2022-08-15 09:00:00,504.0,512.0,493.0,505.0
2022-08-16 09:00:00,505.0,508.0,496.0,507.0
2022-08-17 09:00:00,508.0,527.0,497.0,512.0
2022-08-18 09:00:00,513.0,515.0,503.0,507.0
2022-08-19 09:00:00,507.0,508.0,456.0,460.0
2022-08-20 09:00:00,460.0,472.0,459.0,468.0
2022-08-21 09:00:00,468.0,476.0,462.0,473.0
2022-08-22 09:00:00,472.0,473.0,457.0,471.0
2022-08-23 09:00:00,471.0,473.0,456.0,472.0
2022-08-24 09:00:00,472.0,477.0,463.0,471.0
2022-08-25 09:00:00,470.0,476.0,466.0,473.0
2022-08-26 09:00:00,474.0,505.0,457.0,468.0
2022-08-27 09:00:00,468.0,475.0,455.0,463.0
2022-08-28 09:00:00,464.0,465.0,445.0,447.0
2022-08-29 09:00:00,447.0,457.0,441.0,457.0
2022-08-30 09:00:00,457.0,459.0,444.0,449.0
2022-08-31 09:00:00,450.0,457.0,444.0,450.0
2022-09-01 09:00:00,449.0,458.0,444.0,456.0
2022-09-02 09:00:00,456.0,461.0,450.0,457.0
2022-09-03 09:00:00,458.0,461.0,453.0,456.0
2022-09-04 09:00:00,456.0,460.0,454.0,457.0
2022-09-05 09:00:00,458.0,460.0,447.0,460.0
2022-09-06 09:00:00,459.0,472.0,447.0,450.0
2022-09-07 09:00:00,450.0,470.0,442.0,467.0
2022-09-08 09:00:00,467.0,478.0,459.0,473.0
2022-09-09 09:00:00,473.0,494.0,472.0,490.0
2022-09-10 09:00:00,490.0,498.0,484.0,491.0
2022-09-11 09:00:00,491.0,495.0,484.0,489.0
2022-09-12 09:00:00,490.0,493.0,482.0,492.0
2022-09-13 09:00:00,492.0,493.0,465.0,467.0
2022-09-14 09:00:00,468.0,483.0,466.0,479.0
2022-09-15 09:00:00,479.0,480.0,461.0,464.0
2022-09-16 09:00:00,464.0,504.0,456.0,500.0
2022-09-17 09:00:00,500.0,534.0,488.0,526.0
2022-09-18 09:00:00,526.0,559.0,503.0,506.0
2022-09-19 09:00:00,506.0,554.0,483.0,542.0
2022-09-20 09:00:00,542.0,595.0,524.0,585.0
2022-09-21 09:00:00,584.0,613.0,545.0,565.0
2022-09-22 09:00:00,565.0,701.0,565.0,691.0
2022-09-23 09:00:00,690.0,795.0,659.0,724.0
2022-09-24 09:00:00,724.0,744.0,678.0,702.0
2022-09-25 09:00:00,702.0,746.0,686.0,708.0
2022-09-26 09:00:00,708.0,721.0,661.0,672.0
2022-09-27 09:00:00,672.0,695.0,631.0,644.0
2022-09-28 09:00:00,643.0,656.0,606.0,647.0
2022-09-29 09:00:00,647.0,727.0,618.0,697.0
2022-09-30 09:00:00,697.0,711.0,676.0,690.0
2022-10-01 09:00:00,689.0,702.0,675.0,687.0
2022-10-02 09:00:00,685.0,691.0,650.0,652.0
2022-10-03 09:00:00,653.0,675.0,637.0,665.0
2022-10-04 09:00:00,665.0,693.0,653.0,683.0
2022-10-05 09:00:00,683.0,713.0,675.0,697.0
2022-10-06 09:00:00,696.0,714.0,695.0,701.0
2022-10-07 09:00:00,701.0,752.0,688.0,735.0
2022-10-08 09:00:00,735.0,755.0,732.0,738.0
2022-10-09 09:00:00,738.0,772.0,722.0,757.0
2022-10-10 09:00:00,757.0,767.0,707.0,708.0
2022-10-11 09:00:00,708.0,720.0,686.0,698.0
2022-10-12 09:00:00,698.0,710.0,693.0,700.0
2022-10-13 09:00:00,699.0,705.0,638.0,687.0
2022-10-14 09:00:00,687.0,732.0,685.0,704.0
2022-10-15 09:00:00,704.0,707.0,691.0,696.0
2022-10-16 09:00:00,696.0,702.0,677.0,685.0
