,0
Start,2022-08-13 09:00:00
End,2023-09-16 09:00:00
Duration,399 days 00:00:00
Exposure Time [%],88.75
Equity Final [$],15886373.419999994
Equity Peak [$],16642613.419999994
Return [%],58.86373419999994
Buy & Hold Return [%],-39.24290220820189
Return (Ann.) [%],52.55803971436879
Volatility (Ann.) [%],92.30826298182487
Sharpe Ratio,0.5693752435219939
Sortino Ratio,1.4031937048251575
Calmar Ratio,1.5261190437634773
Max. Drawdown [%],-34.439017014530094
Avg. Drawdown [%],-7.505321166577193
Max. Drawdown Duration,177 days 00:00:00
Avg. Drawdown Duration,21 days 00:00:00
# Trades,15
ticker,RANK_6_[LH11.91_HL-59.86]_KRW-ATOM
explain,# Explain RANK_6_[LH11.91_HL-59.86]_KRW-ATOM 
