,0
Start,2022-08-13 09:00:00
End,2023-09-16 09:00:00
Duration,399 days 00:00:00
Exposure Time [%],87.5
Equity Final [$],15447349.249999998
Equity Peak [$],24497217.310000002
Return [%],54.47349249999998
Buy & Hold Return [%],-69.65289256198346
Return (Ann.) [%],48.70625743408175
Volatility (Ann.) [%],216.3487994558865
Sharpe Ratio,0.22512839246890737
Sortino Ratio,0.7446651958233379
Calmar Ratio,0.8711626900791712
Max. Drawdown [%],-55.90948509245193
Avg. Drawdown [%],-18.79751619042647
Max. Drawdown Duration,126 days 00:00:00
Avg. Drawdown Duration,35 days 00:00:00
# Trades,18
ticker,RANK_6_[LH11.95_HL-71.31]_KRW-KAVA
explain,# Explain RANK_6_[LH11.95_HL-71.31]_KRW-KAVA 
