Date,Open,High,Low,Close
2022-08-13 09:00:00,369.0,375.0,361.0,368.0
2022-08-14 09:00:00,369.0,370.0,359.0,367.0
2022-08-15 09:00:00,367.0,383.0,360.0,370.0
2022-08-16 09:00:00,370.0,383.0,358.0,364.0
2022-08-17 09:00:00,364.0,377.0,357.0,374.0
2022-08-18 09:00:00,374.0,374.0,360.0,364.0
2022-08-19 09:00:00,363.0,364.0,312.0,316.0
2022-08-20 09:00:00,316.0,333.0,314.0,323.0
2022-08-21 09:00:00,323.0,327.0,318.0,326.0
2022-08-22 09:00:00,326.0,326.0,306.0,318.0
2022-08-23 09:00:00,318.0,320.0,307.0,318.0
2022-08-24 09:00:00,318.0,324.0,312.0,321.0
2022-08-25 09:00:00,321.0,330.0,318.0,330.0
2022-08-26 09:00:00,329.0,330.0,304.0,306.0
2022-08-27 09:00:00,306.0,312.0,301.0,305.0
2022-08-28 09:00:00,306.0,321.0,301.0,302.0
2022-08-29 09:00:00,303.0,312.0,300.0,311.0
2022-08-30 09:00:00,311.0,318.0,303.0,312.0
2022-08-31 09:00:00,314.0,316.0,308.0,314.0
2022-09-01 09:00:00,314.0,315.0,300.0,309.0
2022-09-02 09:00:00,309.0,311.0,305.0,310.0
2022-09-03 09:00:00,310.0,310.0,306.0,307.0
2022-09-04 09:00:00,307.0,310.0,306.0,309.0
2022-09-05 09:00:00,309.0,310.0,301.0,305.0
2022-09-06 09:00:00,306.0,309.0,290.0,290.0
2022-09-07 09:00:00,290.0,298.0,286.0,296.0
2022-09-08 09:00:00,297.0,355.0,294.0,311.0
2022-09-09 09:00:00,311.0,318.0,307.0,316.0
2022-09-10 09:00:00,316.0,320.0,308.0,314.0
2022-09-11 09:00:00,314.0,344.0,314.0,324.0
2022-09-12 09:00:00,325.0,329.0,318.0,323.0
2022-09-13 09:00:00,323.0,324.0,301.0,303.0
2022-09-14 09:00:00,303.0,309.0,300.0,308.0
2022-09-15 09:00:00,308.0,317.0,302.0,304.0
2022-09-16 09:00:00,304.0,322.0,303.0,316.0
2022-09-17 09:00:00,316.0,318.0,311.0,316.0
2022-09-18 09:00:00,316.0,333.0,305.0,311.0
2022-09-19 09:00:00,311.0,312.0,296.0,308.0
2022-09-20 09:00:00,308.0,310.0,297.0,301.0
2022-09-21 09:00:00,301.0,327.0,296.0,299.0
2022-09-22 09:00:00,299.0,326.0,299.0,313.0
2022-09-23 09:00:00,313.0,336.0,306.0,323.0
2022-09-24 09:00:00,323.0,330.0,318.0,328.0
2022-09-25 09:00:00,327.0,328.0,312.0,314.0
2022-09-26 09:00:00,314.0,318.0,301.0,318.0
2022-09-27 09:00:00,317.0,328.0,310.0,322.0
2022-09-28 09:00:00,322.0,323.0,306.0,316.0
2022-09-29 09:00:00,315.0,339.0,315.0,322.0
2022-09-30 09:00:00,323.0,323.0,312.0,315.0
2022-10-01 09:00:00,315.0,333.0,313.0,317.0
2022-10-02 09:00:00,316.0,318.0,310.0,311.0
2022-10-03 09:00:00,310.0,318.0,310.0,317.0
2022-10-04 09:00:00,316.0,320.0,312.0,318.0
2022-10-05 09:00:00,319.0,336.0,317.0,322.0
2022-10-06 09:00:00,323.0,324.0,318.0,319.0
2022-10-07 09:00:00,318.0,343.0,315.0,330.0
2022-10-08 09:00:00,330.0,357.0,326.0,334.0
2022-10-09 09:00:00,333.0,334.0,321.0,327.0
2022-10-10 09:00:00,326.0,329.0,319.0,319.0
2022-10-11 09:00:00,321.0,340.0,319.0,331.0
2022-10-12 09:00:00,331.0,338.0,325.0,326.0
2022-10-13 09:00:00,326.0,338.0,302.0,324.0
2022-10-14 09:00:00,325.0,331.0,319.0,322.0
2022-10-15 09:00:00,322.0,325.0,320.0,324.0
2022-10-16 09:00:00,324.0,329.0,321.0,328.0
2022-10-17 09:00:00,328.0,336.0,322.0,335.0
2022-10-18 09:00:00,335.0,335.0,326.0,330.0
2022-10-19 09:00:00,329.0,329.0,317.0,322.0
2022-10-20 09:00:00,321.0,329.0,319.0,319.0
2022-10-21 09:00:00,319.0,324.0,307.0,320.0
2022-10-22 09:00:00,319.0,327.0,318.0,320.0
2022-10-23 09:00:00,321.0,333.0,317.0,327.0
2022-10-24 09:00:00,328.0,356.0,327.0,337.0
2022-10-25 09:00:00,336.0,341.0,322.0,330.0
2022-10-26 09:00:00,329.0,339.0,328.0,333.0
2022-10-27 09:00:00,333.0,337.0,325.0,328.0
2022-10-28 09:00:00,328.0,331.0,322.0,331.0
2022-10-29 09:00:00,330.0,335.0,327.0,328.0
2022-10-30 09:00:00,328.0,331.0,326.0,330.0
2022-10-31 09:00:00,330.0,347.0,324.0,332.0
2022-11-01 09:00:00,331.0,342.0,330.0,337.0
2022-11-02 09:00:00,336.0,339.0,318.0,326.0
2022-11-03 09:00:00,326.0,333.0,324.0,330.0
2022-11-04 09:00:00,330.0,340.0,330.0,340.0
2022-11-05 09:00:00,340.0,343.0,336.0,340.0
2022-11-06 09:00:00,339.0,340.0,330.0,331.0
2022-11-07 09:00:00,331.0,335.0,326.0,331.0
2022-11-08 09:00:00,332.0,332.0,279.0,287.0
2022-11-09 09:00:00,288.0,305.0,200.0,212.0
2022-11-10 09:00:00,212.0,246.0,208.0,246.0
2022-11-11 09:00:00,245.0,249.0,219.0,232.0
2022-11-12 09:00:00,232.0,243.0,216.0,222.0
2022-11-13 09:00:00,222.0,233.0,200.0,210.0
2022-11-14 09:00:00,211.0,212.0,185.0,209.0
2022-11-15 09:00:00,209.0,254.0,207.0,225.0
2022-11-16 09:00:00,225.0,233.0,217.0,223.0
2022-11-17 09:00:00,224.0,232.0,215.0,225.0
2022-11-18 09:00:00,225.0,233.0,222.0,231.0
2022-11-19 09:00:00,231.0,244.0,227.0,240.0
2022-11-20 09:00:00,240.0,261.0,230.0,235.0
2022-11-21 09:00:00,234.0,238.0,225.0,234.0
2022-11-22 09:00:00,235.0,247.0,230.0,245.0
2022-11-23 09:00:00,245.0,255.0,241.0,254.0
2022-11-24 09:00:00,254.0,260.0,236.0,251.0
2022-11-25 09:00:00,251.0,306.0,248.0,256.0
2022-11-26 09:00:00,255.0,256.0,244.0,251.0
2022-11-27 09:00:00,251.0,260.0,242.0,245.0
2022-11-28 09:00:00,245.0,245.0,231.0,237.0
2022-11-29 09:00:00,237.0,239.0,232.0,238.0
2022-11-30 09:00:00,238.0,244.0,236.0,243.0
2022-12-01 09:00:00,242.0,244.0,235.0,241.0
2022-12-02 09:00:00,240.0,240.0,232.0,238.0
2022-12-03 09:00:00,237.0,241.0,236.0,239.0
2022-12-04 09:00:00,239.0,242.0,236.0,241.0
2022-12-05 09:00:00,241.0,242.0,235.0,236.0
2022-12-06 09:00:00,236.0,237.0,234.0,234.0
2022-12-07 09:00:00,236.0,237.0,221.0,231.0
2022-12-08 09:00:00,231.0,237.0,226.0,233.0
2022-12-09 09:00:00,234.0,242.0,234.0,236.0
2022-12-10 09:00:00,236.0,249.0,232.0,242.0
2022-12-11 09:00:00,242.0,249.0,235.0,237.0
2022-12-12 09:00:00,236.0,236.0,225.0,230.0
2022-12-13 09:00:00,230.0,237.0,222.0,233.0
2022-12-14 09:00:00,233.0,240.0,230.0,232.0
2022-12-15 09:00:00,231.0,235.0,225.0,227.0
2022-12-16 09:00:00,227.0,231.0,206.0,211.0
2022-12-17 09:00:00,211.0,215.0,196.0,207.0
2022-12-18 09:00:00,207.0,221.0,204.0,209.0
2022-12-19 09:00:00,208.0,211.0,192.0,200.0
2022-12-20 09:00:00,200.0,209.0,193.0,208.0
2022-12-21 09:00:00,208.0,226.0,204.0,210.0
2022-12-22 09:00:00,211.0,211.0,201.0,205.0
2022-12-23 09:00:00,205.0,209.0,203.0,208.0
2022-12-24 09:00:00,208.0,222.0,208.0,215.0
2022-12-25 09:00:00,215.0,215.0,206.0,209.0
2022-12-26 09:00:00,208.0,209.0,198.0,204.0
2022-12-27 09:00:00,203.0,204.0,194.0,195.0
2022-12-28 09:00:00,197.0,197.0,183.0,186.0
2022-12-29 09:00:00,185.0,187.0,177.0,185.0
2022-12-30 09:00:00,184.0,185.0,176.0,181.0
2022-12-31 09:00:00,180.0,187.0,179.0,186.0
2023-01-01 09:00:00,186.0,189.0,183.0,187.0
2023-01-02 09:00:00,187.0,194.0,184.0,189.0
2023-01-03 09:00:00,188.0,190.0,186.0,188.0
2023-01-04 09:00:00,188.0,193.0,187.0,191.0
2023-01-05 09:00:00,191.0,194.0,188.0,190.0
2023-01-06 09:00:00,192.0,194.0,186.0,191.0
2023-01-07 09:00:00,192.0,193.0,189.0,190.0
2023-01-08 09:00:00,190.0,194.0,188.0,193.0
2023-01-09 09:00:00,193.0,202.0,191.0,199.0
2023-01-10 09:00:00,198.0,204.0,194.0,202.0
2023-01-11 09:00:00,202.0,212.0,201.0,209.0
2023-01-12 09:00:00,208.0,212.0,203.0,210.0
2023-01-13 09:00:00,211.0,216.0,207.0,216.0
2023-01-14 09:00:00,216.0,229.0,210.0,225.0
2023-01-15 09:00:00,224.0,250.0,218.0,227.0
2023-01-16 09:00:00,227.0,236.0,221.0,230.0
2023-01-17 09:00:00,231.0,236.0,224.0,232.0
2023-01-18 09:00:00,233.0,314.0,231.0,236.0
2023-01-19 09:00:00,236.0,240.0,226.0,239.0
2023-01-20 09:00:00,239.0,249.0,231.0,248.0
2023-01-21 09:00:00,248.0,249.0,241.0,243.0
2023-01-22 09:00:00,243.0,246.0,242.0,246.0
2023-01-23 09:00:00,245.0,250.0,242.0,249.0
2023-01-24 09:00:00,249.0,256.0,235.0,241.0
2023-01-25 09:00:00,241.0,251.0,232.0,247.0
2023-01-26 09:00:00,246.0,259.0,242.0,251.0
2023-01-27 09:00:00,251.0,274.0,245.0,259.0
2023-01-28 09:00:00,259.0,259.0,248.0,253.0
2023-01-29 09:00:00,253.0,255.0,249.0,255.0
2023-01-30 09:00:00,255.0,261.0,233.0,238.0
2023-01-31 09:00:00,238.0,242.0,230.0,241.0
2023-02-01 09:00:00,241.0,249.0,231.0,246.0
2023-02-02 09:00:00,246.0,255.0,244.0,253.0
2023-02-03 09:00:00,253.0,267.0,249.0,266.0
2023-02-04 09:00:00,265.0,291.0,260.0,280.0
2023-02-05 09:00:00,280.0,298.0,254.0,274.0
2023-02-06 09:00:00,275.0,304.0,270.0,285.0
2023-02-07 09:00:00,285.0,306.0,279.0,295.0
2023-02-08 09:00:00,295.0,295.0,283.0,291.0
2023-02-09 09:00:00,291.0,309.0,266.0,275.0
2023-02-10 09:00:00,274.0,284.0,262.0,277.0
2023-02-11 09:00:00,277.0,280.0,270.0,278.0
2023-02-12 09:00:00,277.0,305.0,277.0,288.0
2023-02-13 09:00:00,288.0,288.0,264.0,274.0
2023-02-14 09:00:00,274.0,281.0,260.0,280.0
2023-02-15 09:00:00,279.0,311.0,279.0,306.0
2023-02-16 09:00:00,305.0,309.0,292.0,296.0
2023-02-17 09:00:00,296.0,311.0,292.0,311.0
2023-02-18 09:00:00,311.0,324.0,304.0,311.0
2023-02-19 09:00:00,311.0,312.0,300.0,309.0
2023-02-20 09:00:00,308.0,320.0,301.0,319.0
2023-02-21 09:00:00,318.0,323.0,304.0,311.0
2023-02-22 09:00:00,312.0,322.0,293.0,319.0
2023-02-23 09:00:00,318.0,321.0,306.0,319.0
2023-02-24 09:00:00,318.0,344.0,313.0,334.0
2023-02-25 09:00:00,334.0,338.0,313.0,325.0
2023-02-26 09:00:00,326.0,326.0,317.0,323.0
2023-02-27 09:00:00,322.0,323.0,313.0,320.0
2023-02-28 09:00:00,319.0,320.0,311.0,316.0
2023-03-01 09:00:00,315.0,338.0,307.0,317.0
2023-03-02 09:00:00,315.0,317.0,299.0,304.0
2023-03-03 09:00:00,305.0,305.0,278.0,285.0
2023-03-04 09:00:00,285.0,289.0,282.0,287.0
2023-03-05 09:00:00,287.0,289.0,279.0,287.0
2023-03-06 09:00:00,286.0,287.0,272.0,280.0
2023-03-07 09:00:00,279.0,281.0,263.0,271.0
2023-03-08 09:00:00,271.0,271.0,251.0,252.0
2023-03-09 09:00:00,252.0,258.0,234.0,237.0
2023-03-10 09:00:00,238.0,240.0,224.0,240.0
2023-03-11 09:00:00,240.0,246.0,231.0,242.0
2023-03-12 09:00:00,242.0,253.0,231.0,252.0
2023-03-13 09:00:00,251.0,268.0,243.0,265.0
2023-03-14 09:00:00,264.0,279.0,258.0,276.0
2023-03-15 09:00:00,276.0,278.0,262.0,267.0
2023-03-16 09:00:00,267.0,274.0,262.0,273.0
2023-03-17 09:00:00,273.0,287.0,270.0,287.0
2023-03-18 09:00:00,287.0,298.0,282.0,285.0
2023-03-19 09:00:00,285.0,292.0,281.0,290.0
2023-03-20 09:00:00,291.0,295.0,282.0,286.0
2023-03-21 09:00:00,287.0,293.0,268.0,281.0
2023-03-22 09:00:00,280.0,281.0,268.0,271.0
2023-03-23 09:00:00,270.0,278.0,267.0,277.0
