Date,Open,High,Low,Close
2022-08-13 09:00:00,75.3,79.2,72.8,73.9
2022-08-14 09:00:00,73.9,75.3,73.1,74.1
2022-08-15 09:00:00,74.2,74.5,72.1,72.5
2022-08-16 09:00:00,72.5,72.5,69.3,70.6
2022-08-17 09:00:00,70.5,70.8,67.0,67.5
2022-08-18 09:00:00,67.7,70.4,66.7,69.3
2022-08-19 09:00:00,69.0,69.3,60.0,60.5
2022-08-20 09:00:00,60.5,62.7,60.3,61.7
2022-08-21 09:00:00,61.9,62.4,60.5,61.7
2022-08-22 09:00:00,61.7,64.2,58.8,60.5
2022-08-23 09:00:00,60.5,61.8,59.3,61.3
2022-08-24 09:00:00,61.3,63.4,59.9,61.2
2022-08-25 09:00:00,61.2,90.7,60.9,78.0
2022-08-26 09:00:00,78.1,90.1,69.5,72.0
2022-08-27 09:00:00,72.0,83.5,71.0,77.3
2022-08-28 09:00:00,77.1,79.9,69.4,70.1
2022-08-29 09:00:00,69.9,70.6,65.0,69.3
2022-08-30 09:00:00,69.4,73.9,65.1,66.5
2022-08-31 09:00:00,66.5,67.0,65.0,66.0
2022-09-01 09:00:00,66.0,67.3,63.1,65.3
2022-09-02 09:00:00,65.2,65.2,63.6,64.7
2022-09-03 09:00:00,64.7,66.8,63.8,64.6
2022-09-04 09:00:00,64.5,64.7,63.6,64.6
2022-09-05 09:00:00,64.8,64.8,61.5,63.6
2022-09-06 09:00:00,63.6,64.1,60.7,60.7
2022-09-07 09:00:00,60.8,62.4,59.3,61.8
2022-09-08 09:00:00,61.7,72.1,61.4,65.3
2022-09-09 09:00:00,65.3,77.6,64.2,68.9
2022-09-10 09:00:00,68.9,69.1,66.6,67.7
2022-09-11 09:00:00,67.7,89.0,66.6,82.9
2022-09-12 09:00:00,83.0,107.0,81.2,87.3
2022-09-13 09:00:00,87.3,93.4,75.6,82.9
2022-09-14 09:00:00,83.0,87.9,76.4,81.2
2022-09-15 09:00:00,81.2,90.0,74.2,83.8
2022-09-16 09:00:00,83.8,99.2,81.2,88.1
2022-09-17 09:00:00,88.2,93.0,84.1,88.4
2022-09-18 09:00:00,88.3,91.0,76.3,79.9
2022-09-19 09:00:00,79.9,85.6,76.6,82.0
2022-09-20 09:00:00,82.0,82.7,77.2,78.0
2022-09-21 09:00:00,78.1,89.4,75.1,79.6
2022-09-22 09:00:00,79.6,82.6,78.8,81.4
2022-09-23 09:00:00,81.5,83.7,77.0,79.7
2022-09-24 09:00:00,79.7,79.8,78.0,78.6
2022-09-25 09:00:00,78.7,78.8,76.5,76.7
2022-09-26 09:00:00,76.8,78.2,73.2,75.8
2022-09-27 09:00:00,75.8,81.2,75.2,78.4
2022-09-28 09:00:00,78.4,78.4,74.8,76.3
2022-09-29 09:00:00,76.3,76.3,73.6,74.9
2022-09-30 09:00:00,74.9,75.3,73.8,75.0
2022-10-01 09:00:00,75.0,79.9,74.5,76.6
2022-10-02 09:00:00,76.6,76.7,73.9,74.2
2022-10-03 09:00:00,74.2,75.4,73.0,74.8
2022-10-04 09:00:00,74.6,75.3,73.6,75.1
2022-10-05 09:00:00,75.0,75.1,73.1,73.9
2022-10-06 09:00:00,73.9,77.4,73.8,74.8
2022-10-07 09:00:00,74.6,75.0,73.0,73.8
2022-10-08 09:00:00,73.8,76.4,73.6,74.4
