,0
Start,2022-08-13 09:00:00
End,2023-09-16 09:00:00
Duration,399 days 00:00:00
Exposure Time [%],92.25
Equity Final [$],8031342.79
Equity Peak [$],10593250.600000001
Return [%],-19.6865721
Buy & Hold Return [%],-35.313901345291484
Return (Ann.) [%],-18.1310541496171
Volatility (Ann.) [%],48.47090218017955
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-36.869115604609604
Avg. Drawdown [%],-25.917939881743735
Max. Drawdown Duration,159 days 00:00:00
Avg. Drawdown Duration,93 days 00:00:00
# Trades,20
ticker,RANK_6_[LH31.14_HL-40.15]_KRW-SBD
explain,# Explain RANK_6_[LH31.14_HL-40.15]_KRW-SBD 
