,0
Start,2022-08-13 09:00:00
End,2023-09-16 09:00:00
Duration,399 days 00:00:00
Exposure Time [%],91.0
Equity Final [$],4915935.187999999
Equity Peak [$],10000000.0
Return [%],-50.84064812000001
Buy & Hold Return [%],-40.56603773584906
Return (Ann.) [%],-47.68929049897049
Volatility (Ann.) [%],41.19443088859781
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-73.15689944000002
Avg. Drawdown [%],-73.15689944000002
Max. Drawdown Duration,364 days 00:00:00
Avg. Drawdown Duration,364 days 00:00:00
# Trades,18
ticker,RANK_6_[LH34.62_HL-44.74]_KRW-STRAX
explain,# Explain RANK_6_[LH34.62_HL-44.74]_KRW-STRAX 
