,0
Start,2022-08-13 09:00:00
End,2023-09-16 09:00:00
Duration,399 days 00:00:00
Exposure Time [%],92.0
Equity Final [$],8187214.957199996
Equity Peak [$],12699950.027599998
Return [%],-18.127850428000038
Buy & Hold Return [%],-57.048092868988384
Return (Ann.) [%],-16.68239525445867
Volatility (Ann.) [%],76.51269288405713
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-56.5276549439955
Avg. Drawdown [%],-37.48310717553145
Max. Drawdown Duration,206 days 00:00:00
Avg. Drawdown Duration,122 days 00:00:00
# Trades,20
ticker,RANK_6_[LH40.0_HL-64.03]_KRW-ANKR
explain,# Explain RANK_6_[LH40.0_HL-64.03]_KRW-ANKR 
