Date,Open,High,Low,Close
2022-08-13 09:00:00,59.7,61.1,58.8,60.0
2022-08-14 09:00:00,60.0,62.8,58.7,60.4
2022-08-15 09:00:00,60.3,60.5,57.5,59.0
2022-08-16 09:00:00,59.1,59.2,56.4,57.5
2022-08-17 09:00:00,57.5,61.6,55.4,57.3
2022-08-18 09:00:00,57.3,59.0,56.2,56.7
2022-08-19 09:00:00,56.7,56.8,49.4,49.9
2022-08-20 09:00:00,49.9,51.8,49.0,50.6
2022-08-21 09:00:00,50.5,51.4,49.4,50.9
2022-08-22 09:00:00,51.0,51.0,47.7,49.7
2022-08-23 09:00:00,49.5,50.2,48.1,49.9
2022-08-24 09:00:00,49.9,50.8,48.8,50.2
2022-08-25 09:00:00,50.0,54.5,49.4,52.4
2022-08-26 09:00:00,52.8,53.3,48.3,48.9
2022-08-27 09:00:00,48.9,52.1,47.9,49.0
2022-08-28 09:00:00,49.0,49.9,47.7,47.7
2022-08-29 09:00:00,48.0,50.1,46.8,49.1
2022-08-30 09:00:00,49.1,67.7,48.9,62.5
2022-08-31 09:00:00,62.5,64.9,57.5,58.2
2022-09-01 09:00:00,58.1,58.3,53.6,56.4
2022-09-02 09:00:00,56.4,57.2,52.9,54.4
2022-09-03 09:00:00,54.4,54.5,52.5,53.4
2022-09-04 09:00:00,53.3,53.8,51.7,53.3
2022-09-05 09:00:00,53.2,53.2,51.7,52.7
2022-09-06 09:00:00,52.6,52.8,48.8,49.3
2022-09-07 09:00:00,49.1,50.3,47.4,50.2
2022-09-08 09:00:00,50.2,51.9,49.3,51.3
2022-09-09 09:00:00,51.3,52.6,51.0,52.5
2022-09-10 09:00:00,52.4,52.5,50.7,52.1
2022-09-11 09:00:00,52.0,53.3,51.3,52.5
2022-09-12 09:00:00,52.5,55.2,51.8,53.0
2022-09-13 09:00:00,52.8,53.0,48.5,49.0
2022-09-14 09:00:00,48.8,49.7,48.5,49.4
2022-09-15 09:00:00,49.5,51.4,48.1,48.6
2022-09-16 09:00:00,48.6,49.6,48.0,48.5
2022-09-17 09:00:00,48.5,49.4,48.4,48.8
2022-09-18 09:00:00,48.9,51.1,45.2,46.0
2022-09-19 09:00:00,46.0,47.4,44.0,46.3
2022-09-20 09:00:00,46.4,46.7,45.0,45.6
2022-09-21 09:00:00,45.6,47.1,44.3,44.9
2022-09-22 09:00:00,45.0,46.7,44.6,46.4
2022-09-23 09:00:00,46.4,50.9,45.1,46.9
2022-09-24 09:00:00,46.8,48.2,46.2,47.0
2022-09-25 09:00:00,47.0,48.7,45.6,46.3
2022-09-26 09:00:00,46.2,46.9,44.2,46.9
2022-09-27 09:00:00,46.9,47.4,45.5,46.3
2022-09-28 09:00:00,46.3,46.7,44.8,45.9
2022-09-29 09:00:00,46.0,51.1,45.5,47.0
2022-09-30 09:00:00,47.0,48.5,46.0,46.8
2022-10-01 09:00:00,46.6,46.9,45.7,46.1
2022-10-02 09:00:00,46.2,46.6,45.3,45.5
2022-10-03 09:00:00,45.5,45.9,45.1,45.9
2022-10-04 09:00:00,45.8,46.1,45.4,46.0
2022-10-05 09:00:00,46.0,46.1,45.2,45.5
2022-10-06 09:00:00,45.5,45.8,45.2,45.3
2022-10-07 09:00:00,45.3,46.7,44.9,45.5
2022-10-08 09:00:00,45.5,46.4,45.2,46.0
2022-10-09 09:00:00,46.0,46.4,45.4,45.9
2022-10-10 09:00:00,45.8,46.2,44.6,44.8
2022-10-11 09:00:00,44.8,44.9,43.3,43.6
2022-10-12 09:00:00,43.7,46.0,43.0,43.5
2022-10-13 09:00:00,43.5,45.7,40.1,43.4
2022-10-14 09:00:00,43.4,44.5,42.1,42.8
2022-10-15 09:00:00,42.8,43.1,42.0,42.5
2022-10-16 09:00:00,42.6,42.9,42.2,42.8
2022-10-17 09:00:00,42.7,43.5,42.1,43.4
2022-10-18 09:00:00,43.4,46.1,43.1,43.9
2022-10-19 09:00:00,43.8,44.7,41.4,42.2
2022-10-20 09:00:00,42.1,43.9,41.3,42.5
2022-10-21 09:00:00,42.5,42.5,41.2,42.2
2022-10-22 09:00:00,42.3,43.0,41.8,42.3
2022-10-23 09:00:00,42.2,43.4,41.8,42.7
2022-10-24 09:00:00,42.8,43.8,41.5,42.1
2022-10-25 09:00:00,42.1,43.7,41.9,43.4
2022-10-26 09:00:00,43.4,43.6,42.8,43.6
2022-10-27 09:00:00,43.4,43.7,42.6,42.7
2022-10-28 09:00:00,42.6,43.0,42.0,42.9
2022-10-29 09:00:00,42.8,43.3,42.7,43.0
2022-10-30 09:00:00,43.0,43.5,42.8,43.0
2022-10-31 09:00:00,43.0,43.5,42.5,43.3
2022-11-01 09:00:00,43.3,46.1,42.9,43.8
2022-11-02 09:00:00,43.8,43.9,43.0,43.5
2022-11-03 09:00:00,43.5,46.0,43.3,44.9
2022-11-04 09:00:00,44.9,49.7,44.5,46.8
2022-11-05 09:00:00,46.6,47.5,46.1,46.9
2022-11-06 09:00:00,46.8,51.0,44.7,44.8
2022-11-07 09:00:00,44.7,52.0,44.3,46.8
2022-11-08 09:00:00,46.7,46.9,39.7,40.9
2022-11-09 09:00:00,40.8,43.8,28.3,30.0
2022-11-10 09:00:00,30.0,34.4,28.8,34.3
2022-11-11 09:00:00,34.4,38.1,31.6,33.5
2022-11-12 09:00:00,33.4,35.7,31.5,32.2
2022-11-13 09:00:00,32.2,35.0,28.1,30.1
2022-11-14 09:00:00,30.1,31.2,26.8,29.8
2022-11-15 09:00:00,29.9,35.7,29.5,31.2
2022-11-16 09:00:00,31.2,33.4,30.3,31.5
2022-11-17 09:00:00,31.6,32.2,30.2,31.8
2022-11-18 09:00:00,31.8,33.0,31.1,32.6
2022-11-19 09:00:00,32.5,36.7,32.4,34.8
2022-11-20 09:00:00,34.8,37.2,32.6,33.3
2022-11-21 09:00:00,33.3,34.9,31.7,32.8
2022-11-22 09:00:00,32.7,37.3,32.5,35.5
2022-11-23 09:00:00,35.5,38.4,35.2,37.6
2022-11-24 09:00:00,37.7,41.4,33.2,36.5
2022-11-25 09:00:00,36.5,36.5,33.4,34.8
2022-11-26 09:00:00,34.8,36.2,34.2,34.8
2022-11-27 09:00:00,34.9,35.1,33.9,34.5
2022-11-28 09:00:00,34.5,34.5,32.7,33.1
2022-11-29 09:00:00,33.1,33.7,32.8,33.5
2022-11-30 09:00:00,33.5,34.2,33.2,34.1
2022-12-01 09:00:00,34.1,35.5,33.5,34.0
2022-12-02 09:00:00,34.0,35.5,32.6,34.0
2022-12-03 09:00:00,34.1,34.1,33.4,33.8
2022-12-04 09:00:00,33.6,33.9,33.4,33.6
2022-12-05 09:00:00,33.6,33.8,32.6,32.8
2022-12-06 09:00:00,32.8,33.1,32.5,32.9
2022-12-07 09:00:00,32.8,33.3,31.1,31.7
2022-12-08 09:00:00,31.8,32.3,31.1,32.1
2022-12-09 09:00:00,32.2,32.8,31.8,32.7
2022-12-10 09:00:00,32.7,33.6,32.4,33.6
2022-12-11 09:00:00,33.6,33.6,32.2,32.3
2022-12-12 09:00:00,32.3,32.5,30.6,31.5
2022-12-13 09:00:00,31.5,32.2,30.2,31.5
2022-12-14 09:00:00,31.5,32.7,31.1,31.1
2022-12-15 09:00:00,31.1,32.4,30.3,30.8
2022-12-16 09:00:00,30.8,31.0,27.8,28.2
2022-12-17 09:00:00,28.2,28.7,26.1,27.7
2022-12-18 09:00:00,27.7,27.9,27.3,27.8
2022-12-19 09:00:00,27.7,28.5,25.2,25.7
2022-12-20 09:00:00,25.7,27.6,25.2,26.8
2022-12-21 09:00:00,26.8,29.8,26.8,27.2
2022-12-22 09:00:00,27.2,28.1,26.3,27.0
2022-12-23 09:00:00,26.7,27.2,26.5,27.0
2022-12-24 09:00:00,27.0,27.3,26.7,27.3
2022-12-25 09:00:00,27.3,27.6,26.3,26.6
2022-12-26 09:00:00,26.6,26.7,25.6,25.8
2022-12-27 09:00:00,25.8,25.9,24.2,24.5
2022-12-28 09:00:00,24.4,24.5,22.2,22.8
2022-12-29 09:00:00,22.6,22.9,21.6,22.3
2022-12-30 09:00:00,22.3,22.7,21.0,21.6
2022-12-31 09:00:00,21.7,23.6,21.5,22.3
2023-01-01 09:00:00,22.2,23.3,22.0,22.8
2023-01-02 09:00:00,22.7,23.3,22.7,23.1
2023-01-03 09:00:00,23.1,23.2,22.7,23.0
