,0
Start,2022-08-13 09:00:00
End,2023-09-16 09:00:00
Duration,399 days 00:00:00
Exposure Time [%],93.25
Equity Final [$],4768018.8100000005
Equity Peak [$],12317374.260000002
Return [%],-52.31981189999999
Buy & Hold Return [%],-75.0
Return (Ann.) [%],-49.12746391180301
Volatility (Ann.) [%],53.86433970830623
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-72.12680245375607
Avg. Drawdown [%],-41.91615430387442
Max. Drawdown Duration,327 days 00:00:00
Avg. Drawdown Duration,184 days 00:00:00
# Trades,26
ticker,RANK_7_[LH15.36_HL-75.85]_KRW-AXS
explain,# Explain RANK_7_[LH15.36_HL-75.85]_KRW-AXS 
