Date,Open,High,Low,Close
2022-08-13 09:00:00,7.77,7.81,7.67,7.74
2022-08-14 09:00:00,7.72,8.32,7.71,7.87
2022-08-15 09:00:00,7.88,7.9,7.6,7.68
2022-08-16 09:00:00,7.68,7.84,7.41,7.53
2022-08-17 09:00:00,7.54,7.72,7.37,7.44
2022-08-18 09:00:00,7.45,8.05,7.42,7.59
2022-08-19 09:00:00,7.59,8.12,6.9,7.12
2022-08-20 09:00:00,7.12,8.06,7.1,7.54
2022-08-21 09:00:00,7.54,7.55,7.2,7.48
2022-08-22 09:00:00,7.49,7.64,7.1,7.54
2022-08-23 09:00:00,7.54,7.55,7.21,7.41
2022-08-24 09:00:00,7.41,8.06,7.3,7.61
2022-08-25 09:00:00,7.72,7.84,7.54,7.72
2022-08-26 09:00:00,7.73,8.07,7.52,7.82
2022-08-27 09:00:00,7.82,7.88,7.6,7.8
2022-08-28 09:00:00,7.81,8.14,7.7,7.94
2022-08-29 09:00:00,7.94,8.24,7.76,8.24
2022-08-30 09:00:00,8.22,9.4,8.06,8.49
2022-08-31 09:00:00,8.49,8.91,8.13,8.23
2022-09-01 09:00:00,8.23,8.24,7.74,8.0
2022-09-02 09:00:00,8.0,8.0,7.78,7.9
2022-09-03 09:00:00,7.89,8.19,7.88,7.96
2022-09-04 09:00:00,7.96,7.99,7.7,7.78
2022-09-05 09:00:00,7.78,8.0,7.61,7.78
2022-09-06 09:00:00,7.78,8.24,7.52,7.59
2022-09-07 09:00:00,7.59,7.69,7.25,7.64
2022-09-08 09:00:00,7.63,7.89,7.47,7.83
2022-09-09 09:00:00,7.83,8.1,7.77,8.0
2022-09-10 09:00:00,8.0,8.02,7.77,7.93
2022-09-11 09:00:00,7.93,8.22,7.79,8.11
2022-09-12 09:00:00,8.11,8.15,7.87,8.03
2022-09-13 09:00:00,8.02,8.02,7.3,7.39
2022-09-14 09:00:00,7.41,7.76,7.32,7.52
2022-09-15 09:00:00,7.52,7.56,7.27,7.35
2022-09-16 09:00:00,7.35,7.37,7.25,7.33
2022-09-17 09:00:00,7.32,7.47,7.29,7.42
2022-09-18 09:00:00,7.42,7.56,6.81,6.87
2022-09-19 09:00:00,6.87,6.95,6.4,6.88
2022-09-20 09:00:00,6.87,6.88,6.53,6.66
2022-09-21 09:00:00,6.66,6.93,6.5,6.59
2022-09-22 09:00:00,6.59,7.01,6.57,6.85
2022-09-23 09:00:00,6.84,7.24,6.78,6.91
2022-09-24 09:00:00,6.91,7.24,6.9,6.97
2022-09-25 09:00:00,6.93,7.05,6.81,6.85
2022-09-26 09:00:00,6.84,6.85,6.51,6.72
2022-09-27 09:00:00,6.72,6.79,6.53,6.69
2022-09-28 09:00:00,6.67,6.7,6.5,6.61
2022-09-29 09:00:00,6.61,6.73,6.49,6.59
2022-09-30 09:00:00,6.59,6.73,6.55,6.61
2022-10-01 09:00:00,6.61,6.63,6.54,6.58
2022-10-02 09:00:00,6.58,6.6,6.48,6.5
2022-10-03 09:00:00,6.51,6.56,6.45,6.53
2022-10-04 09:00:00,6.55,6.62,6.51,6.58
2022-10-05 09:00:00,6.6,6.6,6.49,6.52
2022-10-06 09:00:00,6.53,6.64,6.5,6.55
2022-10-07 09:00:00,6.55,6.6,6.47,6.55
2022-10-08 09:00:00,6.55,6.75,6.5,6.71
2022-10-09 09:00:00,6.72,6.93,6.58,6.65
2022-10-10 09:00:00,6.65,6.97,6.46,6.46
2022-10-11 09:00:00,6.47,6.47,6.03,6.24
2022-10-12 09:00:00,6.23,6.6,6.13,6.2
2022-10-13 09:00:00,6.2,6.22,5.62,6.03
2022-10-14 09:00:00,6.01,6.13,5.97,6.08
2022-10-15 09:00:00,6.08,6.39,5.97,6.07
2022-10-16 09:00:00,6.07,6.08,6.01,6.07
2022-10-17 09:00:00,6.07,6.3,5.95,6.28
2022-10-18 09:00:00,6.28,6.3,6.09,6.17
2022-10-19 09:00:00,6.17,6.19,5.9,5.91
2022-10-20 09:00:00,5.91,6.12,5.82,5.83
2022-10-21 09:00:00,5.84,6.21,5.63,5.84
2022-10-22 09:00:00,5.83,5.87,5.75,5.85
2022-10-23 09:00:00,5.86,6.2,5.83,5.94
2022-10-24 09:00:00,5.93,6.17,5.88,6.02
2022-10-25 09:00:00,6.02,6.45,5.95,6.21
2022-10-26 09:00:00,6.21,6.33,6.08,6.18
2022-10-27 09:00:00,6.17,6.18,6.06,6.07
2022-10-28 09:00:00,6.09,6.3,6.0,6.24
2022-10-29 09:00:00,6.23,6.28,6.16,6.19
2022-10-30 09:00:00,6.2,6.25,6.11,6.14
2022-10-31 09:00:00,6.14,6.23,6.02,6.15
2022-11-01 09:00:00,6.13,6.2,6.09,6.13
2022-11-02 09:00:00,6.14,6.15,5.96,5.99
2022-11-03 09:00:00,6.01,6.27,5.98,6.12
2022-11-04 09:00:00,6.13,6.26,6.08,6.25
2022-11-05 09:00:00,6.24,6.35,6.2,6.29
2022-11-06 09:00:00,6.3,6.46,6.11,6.12
2022-11-07 09:00:00,6.12,6.16,6.01,6.08
2022-11-08 09:00:00,6.07,6.19,5.35,5.48
2022-11-09 09:00:00,5.49,5.57,3.65,4.14
2022-11-10 09:00:00,4.14,4.75,4.1,4.73
2022-11-11 09:00:00,4.73,4.92,4.3,4.59
2022-11-12 09:00:00,4.59,4.76,4.17,4.32
2022-11-13 09:00:00,4.34,4.9,3.96,4.14
2022-11-14 09:00:00,4.12,4.32,3.72,4.14
2022-11-15 09:00:00,4.14,4.45,4.06,4.25
2022-11-16 09:00:00,4.25,4.35,4.04,4.24
2022-11-17 09:00:00,4.23,4.38,4.07,4.19
2022-11-18 09:00:00,4.18,4.27,4.14,4.25
2022-11-19 09:00:00,4.24,4.91,4.23,4.55
2022-11-20 09:00:00,4.52,4.95,4.3,4.38
2022-11-21 09:00:00,4.4,4.81,4.3,4.49
2022-11-22 09:00:00,4.47,4.64,4.32,4.63
2022-11-23 09:00:00,4.62,4.95,4.57,4.94
2022-11-24 09:00:00,4.94,5.13,4.46,4.86
2022-11-25 09:00:00,4.86,4.86,4.53,4.69
2022-11-26 09:00:00,4.7,4.83,4.61,4.74
2022-11-27 09:00:00,4.73,4.81,4.61,4.65
2022-11-28 09:00:00,4.65,4.66,4.38,4.48
2022-11-29 09:00:00,4.48,4.81,4.44,4.6
2022-11-30 09:00:00,4.59,4.83,4.55,4.63
2022-12-01 09:00:00,4.63,4.67,4.55,4.59
2022-12-02 09:00:00,4.59,4.73,4.42,4.62
2022-12-03 09:00:00,4.62,4.67,4.57,4.58
2022-12-04 09:00:00,4.58,4.6,4.49,4.53
2022-12-05 09:00:00,4.53,4.54,4.45,4.45
2022-12-06 09:00:00,4.45,4.51,4.41,4.44
2022-12-07 09:00:00,4.44,5.18,4.18,4.45
2022-12-08 09:00:00,4.44,5.28,4.24,4.7
2022-12-09 09:00:00,4.7,6.09,4.55,5.89
2022-12-10 09:00:00,5.88,6.26,5.2,5.34
2022-12-11 09:00:00,5.34,5.44,5.01,5.1
2022-12-12 09:00:00,5.08,5.08,4.76,4.94
2022-12-13 09:00:00,4.94,5.05,4.6,4.85
2022-12-14 09:00:00,4.84,4.97,4.7,4.8
2022-12-15 09:00:00,4.79,5.09,4.67,4.71
2022-12-16 09:00:00,4.7,4.77,4.27,4.33
2022-12-17 09:00:00,4.3,4.56,4.07,4.24
2022-12-18 09:00:00,4.24,4.52,4.1,4.22
2022-12-19 09:00:00,4.25,4.28,3.85,4.0
2022-12-20 09:00:00,3.99,4.42,3.93,4.18
2022-12-21 09:00:00,4.18,4.89,4.12,4.28
2022-12-22 09:00:00,4.28,4.4,4.07,4.15
2022-12-23 09:00:00,4.15,4.3,4.11,4.2
2022-12-24 09:00:00,4.2,4.26,4.18,4.2
2022-12-25 09:00:00,4.2,4.29,4.11,4.13
2022-12-26 09:00:00,4.12,4.16,3.93,4.06
2022-12-27 09:00:00,4.06,4.07,3.89,3.93
2022-12-28 09:00:00,3.93,3.95,3.66,3.78
2022-12-29 09:00:00,3.75,3.87,3.63,3.81
