,0
Start,2022-08-13 09:00:00
End,2023-09-16 09:00:00
Duration,399 days 00:00:00
Exposure Time [%],92.75
Equity Final [$],2316907.628659997
Equity Peak [$],12633438.02254
Return [%],-76.83092371340003
Buy & Hold Return [%],-48.320413436692505
Return (Ann.) [%],-73.66828132082752
Volatility (Ann.) [%],24.80166331083319
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-85.41741300671217
Avg. Drawdown [%],-11.08177603656229
Max. Drawdown Duration,331 days 00:00:00
Avg. Drawdown Duration,41 days 00:00:00
# Trades,18
ticker,RANK_7_[LH20.85_HL-57.45]_KRW-MVL
explain,# Explain RANK_7_[LH20.85_HL-57.45]_KRW-MVL 
