Date,Open,High,Low,Close
2022-08-13 09:00:00,117.0,117.0,113.0,114.0
2022-08-14 09:00:00,114.0,115.0,110.0,111.0
2022-08-15 09:00:00,111.0,113.0,109.0,111.0
2022-08-16 09:00:00,110.0,111.0,105.0,108.0
2022-08-17 09:00:00,108.0,109.0,102.0,105.0
2022-08-18 09:00:00,104.0,105.0,103.0,104.0
2022-08-19 09:00:00,104.0,105.0,91.1,92.5
2022-08-20 09:00:00,92.5,101.0,91.4,94.8
2022-08-21 09:00:00,94.9,98.9,93.0,95.4
2022-08-22 09:00:00,95.5,95.5,89.1,92.8
2022-08-23 09:00:00,92.6,93.2,89.5,93.2
2022-08-24 09:00:00,93.2,99.6,93.1,94.1
2022-08-25 09:00:00,94.1,96.2,91.9,95.5
2022-08-26 09:00:00,95.2,98.6,89.9,90.7
2022-08-27 09:00:00,90.7,98.0,88.8,90.9
2022-08-28 09:00:00,90.7,90.8,89.1,90.0
2022-08-29 09:00:00,89.5,92.8,88.3,92.0
2022-08-30 09:00:00,92.2,96.9,89.8,91.5
2022-08-31 09:00:00,91.5,96.1,90.7,92.3
2022-09-01 09:00:00,92.3,92.8,88.8,92.0
2022-09-02 09:00:00,91.8,93.5,89.8,91.4
2022-09-03 09:00:00,91.2,92.0,90.1,92.0
2022-09-04 09:00:00,92.0,98.7,91.0,92.0
2022-09-05 09:00:00,91.8,92.1,89.4,90.7
2022-09-06 09:00:00,90.5,91.3,86.0,87.4
2022-09-07 09:00:00,87.4,89.4,84.6,88.8
2022-09-08 09:00:00,89.0,92.8,88.2,92.6
2022-09-09 09:00:00,92.6,95.0,91.7,95.0
2022-09-10 09:00:00,95.1,95.1,92.4,94.3
2022-09-11 09:00:00,94.1,96.3,93.3,96.1
2022-09-12 09:00:00,96.2,102.0,94.4,96.9
2022-09-13 09:00:00,96.9,99.8,89.4,90.5
2022-09-14 09:00:00,90.4,93.5,89.3,91.3
2022-09-15 09:00:00,91.3,91.6,88.7,90.0
2022-09-16 09:00:00,90.0,90.3,88.3,90.0
2022-09-17 09:00:00,89.9,90.9,89.2,90.7
2022-09-18 09:00:00,90.7,96.4,83.9,86.3
2022-09-19 09:00:00,86.4,89.9,83.3,87.5
2022-09-20 09:00:00,87.4,87.4,84.4,85.3
2022-09-21 09:00:00,85.3,88.3,83.5,84.9
2022-09-22 09:00:00,84.9,102.0,84.1,95.7
2022-09-23 09:00:00,94.5,96.9,88.8,92.0
2022-09-24 09:00:00,92.0,96.6,90.5,91.5
2022-09-25 09:00:00,91.3,93.4,88.1,89.4
2022-09-26 09:00:00,89.5,89.8,85.5,88.3
2022-09-27 09:00:00,88.3,89.0,86.7,88.3
2022-09-28 09:00:00,88.2,88.3,85.2,87.6
2022-09-29 09:00:00,87.3,89.5,86.3,87.7
2022-09-30 09:00:00,87.7,99.7,87.7,96.1
2022-10-01 09:00:00,96.1,97.8,91.0,91.6
2022-10-02 09:00:00,91.5,91.6,87.8,88.1
2022-10-03 09:00:00,88.0,89.1,86.6,89.0
2022-10-04 09:00:00,89.0,91.0,87.7,89.2
2022-10-05 09:00:00,89.2,89.3,87.5,88.5
2022-10-06 09:00:00,88.4,90.1,87.4,88.1
2022-10-07 09:00:00,88.0,88.8,87.2,88.7
2022-10-08 09:00:00,88.7,92.0,88.0,89.6
2022-10-09 09:00:00,89.6,89.8,88.3,89.5
2022-10-10 09:00:00,89.5,90.9,87.4,87.5
2022-10-11 09:00:00,87.5,87.6,85.3,86.5
2022-10-12 09:00:00,86.5,86.6,85.6,86.4
2022-10-13 09:00:00,86.5,90.9,80.1,85.0
2022-10-14 09:00:00,85.0,86.7,84.3,85.3
2022-10-15 09:00:00,85.2,85.2,83.8,84.7
2022-10-16 09:00:00,84.7,87.0,84.3,85.4
2022-10-17 09:00:00,85.2,87.1,84.1,86.8
2022-10-18 09:00:00,86.6,87.0,85.5,86.2
2022-10-19 09:00:00,86.3,86.3,83.8,84.6
2022-10-20 09:00:00,84.5,85.0,83.5,84.3
2022-10-21 09:00:00,84.2,84.7,82.1,84.6
2022-10-22 09:00:00,84.6,85.4,83.4,84.8
2022-10-23 09:00:00,84.8,87.8,83.7,86.0
2022-10-24 09:00:00,85.8,89.3,85.3,88.0
2022-10-25 09:00:00,88.1,89.4,86.7,88.9
2022-10-26 09:00:00,88.9,96.3,88.4,90.7
2022-10-27 09:00:00,90.6,90.7,86.3,86.7
2022-10-28 09:00:00,86.7,87.3,85.1,87.2
2022-10-29 09:00:00,87.2,87.7,86.3,86.9
2022-10-30 09:00:00,86.9,86.9,85.1,85.9
2022-10-31 09:00:00,85.8,86.8,84.0,86.4
2022-11-01 09:00:00,86.3,86.7,85.6,86.7
2022-11-02 09:00:00,86.7,86.7,84.4,85.2
2022-11-03 09:00:00,85.1,87.0,84.4,86.3
2022-11-04 09:00:00,86.3,87.9,85.6,87.9
2022-11-05 09:00:00,87.9,88.5,87.5,88.2
2022-11-06 09:00:00,88.0,88.3,85.5,86.0
2022-11-07 09:00:00,85.7,86.2,83.7,85.2
2022-11-08 09:00:00,85.2,86.0,74.1,76.3
2022-11-09 09:00:00,76.4,79.5,56.7,59.7
2022-11-10 09:00:00,59.7,67.9,56.7,67.8
2022-11-11 09:00:00,67.7,73.9,58.3,65.6
2022-11-12 09:00:00,65.6,73.7,60.1,63.3
2022-11-13 09:00:00,63.3,63.8,57.3,60.4
2022-11-14 09:00:00,60.3,65.4,51.0,59.1
2022-11-15 09:00:00,59.1,62.0,58.0,61.5
2022-11-16 09:00:00,61.5,66.1,59.3,61.6
2022-11-17 09:00:00,61.4,61.5,59.1,60.4
2022-11-18 09:00:00,60.4,64.3,59.7,62.5
2022-11-19 09:00:00,62.4,71.9,61.9,65.9
2022-11-20 09:00:00,65.7,81.5,63.3,64.1
2022-11-21 09:00:00,64.1,80.5,63.9,66.0
2022-11-22 09:00:00,66.0,66.6,61.2,65.5
2022-11-23 09:00:00,65.2,77.1,64.9,69.8
2022-11-24 09:00:00,69.8,70.0,63.2,68.4
2022-11-25 09:00:00,68.4,68.4,64.2,66.0
2022-11-26 09:00:00,66.0,68.1,65.3,67.7
2022-11-27 09:00:00,67.6,73.0,66.7,67.6
2022-11-28 09:00:00,67.3,67.5,64.3,65.1
2022-11-29 09:00:00,65.1,66.2,64.7,65.9
2022-11-30 09:00:00,65.9,67.2,65.2,67.0
2022-12-01 09:00:00,67.0,71.9,66.8,68.2
2022-12-02 09:00:00,68.2,68.2,64.9,67.3
2022-12-03 09:00:00,67.5,67.5,65.7,67.4
2022-12-04 09:00:00,67.4,70.6,66.4,67.6
2022-12-05 09:00:00,67.6,69.9,66.6,67.9
2022-12-06 09:00:00,67.8,68.1,66.2,67.2
2022-12-07 09:00:00,67.2,69.0,63.0,64.2
2022-12-08 09:00:00,64.2,65.5,63.4,65.2
2022-12-09 09:00:00,65.2,67.8,64.5,67.7
2022-12-10 09:00:00,67.4,82.9,67.4,69.5
2022-12-11 09:00:00,69.5,71.2,67.3,67.6
2022-12-12 09:00:00,67.5,67.6,63.7,65.8
2022-12-13 09:00:00,66.1,71.5,63.3,66.9
2022-12-14 09:00:00,67.0,69.8,65.9,68.0
2022-12-15 09:00:00,68.1,69.8,65.6,67.5
2022-12-16 09:00:00,67.4,71.7,63.7,65.2
2022-12-17 09:00:00,65.2,65.6,60.9,64.0
2022-12-18 09:00:00,63.5,64.7,62.7,64.2
2022-12-19 09:00:00,64.2,64.4,60.4,61.3
2022-12-20 09:00:00,61.2,65.6,60.4,65.5
2022-12-21 09:00:00,65.1,66.5,64.2,65.2
2022-12-22 09:00:00,65.1,67.7,62.7,64.5
2022-12-23 09:00:00,64.5,64.8,63.2,64.7
2022-12-24 09:00:00,64.6,68.0,64.2,67.1
2022-12-25 09:00:00,66.9,67.4,65.1,66.9
2022-12-26 09:00:00,66.9,70.3,64.7,65.8
2022-12-27 09:00:00,65.8,65.8,62.7,63.1
2022-12-28 09:00:00,63.0,63.1,59.2,60.4
2022-12-29 09:00:00,60.4,61.9,56.1,58.9
2022-12-30 09:00:00,58.9,59.1,55.3,57.0
2022-12-31 09:00:00,57.0,61.2,56.4,58.5
2023-01-01 09:00:00,58.5,60.2,58.0,58.7
2023-01-02 09:00:00,58.7,60.5,57.6,59.1
2023-01-03 09:00:00,59.1,60.8,58.2,59.3
2023-01-04 09:00:00,59.3,60.2,58.7,59.8
2023-01-05 09:00:00,59.7,62.0,58.2,61.7
2023-01-06 09:00:00,61.5,64.6,58.6,60.4
2023-01-07 09:00:00,60.4,60.6,59.7,60.4
2023-01-08 09:00:00,60.2,61.8,59.7,61.1
2023-01-09 09:00:00,60.9,62.7,60.3,61.9
2023-01-10 09:00:00,61.9,64.2,61.6,64.2
2023-01-11 09:00:00,64.1,64.3,62.7,64.1
2023-01-12 09:00:00,64.1,65.3,62.5,64.9
2023-01-13 09:00:00,64.9,67.5,64.3,67.1
2023-01-14 09:00:00,67.0,70.5,65.2,69.3
2023-01-15 09:00:00,69.3,72.6,67.1,71.5
2023-01-16 09:00:00,71.4,71.5,67.1,70.4
2023-01-17 09:00:00,70.5,76.7,68.4,74.3
2023-01-18 09:00:00,74.2,74.2,67.7,68.0
2023-01-19 09:00:00,68.0,70.8,67.8,70.8
2023-01-20 09:00:00,70.8,74.7,69.8,74.2
2023-01-21 09:00:00,74.1,89.8,74.0,77.3
2023-01-22 09:00:00,77.4,77.9,75.1,76.4
2023-01-23 09:00:00,76.3,76.9,74.2,76.7
2023-01-24 09:00:00,76.7,78.6,72.2,74.6
2023-01-25 09:00:00,74.3,95.0,72.0,79.4
2023-01-26 09:00:00,79.4,84.5,77.4,79.4
2023-01-27 09:00:00,79.3,79.8,75.9,79.1
2023-01-28 09:00:00,79.1,79.4,76.5,77.9
2023-01-29 09:00:00,77.8,78.6,76.9,78.4
2023-01-30 09:00:00,78.4,78.4,71.0,72.6
2023-01-31 09:00:00,72.6,74.7,70.4,74.2
2023-02-01 09:00:00,74.1,76.1,69.3,76.0
2023-02-02 09:00:00,76.0,89.9,76.0,84.9
2023-02-03 09:00:00,84.9,85.5,80.4,83.6
2023-02-04 09:00:00,83.6,83.7,80.7,81.9
2023-02-05 09:00:00,82.4,88.6,76.1,88.3
2023-02-06 09:00:00,88.0,90.0,82.0,86.7
2023-02-07 09:00:00,86.6,87.1,82.7,87.1
2023-02-08 09:00:00,86.8,87.7,84.2,86.4
2023-02-09 09:00:00,86.2,87.5,80.5,80.9
2023-02-10 09:00:00,81.0,86.3,77.0,82.7
2023-02-11 09:00:00,82.7,83.9,81.2,83.3
2023-02-12 09:00:00,83.2,83.4,81.0,81.3
2023-02-13 09:00:00,81.3,81.5,74.5,78.5
2023-02-14 09:00:00,78.5,80.5,75.0,80.4
2023-02-15 09:00:00,80.5,97.3,79.2,91.4
2023-02-16 09:00:00,91.3,105.0,86.9,89.2
2023-02-17 09:00:00,89.2,98.7,86.3,95.4
2023-02-18 09:00:00,95.4,95.8,89.1,92.7
2023-02-19 09:00:00,92.7,92.7,90.1,91.5
2023-02-20 09:00:00,91.4,93.3,89.6,93.2
2023-02-21 09:00:00,93.0,106.0,91.6,97.1
2023-02-22 09:00:00,97.1,97.2,91.2,96.0
2023-02-23 09:00:00,95.8,106.0,95.6,106.0
2023-02-24 09:00:00,106.0,136.0,105.0,107.0
2023-02-25 09:00:00,106.0,108.0,97.2,99.8
2023-02-26 09:00:00,99.8,101.0,98.0,100.0
2023-02-27 09:00:00,100.0,100.0,93.4,96.5
2023-02-28 09:00:00,96.1,103.0,95.0,101.0
2023-03-01 09:00:00,101.0,101.0,97.5,100.0
2023-03-02 09:00:00,100.0,100.0,92.4,94.9
2023-03-03 09:00:00,94.8,99.9,91.1,92.9
2023-03-04 09:00:00,93.0,94.0,91.5,91.9
2023-03-05 09:00:00,91.9,93.1,91.0,92.8
2023-03-06 09:00:00,92.7,94.0,86.6,89.6
2023-03-07 09:00:00,89.3,92.5,83.9,86.7
2023-03-08 09:00:00,86.7,87.2,82.1,82.5
2023-03-09 09:00:00,82.5,84.3,76.9,79.4
2023-03-10 09:00:00,79.4,84.8,75.5,81.5
2023-03-11 09:00:00,81.5,90.6,79.4,82.0
2023-03-12 09:00:00,81.8,84.5,76.8,84.2
2023-03-13 09:00:00,84.2,98.2,81.6,95.3
2023-03-14 09:00:00,95.4,103.0,93.7,102.0
2023-03-15 09:00:00,102.0,102.0,92.6,95.0
2023-03-16 09:00:00,95.0,97.2,93.1,97.1
2023-03-17 09:00:00,97.1,101.0,95.7,101.0
2023-03-18 09:00:00,101.0,101.0,96.9,98.1
2023-03-19 09:00:00,98.2,99.1,95.6,98.5
2023-03-20 09:00:00,98.2,98.5,95.5,96.6
2023-03-21 09:00:00,96.5,98.0,92.0,94.4
2023-03-22 09:00:00,94.4,101.0,91.4,93.6
2023-03-23 09:00:00,93.6,95.0,90.7,94.9
2023-03-24 09:00:00,94.7,96.1,92.2,92.7
2023-03-25 09:00:00,92.6,94.4,91.9,93.1
2023-03-26 09:00:00,93.1,94.1,92.1,93.3
2023-03-27 09:00:00,93.4,94.6,86.0,89.0
2023-03-28 09:00:00,88.9,91.0,85.6,89.4
2023-03-29 09:00:00,89.4,93.1,87.2,92.9
2023-03-30 09:00:00,92.9,93.1,90.5,91.4
2023-03-31 09:00:00,91.4,93.3,87.8,92.4
2023-04-01 09:00:00,92.4,95.3,92.0,95.2
2023-04-02 09:00:00,95.2,95.7,91.0,92.4
2023-04-03 09:00:00,92.4,92.7,89.2,91.0
2023-04-04 09:00:00,90.9,93.2,90.0,92.6
2023-04-05 09:00:00,92.6,98.9,91.6,98.0
2023-04-06 09:00:00,98.0,101.0,94.2,99.9
2023-04-07 09:00:00,99.9,101.0,95.1,101.0
2023-04-08 09:00:00,101.0,101.0,98.5,101.0
2023-04-09 09:00:00,101.0,101.0,96.3,100.0
2023-04-10 09:00:00,100.0,101.0,97.3,101.0
2023-04-11 09:00:00,101.0,101.0,98.7,100.0
2023-04-12 09:00:00,100.0,100.0,96.8,98.5
2023-04-13 09:00:00,98.4,99.9,97.1,99.2
2023-04-14 09:00:00,99.2,99.2,97.8,98.8
2023-04-15 09:00:00,98.8,99.0,98.1,98.6
2023-04-16 09:00:00,98.5,98.5,97.5,98.4
2023-04-17 09:00:00,98.2,98.2,95.2,96.7
2023-04-18 09:00:00,96.9,99.0,95.0,97.5
2023-04-19 09:00:00,97.5,97.8,90.8,91.5
2023-04-20 09:00:00,91.5,94.8,89.9,94.0
2023-04-21 09:00:00,94.0,97.0,91.2,92.8
2023-04-22 09:00:00,92.7,96.1,91.0,94.0
2023-04-23 09:00:00,93.9,96.8,92.4,96.2
2023-04-24 09:00:00,96.2,96.2,90.0,92.1
2023-04-25 09:00:00,92.0,95.7,88.3,92.4
2023-04-26 09:00:00,92.3,97.4,91.6,93.0
2023-04-27 09:00:00,93.1,96.7,92.0,94.6
2023-04-28 09:00:00,94.6,94.7,91.9,93.4
2023-04-29 09:00:00,93.2,95.9,92.7,93.7
2023-04-30 09:00:00,93.6,93.9,92.4,93.5
2023-05-01 09:00:00,93.2,93.3,89.0,92.0
2023-05-02 09:00:00,91.7,96.0,89.1,90.2
2023-05-03 09:00:00,90.2,90.4,87.4,88.8
2023-05-04 09:00:00,88.8,90.5,87.0,89.5
2023-05-05 09:00:00,89.4,90.9,88.9,89.8
2023-05-06 09:00:00,89.7,90.7,87.1,87.7
2023-05-07 09:00:00,87.9,90.0,86.0,87.6
2023-05-08 09:00:00,87.5,89.0,82.3,83.0
2023-05-09 09:00:00,82.6,86.1,81.3,84.2
2023-05-10 09:00:00,84.2,85.8,83.0,84.9
2023-05-11 09:00:00,84.7,84.7,80.0,81.0
2023-05-12 09:00:00,80.9,80.9,75.8,80.2
2023-05-13 09:00:00,80.1,81.1,79.3,80.4
2023-05-14 09:00:00,80.3,80.8,79.2,80.8
2023-05-15 09:00:00,80.9,82.0,79.4,80.5
2023-05-16 09:00:00,80.5,80.6,79.4,80.1
2023-05-17 09:00:00,80.1,80.8,78.7,80.3
2023-05-18 09:00:00,80.3,82.0,80.0,80.5
2023-05-19 09:00:00,80.5,81.4,79.1,81.4
2023-05-20 09:00:00,81.1,86.1,79.8,80.5
2023-05-21 09:00:00,80.5,80.6,78.3,78.3
2023-05-22 09:00:00,78.2,78.8,75.7,77.0
2023-05-23 09:00:00,77.0,79.0,75.9,76.7
2023-05-24 09:00:00,76.6,77.0,72.2,73.3
2023-05-25 09:00:00,73.1,73.9,69.9,71.2
2023-05-26 09:00:00,71.1,71.5,69.1,70.7
2023-05-27 09:00:00,70.5,70.9,70.0,70.8
2023-05-28 09:00:00,70.7,73.6,70.5,73.6
2023-05-29 09:00:00,73.4,76.5,72.2,72.7
2023-05-30 09:00:00,72.7,72.7,71.5,72.0
2023-05-31 09:00:00,71.9,72.4,70.2,70.6
2023-06-01 09:00:00,70.7,71.2,69.4,70.2
2023-06-02 09:00:00,70.2,71.3,69.6,71.2
2023-06-03 09:00:00,71.2,71.7,70.5,71.1
2023-06-04 09:00:00,71.1,72.2,70.8,71.8
2023-06-05 09:00:00,71.8,71.8,66.2,68.2
2023-06-06 09:00:00,68.2,69.9,65.6,68.7
2023-06-07 09:00:00,68.7,69.6,65.9,66.4
2023-06-08 09:00:00,66.3,67.8,65.6,66.6
2023-06-09 09:00:00,66.5,68.6,66.1,68.2
2023-06-10 09:00:00,68.1,68.4,59.0,60.4
2023-06-11 09:00:00,60.4,64.1,59.9,62.1
2023-06-12 09:00:00,61.8,62.4,59.2,61.0
2023-06-13 09:00:00,60.7,61.2,59.6,60.1
2023-06-14 09:00:00,60.1,60.9,57.4,58.3
2023-06-15 09:00:00,58.7,60.1,56.6,59.3
2023-06-16 09:00:00,59.3,60.3,58.4,60.1
2023-06-17 09:00:00,60.1,61.8,59.9,61.3
2023-06-18 09:00:00,61.3,63.9,61.0,61.0
2023-06-19 09:00:00,61.1,61.7,60.5,61.5
2023-06-20 09:00:00,61.6,62.7,60.6,62.4
2023-06-21 09:00:00,62.5,65.5,62.3,65.0
2023-06-22 09:00:00,65.0,67.8,65.0,66.4
2023-06-23 09:00:00,66.3,69.7,65.7,69.5
2023-06-24 09:00:00,69.2,76.6,69.0,72.2
2023-06-25 09:00:00,72.2,72.7,69.6,70.0
2023-06-26 09:00:00,70.0,73.5,68.0,68.8
2023-06-27 09:00:00,68.8,69.5,67.8,68.7
2023-06-28 09:00:00,68.8,70.3,66.5,66.8
2023-06-29 09:00:00,66.8,68.8,66.4,67.9
2023-06-30 09:00:00,67.8,70.2,66.1,70.0
2023-07-01 09:00:00,69.9,72.5,68.7,71.8
2023-07-02 09:00:00,71.8,77.4,68.8,70.0
2023-07-03 09:00:00,70.0,74.5,69.2,72.0
2023-07-04 09:00:00,72.0,72.4,70.0,71.8
2023-07-05 09:00:00,71.8,73.5,68.7,72.4
2023-07-06 09:00:00,72.3,75.8,70.3,72.4
2023-07-07 09:00:00,72.5,79.4,70.6,72.6
2023-07-08 09:00:00,72.5,77.2,71.6,74.9
2023-07-09 09:00:00,74.9,93.1,74.2,79.5
2023-07-10 09:00:00,79.5,83.0,73.0,75.8
2023-07-11 09:00:00,75.7,78.5,73.5,74.2
2023-07-12 09:00:00,74.2,75.3,71.8,72.5
2023-07-13 09:00:00,72.4,73.0,68.6,70.6
2023-07-14 09:00:00,70.6,73.4,69.5,72.5
2023-07-15 09:00:00,72.5,75.8,71.1,74.7
2023-07-16 09:00:00,74.5,80.8,72.5,74.8
2023-07-17 09:00:00,74.9,75.4,71.5,72.6
2023-07-18 09:00:00,72.6,73.9,70.3,71.0
2023-07-19 09:00:00,70.9,71.7,70.4,71.2
2023-07-20 09:00:00,71.1,72.3,70.6,71.4
2023-07-21 09:00:00,71.4,73.1,71.2,72.3
2023-07-22 09:00:00,72.3,74.0,71.7,74.0
2023-07-23 09:00:00,73.8,77.0,73.0,74.9
2023-07-24 09:00:00,74.9,75.4,70.5,71.3
2023-07-25 09:00:00,71.4,78.5,70.0,74.9
2023-07-26 09:00:00,74.9,84.4,71.1,72.6
2023-07-27 09:00:00,72.4,80.5,71.7,76.7
2023-07-28 09:00:00,76.7,80.6,73.3,80.0
