Date,Open,High,Low,Close
2022-08-13 09:00:00,9.98,9.98,9.74,9.87
2022-08-14 09:00:00,9.87,10.0,9.71,9.82
2022-08-15 09:00:00,9.82,9.89,9.56,9.72
2022-08-16 09:00:00,9.72,9.76,9.46,9.7
2022-08-17 09:00:00,9.7,9.7,9.19,9.38
2022-08-18 09:00:00,9.38,9.73,9.2,9.35
2022-08-19 09:00:00,9.34,9.52,8.3,8.37
2022-08-20 09:00:00,8.37,8.84,8.35,8.64
2022-08-21 09:00:00,8.62,8.68,8.46,8.67
2022-08-22 09:00:00,8.66,8.93,8.1,8.37
2022-08-23 09:00:00,8.37,8.46,8.11,8.34
2022-08-24 09:00:00,8.34,8.74,8.19,8.34
2022-08-25 09:00:00,8.34,8.58,8.3,8.57
2022-08-26 09:00:00,8.56,8.7,8.2,8.24
2022-08-27 09:00:00,8.24,8.49,8.13,8.26
2022-08-28 09:00:00,8.24,8.49,8.11,8.12
2022-08-29 09:00:00,8.13,8.35,8.02,8.29
2022-08-30 09:00:00,8.27,8.65,8.13,8.34
2022-08-31 09:00:00,8.33,8.53,8.26,8.35
2022-09-01 09:00:00,8.35,8.71,8.05,8.26
2022-09-02 09:00:00,8.26,8.28,8.11,8.21
2022-09-03 09:00:00,8.2,8.27,8.16,8.2
2022-09-04 09:00:00,8.21,8.22,8.15,8.19
2022-09-05 09:00:00,8.2,8.73,8.05,8.15
2022-09-06 09:00:00,8.14,8.52,7.91,7.97
2022-09-07 09:00:00,8.0,8.08,7.75,8.06
2022-09-08 09:00:00,8.06,8.34,7.92,8.28
2022-09-09 09:00:00,8.31,8.77,8.23,8.44
2022-09-10 09:00:00,8.44,8.74,8.29,8.47
2022-09-11 09:00:00,8.47,8.73,8.37,8.72
2022-09-12 09:00:00,8.72,8.77,8.6,8.66
2022-09-13 09:00:00,8.68,8.68,8.03,8.03
2022-09-14 09:00:00,8.02,8.37,7.88,8.11
2022-09-15 09:00:00,8.12,8.16,8.0,8.04
2022-09-16 09:00:00,8.04,8.11,7.99,8.04
2022-09-17 09:00:00,8.04,8.27,8.0,8.14
2022-09-18 09:00:00,8.1,8.16,7.65,7.73
2022-09-19 09:00:00,7.72,7.8,7.32,7.74
2022-09-20 09:00:00,7.73,7.74,7.5,7.59
2022-09-21 09:00:00,7.59,8.13,7.4,7.53
2022-09-22 09:00:00,7.52,8.1,7.51,7.94
2022-09-23 09:00:00,7.99,10.2,7.9,8.8
2022-09-24 09:00:00,9.01,10.2,8.66,9.33
2022-09-25 09:00:00,9.32,9.54,8.54,8.67
2022-09-26 09:00:00,8.67,8.68,8.02,8.24
2022-09-27 09:00:00,8.23,8.29,7.99,8.11
2022-09-28 09:00:00,8.09,8.19,7.75,8.02
2022-09-29 09:00:00,8.0,8.01,7.81,7.92
2022-09-30 09:00:00,7.9,8.62,7.82,8.21
2022-10-01 09:00:00,8.21,8.5,8.02,8.07
2022-10-02 09:00:00,8.07,8.08,7.82,7.82
2022-10-03 09:00:00,7.84,8.55,7.73,8.05
2022-10-04 09:00:00,8.03,8.35,7.96,8.11
2022-10-05 09:00:00,8.11,8.15,7.91,8.0
2022-10-06 09:00:00,8.01,8.02,7.94,7.97
