Date,Open,High,Low,Close
2022-08-13 09:00:00,8.64,8.67,8.47,8.64
2022-08-14 09:00:00,8.64,8.85,8.45,8.54
2022-08-15 09:00:00,8.53,8.63,8.35,8.41
2022-08-16 09:00:00,8.41,8.62,8.12,8.25
2022-08-17 09:00:00,8.28,8.37,7.85,8.12
2022-08-18 09:00:00,8.14,8.22,8.0,8.17
2022-08-19 09:00:00,8.17,8.21,6.97,7.18
2022-08-20 09:00:00,7.18,7.61,7.14,7.4
2022-08-21 09:00:00,7.4,7.53,7.2,7.44
2022-08-22 09:00:00,7.43,7.45,7.0,7.22
2022-08-23 09:00:00,7.21,7.32,7.01,7.22
2022-08-24 09:00:00,7.23,7.43,7.07,7.21
2022-08-25 09:00:00,7.2,7.61,7.19,7.49
2022-08-26 09:00:00,7.46,7.68,6.96,7.03
2022-08-27 09:00:00,7.03,7.46,6.98,7.1
2022-08-28 09:00:00,7.11,7.34,7.04,7.06
2022-08-29 09:00:00,7.08,7.27,6.94,7.26
2022-08-30 09:00:00,7.26,7.65,7.16,7.28
2022-08-31 09:00:00,7.27,7.43,7.23,7.32
2022-09-01 09:00:00,7.32,7.48,7.01,7.19
2022-09-02 09:00:00,7.19,7.24,7.11,7.18
2022-09-03 09:00:00,7.17,7.37,7.1,7.21
2022-09-04 09:00:00,7.22,7.24,7.06,7.2
2022-09-05 09:00:00,7.19,7.4,7.07,7.13
2022-09-06 09:00:00,7.14,7.39,6.83,6.89
2022-09-07 09:00:00,6.89,6.99,6.64,6.92
2022-09-08 09:00:00,6.92,7.35,6.82,7.2
2022-09-09 09:00:00,7.17,7.45,7.16,7.42
2022-09-10 09:00:00,7.42,7.48,7.27,7.41
2022-09-11 09:00:00,7.42,9.85,7.23,8.99
2022-09-12 09:00:00,8.98,9.5,8.09,8.11
2022-09-13 09:00:00,8.11,8.19,7.36,7.52
2022-09-14 09:00:00,7.52,7.93,7.36,7.57
2022-09-15 09:00:00,7.58,8.16,7.39,7.52
2022-09-16 09:00:00,7.5,7.55,7.28,7.42
2022-09-17 09:00:00,7.41,8.14,7.36,7.64
2022-09-18 09:00:00,7.65,8.82,7.15,7.39
2022-09-19 09:00:00,7.38,7.98,6.86,7.44
2022-09-20 09:00:00,7.45,7.46,6.91,7.09
2022-09-21 09:00:00,7.09,7.33,6.78,6.95
2022-09-22 09:00:00,6.94,7.16,6.91,7.14
2022-09-23 09:00:00,7.14,7.35,6.97,7.16
2022-09-24 09:00:00,7.16,7.31,7.12,7.21
2022-09-25 09:00:00,7.19,7.83,7.09,7.24
2022-09-26 09:00:00,7.26,7.27,6.9,7.06
2022-09-27 09:00:00,7.06,7.13,6.87,7.03
2022-09-28 09:00:00,7.01,7.05,6.82,6.99
2022-09-29 09:00:00,6.99,6.99,6.83,6.92
2022-09-30 09:00:00,6.92,7.1,6.86,6.99
2022-10-01 09:00:00,6.99,7.0,6.93,6.97
2022-10-02 09:00:00,6.97,6.98,6.83,6.86
2022-10-03 09:00:00,6.85,6.93,6.83,6.91
2022-10-04 09:00:00,6.91,6.96,6.86,6.94
2022-10-05 09:00:00,6.94,6.96,6.82,6.89
2022-10-06 09:00:00,6.89,6.93,6.84,6.91
2022-10-07 09:00:00,6.9,6.92,6.77,6.88
2022-10-08 09:00:00,6.88,7.33,6.87,7.0
2022-10-09 09:00:00,6.99,7.18,6.88,6.99
2022-10-10 09:00:00,6.99,7.6,6.87,6.91
2022-10-11 09:00:00,6.91,6.92,6.63,6.72
2022-10-12 09:00:00,6.69,7.07,6.65,6.75
2022-10-13 09:00:00,6.71,6.82,6.07,6.53
2022-10-14 09:00:00,6.53,6.62,6.45,6.59
2022-10-15 09:00:00,6.6,6.85,6.49,6.55
2022-10-16 09:00:00,6.55,6.58,6.49,6.53
2022-10-17 09:00:00,6.53,6.75,6.39,6.68
2022-10-18 09:00:00,6.67,6.95,6.57,6.62
2022-10-19 09:00:00,6.62,6.64,6.33,6.35
2022-10-20 09:00:00,6.49,6.58,6.26,6.28
2022-10-21 09:00:00,6.3,6.83,6.02,6.28
2022-10-22 09:00:00,6.28,6.29,6.19,6.23
2022-10-23 09:00:00,6.23,7.22,6.23,6.5
2022-10-24 09:00:00,6.51,6.58,6.3,6.39
2022-10-25 09:00:00,6.39,6.66,6.34,6.49
2022-10-26 09:00:00,6.47,6.53,6.42,6.47
2022-10-27 09:00:00,6.46,6.5,6.36,6.36
2022-10-28 09:00:00,6.37,6.4,6.25,6.38
2022-10-29 09:00:00,6.38,6.4,6.33,6.39
2022-10-30 09:00:00,6.38,6.68,6.3,6.33
2022-10-31 09:00:00,6.33,6.43,6.27,6.37
2022-11-01 09:00:00,6.35,6.4,6.3,6.37
2022-11-02 09:00:00,6.37,6.38,6.21,6.28
2022-11-03 09:00:00,6.28,6.48,6.25,6.35
2022-11-04 09:00:00,6.35,6.5,6.33,6.48
2022-11-05 09:00:00,6.46,6.57,6.44,6.49
2022-11-06 09:00:00,6.5,6.54,6.41,6.47
2022-11-07 09:00:00,6.47,6.8,6.29,6.33
2022-11-08 09:00:00,6.33,6.35,5.5,5.62
2022-11-09 09:00:00,5.62,5.64,4.01,4.2
2022-11-10 09:00:00,4.2,4.78,4.1,4.74
2022-11-11 09:00:00,4.75,4.83,4.2,4.56
2022-11-12 09:00:00,4.56,4.77,4.07,4.25
2022-11-13 09:00:00,4.25,4.35,3.87,3.94
2022-11-14 09:00:00,3.94,3.97,3.49,3.88
2022-11-15 09:00:00,3.88,4.19,3.77,4.04
2022-11-16 09:00:00,4.03,4.27,3.95,4.08
2022-11-17 09:00:00,4.06,4.09,3.91,4.0
2022-11-18 09:00:00,4.0,4.25,3.95,4.12
2022-11-19 09:00:00,4.13,7.86,4.13,7.16
2022-11-20 09:00:00,7.16,12.0,6.63,8.89
2022-11-21 09:00:00,8.89,10.5,8.13,9.24
2022-11-22 09:00:00,9.24,10.1,7.85,8.24
2022-11-23 09:00:00,8.26,8.76,7.46,7.85
2022-11-24 09:00:00,7.85,7.86,6.5,7.03
2022-11-25 09:00:00,7.03,7.48,6.41,6.73
2022-11-26 09:00:00,6.73,9.13,6.59,8.88
2022-11-27 09:00:00,8.88,10.7,8.55,9.08
2022-11-28 09:00:00,9.08,9.25,8.16,8.37
2022-11-29 09:00:00,8.35,9.15,8.26,8.82
2022-11-30 09:00:00,8.82,8.95,8.21,8.93
2022-12-01 09:00:00,8.93,8.98,8.38,8.54
2022-12-02 09:00:00,8.55,9.06,8.02,8.63
2022-12-03 09:00:00,8.62,9.03,8.54,8.77
2022-12-04 09:00:00,8.77,8.77,8.35,8.56
2022-12-05 09:00:00,8.57,8.57,7.8,8.04
2022-12-06 09:00:00,8.05,8.46,7.87,8.14
2022-12-07 09:00:00,8.13,8.13,7.36,7.75
2022-12-08 09:00:00,7.75,8.54,7.67,8.11
2022-12-09 09:00:00,8.13,8.41,8.0,8.19
2022-12-10 09:00:00,8.16,8.26,7.76,7.93
2022-12-11 09:00:00,7.94,8.12,7.71,7.81
2022-12-12 09:00:00,7.81,8.0,7.17,7.48
2022-12-13 09:00:00,7.48,7.62,7.07,7.33
2022-12-14 09:00:00,7.32,7.68,7.19,7.54
2022-12-15 09:00:00,7.54,7.59,7.22,7.3
2022-12-16 09:00:00,7.31,7.31,6.47,6.61
2022-12-17 09:00:00,6.64,7.12,6.42,6.75
2022-12-18 09:00:00,6.75,6.75,6.44,6.57
2022-12-19 09:00:00,6.57,6.72,5.63,5.96
2022-12-20 09:00:00,5.96,7.04,5.7,6.55
2022-12-21 09:00:00,6.56,6.95,6.33,6.47
2022-12-22 09:00:00,6.46,6.63,6.1,6.28
2022-12-23 09:00:00,6.28,6.49,6.16,6.34
2022-12-24 09:00:00,6.33,6.36,6.23,6.3
2022-12-25 09:00:00,6.3,6.3,6.01,6.13
2022-12-26 09:00:00,6.11,6.11,5.76,5.96
2022-12-27 09:00:00,5.96,6.16,5.75,5.86
