Date,Open,High,Low,Close
2022-08-13 09:00:00,34.0,34.9,33.8,34.7
2022-08-14 09:00:00,34.6,35.4,33.9,34.5
2022-08-15 09:00:00,34.5,34.6,33.3,34.1
2022-08-16 09:00:00,34.1,34.1,32.7,33.1
2022-08-17 09:00:00,33.3,33.8,31.6,32.4
2022-08-18 09:00:00,32.5,32.7,31.9,32.1
2022-08-19 09:00:00,32.0,32.1,28.6,29.2
2022-08-20 09:00:00,29.1,30.0,28.8,29.9
2022-08-21 09:00:00,29.8,30.2,29.0,30.0
2022-08-22 09:00:00,30.0,30.1,28.0,29.2
2022-08-23 09:00:00,29.2,29.6,28.4,29.4
2022-08-24 09:00:00,29.4,29.8,28.8,29.6
2022-08-25 09:00:00,29.4,30.7,29.3,30.4
2022-08-26 09:00:00,30.3,30.7,28.3,28.4
2022-08-27 09:00:00,28.5,30.1,28.1,28.4
2022-08-28 09:00:00,28.4,29.0,28.1,28.2
2022-08-29 09:00:00,28.1,28.9,28.1,28.8
2022-08-30 09:00:00,28.9,33.9,28.6,29.7
2022-08-31 09:00:00,29.8,31.0,29.1,29.5
2022-09-01 09:00:00,29.5,29.6,28.4,29.0
2022-09-02 09:00:00,29.0,29.3,28.6,28.8
2022-09-03 09:00:00,28.8,28.9,28.5,28.6
2022-09-04 09:00:00,28.6,28.8,28.4,28.7
2022-09-05 09:00:00,28.7,28.8,27.8,28.5
2022-09-06 09:00:00,28.5,28.9,27.5,27.7
2022-09-07 09:00:00,27.7,28.2,27.3,28.1
2022-09-08 09:00:00,28.2,30.4,28.1,29.1
2022-09-09 09:00:00,29.0,30.0,28.8,29.9
2022-09-10 09:00:00,30.0,30.0,29.1,29.7
2022-09-11 09:00:00,29.6,30.8,29.3,30.2
2022-09-12 09:00:00,30.2,30.6,29.6,30.4
2022-09-13 09:00:00,30.3,32.1,28.0,28.6
2022-09-14 09:00:00,28.5,30.2,28.4,29.2
2022-09-15 09:00:00,29.2,29.2,28.5,28.5
2022-09-16 09:00:00,28.5,29.3,28.3,28.7
2022-09-17 09:00:00,28.6,28.9,28.5,28.8
2022-09-18 09:00:00,28.7,30.3,28.1,28.5
2022-09-19 09:00:00,28.5,29.1,27.1,28.6
2022-09-20 09:00:00,28.6,28.8,27.6,27.9
2022-09-21 09:00:00,27.9,28.4,27.3,27.6
2022-09-22 09:00:00,27.5,28.5,27.4,28.3
2022-09-23 09:00:00,28.3,29.1,27.7,28.3
2022-09-24 09:00:00,28.3,28.5,28.0,28.2
2022-09-25 09:00:00,28.2,28.5,27.8,27.9
2022-09-26 09:00:00,27.9,28.9,27.2,28.0
2022-09-27 09:00:00,28.0,28.5,27.5,28.0
2022-09-28 09:00:00,28.1,28.2,27.1,27.9
2022-09-29 09:00:00,27.8,28.7,27.6,28.0
2022-09-30 09:00:00,28.0,28.5,27.6,27.9
2022-10-01 09:00:00,27.9,27.9,27.5,27.8
2022-10-02 09:00:00,27.7,27.8,27.4,27.5
2022-10-03 09:00:00,27.6,27.8,27.3,27.7
2022-10-04 09:00:00,27.7,27.9,27.4,27.8
2022-10-05 09:00:00,27.9,27.9,27.4,27.5
2022-10-06 09:00:00,27.5,27.7,27.3,27.4
2022-10-07 09:00:00,27.3,27.6,27.1,27.4
2022-10-08 09:00:00,27.5,28.2,27.4,27.6
2022-10-09 09:00:00,27.6,28.5,27.4,28.0
2022-10-10 09:00:00,28.0,28.1,27.1,27.3
2022-10-11 09:00:00,27.2,27.3,26.3,26.7
2022-10-12 09:00:00,26.7,27.3,26.4,26.7
2022-10-13 09:00:00,26.6,26.6,24.2,25.8
2022-10-14 09:00:00,25.7,26.4,25.4,25.6
2022-10-15 09:00:00,25.6,25.7,25.3,25.7
2022-10-16 09:00:00,25.6,25.8,25.4,25.6
2022-10-17 09:00:00,25.7,26.2,25.2,26.1
2022-10-18 09:00:00,26.1,27.4,25.7,26.1
