Date,Open,High,Low,Close
2022-08-13 09:00:00,63.2,65.1,62.5,63.1
2022-08-14 09:00:00,63.3,64.6,61.2,62.6
2022-08-15 09:00:00,62.6,66.6,60.6,61.9
2022-08-16 09:00:00,61.8,62.4,60.0,60.7
2022-08-17 09:00:00,60.7,62.6,57.5,58.5
2022-08-18 09:00:00,58.5,59.3,56.5,57.0
2022-08-19 09:00:00,57.1,57.1,50.0,50.7
2022-08-20 09:00:00,50.6,52.6,49.9,51.8
2022-08-21 09:00:00,51.8,52.2,50.6,51.8
2022-08-22 09:00:00,51.8,51.9,49.2,50.9
2022-08-23 09:00:00,50.9,51.9,49.4,51.7
2022-08-24 09:00:00,51.8,56.6,50.3,52.7
2022-08-25 09:00:00,52.6,56.4,52.5,53.9
2022-08-26 09:00:00,53.9,53.9,49.0,49.7
2022-08-27 09:00:00,49.6,51.0,48.9,50.5
2022-08-28 09:00:00,50.6,51.0,48.7,49.0
2022-08-29 09:00:00,49.0,50.9,48.3,50.6
2022-08-30 09:00:00,50.7,51.5,48.6,49.7
2022-08-31 09:00:00,49.7,50.6,49.1,49.7
2022-09-01 09:00:00,49.7,50.2,48.3,50.0
2022-09-02 09:00:00,50.0,50.6,49.0,49.5
2022-09-03 09:00:00,49.4,49.7,49.0,49.4
2022-09-04 09:00:00,49.4,50.3,49.2,50.3
2022-09-05 09:00:00,50.3,50.5,48.9,50.0
2022-09-06 09:00:00,50.0,50.7,46.7,47.5
2022-09-07 09:00:00,47.3,48.7,46.5,48.3
2022-09-08 09:00:00,48.3,49.5,47.6,49.4
2022-09-09 09:00:00,49.4,51.6,49.1,51.1
2022-09-10 09:00:00,51.1,53.0,50.5,51.5
2022-09-11 09:00:00,51.6,51.9,50.3,51.4
2022-09-12 09:00:00,51.4,52.4,50.8,51.6
2022-09-13 09:00:00,51.6,52.4,48.0,48.4
2022-09-14 09:00:00,48.4,49.3,47.7,49.0
2022-09-15 09:00:00,49.0,49.1,47.5,47.9
2022-09-16 09:00:00,48.0,48.2,47.2,47.7
2022-09-17 09:00:00,47.8,48.9,47.7,48.7
2022-09-18 09:00:00,48.9,48.9,44.0,44.8
2022-09-19 09:00:00,44.9,45.9,43.7,45.5
2022-09-20 09:00:00,45.7,45.9,44.5,45.1
2022-09-21 09:00:00,45.1,47.5,44.0,44.7
2022-09-22 09:00:00,44.7,47.8,44.5,47.2
2022-09-23 09:00:00,47.2,48.1,45.9,47.1
2022-09-24 09:00:00,47.2,47.7,46.3,46.5
2022-09-25 09:00:00,46.5,46.8,45.1,45.5
2022-09-26 09:00:00,45.5,45.9,44.4,45.8
2022-09-27 09:00:00,45.9,47.1,44.6,45.4
2022-09-28 09:00:00,45.4,45.6,44.0,45.1
2022-09-29 09:00:00,45.1,45.5,44.3,45.1
2022-09-30 09:00:00,45.1,45.7,44.6,45.0
2022-10-01 09:00:00,45.0,45.2,44.8,45.0
2022-10-02 09:00:00,45.2,45.3,44.1,44.3
2022-10-03 09:00:00,44.3,45.7,43.8,45.4
2022-10-04 09:00:00,45.4,46.0,44.9,45.4
2022-10-05 09:00:00,45.4,45.6,44.2,45.0
2022-10-06 09:00:00,45.0,45.2,44.2,44.4
2022-10-07 09:00:00,44.4,45.7,44.1,45.0
2022-10-08 09:00:00,45.2,45.6,44.8,45.2
2022-10-09 09:00:00,45.2,47.2,45.0,46.6
2022-10-10 09:00:00,46.6,46.6,44.3,44.3
2022-10-11 09:00:00,44.4,44.8,42.9,44.1
2022-10-12 09:00:00,44.0,44.5,43.6,43.8
2022-10-13 09:00:00,43.7,44.0,40.2,43.5
2022-10-14 09:00:00,43.5,45.0,43.0,43.6
2022-10-15 09:00:00,43.5,44.1,43.1,43.7
2022-10-16 09:00:00,43.7,44.5,43.5,44.1
2022-10-17 09:00:00,44.1,45.2,43.4,45.0
2022-10-18 09:00:00,45.0,50.6,44.1,45.2
2022-10-19 09:00:00,45.2,45.3,42.3,42.7
2022-10-20 09:00:00,42.8,43.1,41.2,42.1
2022-10-21 09:00:00,42.1,42.4,40.8,42.1
2022-10-22 09:00:00,42.2,42.5,41.7,42.1
2022-10-23 09:00:00,42.1,42.4,41.2,42.3
2022-10-24 09:00:00,42.3,42.5,41.4,41.7
2022-10-25 09:00:00,41.7,42.9,41.5,42.3
2022-10-26 09:00:00,42.2,43.0,42.0,42.7
2022-10-27 09:00:00,42.6,43.7,41.8,42.0
2022-10-28 09:00:00,42.0,43.1,41.6,42.8
2022-10-29 09:00:00,42.9,44.1,42.6,43.1
2022-10-30 09:00:00,43.1,46.0,42.7,43.7
2022-10-31 09:00:00,43.7,45.3,42.6,43.4
2022-11-01 09:00:00,43.5,44.4,42.8,43.1
2022-11-02 09:00:00,43.0,43.2,41.5,42.1
2022-11-03 09:00:00,42.1,44.0,41.9,43.2
2022-11-04 09:00:00,43.3,47.5,43.1,45.7
2022-11-05 09:00:00,45.7,47.6,44.8,45.5
2022-11-06 09:00:00,45.4,47.2,44.0,44.1
2022-11-07 09:00:00,44.1,46.0,43.3,45.2
2022-11-08 09:00:00,45.1,45.4,35.0,38.2
2022-11-09 09:00:00,38.2,38.8,28.2,29.5
2022-11-10 09:00:00,29.4,34.6,28.9,34.0
2022-11-11 09:00:00,34.0,34.5,30.2,31.6
2022-11-12 09:00:00,31.6,31.8,29.5,29.9
2022-11-13 09:00:00,30.0,33.0,28.0,28.7
2022-11-14 09:00:00,28.6,29.3,26.3,28.8
2022-11-15 09:00:00,28.8,30.5,28.3,29.6
2022-11-16 09:00:00,29.6,30.4,28.6,29.5
