Date,Open,High,Low,Close
2022-08-13 09:00:00,206.0,209.0,204.0,207.0
2022-08-14 09:00:00,206.0,209.0,202.0,205.0
2022-08-15 09:00:00,204.0,209.0,200.0,203.0
2022-08-16 09:00:00,203.0,211.0,199.0,203.0
2022-08-17 09:00:00,203.0,207.0,193.0,194.0
2022-08-18 09:00:00,194.0,196.0,191.0,192.0
2022-08-19 09:00:00,192.0,193.0,165.0,168.0
2022-08-20 09:00:00,168.0,175.0,168.0,174.0
2022-08-21 09:00:00,174.0,176.0,170.0,175.0
2022-08-22 09:00:00,174.0,176.0,167.0,175.0
2022-08-23 09:00:00,175.0,177.0,171.0,175.0
2022-08-24 09:00:00,175.0,178.0,172.0,175.0
2022-08-25 09:00:00,175.0,182.0,174.0,180.0
2022-08-26 09:00:00,179.0,180.0,165.0,167.0
2022-08-27 09:00:00,166.0,168.0,164.0,166.0
2022-08-28 09:00:00,167.0,169.0,163.0,163.0
2022-08-29 09:00:00,163.0,170.0,161.0,168.0
2022-08-30 09:00:00,168.0,173.0,164.0,166.0
2022-08-31 09:00:00,166.0,171.0,166.0,167.0
2022-09-01 09:00:00,167.0,170.0,161.0,167.0
2022-09-02 09:00:00,167.0,169.0,164.0,165.0
2022-09-03 09:00:00,165.0,166.0,163.0,164.0
2022-09-04 09:00:00,165.0,166.0,160.0,166.0
2022-09-05 09:00:00,166.0,168.0,163.0,166.0
2022-09-06 09:00:00,166.0,169.0,157.0,158.0
2022-09-07 09:00:00,157.0,160.0,153.0,158.0
2022-09-08 09:00:00,158.0,163.0,156.0,161.0
2022-09-09 09:00:00,162.0,168.0,160.0,165.0
2022-09-10 09:00:00,165.0,173.0,164.0,170.0
2022-09-11 09:00:00,171.0,171.0,166.0,170.0
2022-09-12 09:00:00,170.0,172.0,167.0,167.0
2022-09-13 09:00:00,168.0,169.0,155.0,155.0
2022-09-14 09:00:00,155.0,158.0,152.0,157.0
2022-09-15 09:00:00,157.0,157.0,148.0,150.0
2022-09-16 09:00:00,150.0,152.0,147.0,150.0
2022-09-17 09:00:00,150.0,156.0,149.0,156.0
2022-09-18 09:00:00,155.0,156.0,142.0,145.0
2022-09-19 09:00:00,145.0,151.0,142.0,147.0
2022-09-20 09:00:00,148.0,150.0,144.0,147.0
2022-09-21 09:00:00,147.0,151.0,142.0,147.0
2022-09-22 09:00:00,147.0,156.0,145.0,155.0
2022-09-23 09:00:00,155.0,182.0,155.0,179.0
2022-09-24 09:00:00,179.0,184.0,168.0,172.0
2022-09-25 09:00:00,172.0,173.0,165.0,167.0
2022-09-26 09:00:00,167.0,167.0,159.0,166.0
2022-09-27 09:00:00,166.0,169.0,158.0,161.0
2022-09-28 09:00:00,161.0,164.0,155.0,161.0
2022-09-29 09:00:00,161.0,164.0,156.0,160.0
2022-09-30 09:00:00,160.0,162.0,156.0,159.0
2022-10-01 09:00:00,159.0,162.0,157.0,160.0
2022-10-02 09:00:00,159.0,162.0,158.0,160.0
2022-10-03 09:00:00,159.0,161.0,157.0,159.0
2022-10-04 09:00:00,159.0,160.0,156.0,159.0
2022-10-05 09:00:00,159.0,159.0,155.0,158.0
2022-10-06 09:00:00,158.0,158.0,155.0,155.0
2022-10-07 09:00:00,156.0,157.0,152.0,154.0
2022-10-08 09:00:00,154.0,156.0,152.0,153.0
2022-10-09 09:00:00,152.0,154.0,151.0,152.0
2022-10-10 09:00:00,152.0,154.0,148.0,148.0
2022-10-11 09:00:00,148.0,150.0,143.0,147.0
2022-10-12 09:00:00,146.0,148.0,145.0,147.0
2022-10-13 09:00:00,146.0,151.0,138.0,149.0
2022-10-14 09:00:00,149.0,153.0,146.0,149.0
2022-10-15 09:00:00,149.0,152.0,148.0,151.0
2022-10-16 09:00:00,150.0,152.0,150.0,150.0
2022-10-17 09:00:00,150.0,161.0,148.0,158.0
2022-10-18 09:00:00,157.0,158.0,153.0,155.0
2022-10-19 09:00:00,155.0,156.0,151.0,152.0
2022-10-20 09:00:00,153.0,154.0,148.0,149.0
2022-10-21 09:00:00,149.0,154.0,145.0,152.0
2022-10-22 09:00:00,152.0,154.0,150.0,152.0
2022-10-23 09:00:00,151.0,156.0,149.0,154.0
2022-10-24 09:00:00,154.0,154.0,149.0,151.0
2022-10-25 09:00:00,151.0,158.0,151.0,153.0
2022-10-26 09:00:00,153.0,161.0,153.0,157.0
2022-10-27 09:00:00,157.0,161.0,154.0,156.0
2022-10-28 09:00:00,156.0,159.0,152.0,157.0
2022-10-29 09:00:00,158.0,161.0,154.0,156.0
2022-10-30 09:00:00,156.0,167.0,154.0,162.0
2022-10-31 09:00:00,162.0,167.0,158.0,161.0
2022-11-01 09:00:00,161.0,162.0,156.0,158.0
2022-11-02 09:00:00,157.0,158.0,151.0,156.0
2022-11-03 09:00:00,156.0,159.0,154.0,158.0
2022-11-04 09:00:00,157.0,164.0,156.0,164.0
2022-11-05 09:00:00,164.0,176.0,161.0,170.0
2022-11-06 09:00:00,169.0,177.0,165.0,166.0
2022-11-07 09:00:00,166.0,179.0,165.0,176.0
2022-11-08 09:00:00,176.0,180.0,138.0,148.0
2022-11-09 09:00:00,148.0,149.0,111.0,116.0
2022-11-10 09:00:00,115.0,137.0,113.0,135.0
2022-11-11 09:00:00,135.0,138.0,116.0,121.0
2022-11-12 09:00:00,122.0,122.0,106.0,111.0
2022-11-13 09:00:00,111.0,112.0,78.7,86.9
2022-11-14 09:00:00,86.9,104.0,72.3,95.2
2022-11-15 09:00:00,95.1,105.0,92.3,100.0
2022-11-16 09:00:00,100.0,105.0,92.4,97.5
2022-11-17 09:00:00,97.5,102.0,93.4,96.9
2022-11-18 09:00:00,96.8,101.0,95.1,100.0
2022-11-19 09:00:00,101.0,101.0,96.0,98.1
2022-11-20 09:00:00,98.1,98.2,88.2,90.1
2022-11-21 09:00:00,89.9,96.0,88.2,90.1
2022-11-22 09:00:00,90.1,95.4,87.4,90.9
2022-11-23 09:00:00,90.9,94.2,89.6,93.9
2022-11-24 09:00:00,94.2,94.4,88.4,90.1
2022-11-25 09:00:00,90.1,93.0,86.0,90.3
2022-11-26 09:00:00,90.3,90.6,88.6,89.0
2022-11-27 09:00:00,89.2,89.2,88.4,88.6
2022-11-28 09:00:00,88.6,88.7,85.0,86.9
2022-11-29 09:00:00,87.0,89.1,86.0,87.0
2022-11-30 09:00:00,87.0,88.8,86.5,88.7
2022-12-01 09:00:00,88.6,88.9,87.4,88.6
2022-12-02 09:00:00,88.6,88.6,86.1,86.9
2022-12-03 09:00:00,87.2,87.4,86.1,86.3
2022-12-04 09:00:00,86.2,87.0,85.4,86.6
2022-12-05 09:00:00,86.7,99.4,86.3,92.2
2022-12-06 09:00:00,92.2,92.5,87.5,88.9
2022-12-07 09:00:00,88.9,95.6,82.1,85.5
2022-12-08 09:00:00,85.6,86.2,83.7,86.0
2022-12-09 09:00:00,86.0,86.1,84.3,85.5
2022-12-10 09:00:00,85.6,89.2,85.3,85.8
2022-12-11 09:00:00,85.8,87.1,84.1,84.2
2022-12-12 09:00:00,84.3,84.6,80.5,82.6
2022-12-13 09:00:00,82.6,85.0,77.1,81.6
2022-12-14 09:00:00,81.6,84.5,80.8,81.1
2022-12-15 09:00:00,81.1,81.9,79.0,80.3
2022-12-16 09:00:00,80.3,84.8,73.0,74.3
2022-12-17 09:00:00,74.2,79.0,71.7,74.4
2022-12-18 09:00:00,74.4,75.9,73.6,75.6
2022-12-19 09:00:00,75.6,75.6,71.6,72.5
2022-12-20 09:00:00,72.5,74.7,71.8,74.4
2022-12-21 09:00:00,74.4,77.5,73.6,74.2
2022-12-22 09:00:00,74.2,77.2,73.6,75.0
2022-12-23 09:00:00,75.1,76.8,74.3,76.8
2022-12-24 09:00:00,76.6,79.6,76.0,78.5
2022-12-25 09:00:00,78.5,78.9,76.4,77.4
2022-12-26 09:00:00,77.4,77.6,75.2,76.1
2022-12-27 09:00:00,76.2,78.6,73.5,74.5
2022-12-28 09:00:00,74.6,77.3,72.2,73.0
2022-12-29 09:00:00,73.0,74.2,72.1,74.0
2022-12-30 09:00:00,74.2,76.0,70.5,71.5
2022-12-31 09:00:00,71.5,72.2,70.7,71.2
2023-01-01 09:00:00,71.3,72.8,70.9,72.3
