Date,Open,High,Low,Close
2022-08-13 09:00:00,58.3,59.1,56.6,57.9
2022-08-14 09:00:00,57.9,60.4,56.8,57.7
2022-08-15 09:00:00,57.6,58.0,56.0,56.7
2022-08-16 09:00:00,56.7,58.3,54.8,55.2
2022-08-17 09:00:00,55.3,56.7,52.7,53.4
2022-08-18 09:00:00,53.4,54.5,52.7,53.9
2022-08-19 09:00:00,53.9,53.9,46.6,46.8
2022-08-20 09:00:00,46.8,48.3,46.5,47.5
2022-08-21 09:00:00,47.3,49.0,46.8,47.9
2022-08-22 09:00:00,47.9,48.0,44.9,46.9
2022-08-23 09:00:00,46.9,47.2,45.3,47.2
2022-08-24 09:00:00,47.0,48.7,46.2,47.4
2022-08-25 09:00:00,47.4,49.7,47.2,48.6
2022-08-26 09:00:00,48.5,49.0,43.6,44.3
2022-08-27 09:00:00,44.4,44.9,43.5,44.6
2022-08-28 09:00:00,44.5,46.6,43.3,43.7
2022-08-29 09:00:00,43.6,45.3,43.0,44.9
2022-08-30 09:00:00,44.8,46.8,44.0,45.3
2022-08-31 09:00:00,45.1,46.1,44.4,45.2
2022-09-01 09:00:00,45.0,45.3,43.6,44.9
2022-09-02 09:00:00,44.9,47.8,44.2,44.9
2022-09-03 09:00:00,44.8,45.3,44.3,44.9
2022-09-04 09:00:00,44.7,45.0,44.2,44.9
2022-09-05 09:00:00,44.9,44.9,44.1,44.7
2022-09-06 09:00:00,44.8,45.2,42.9,43.0
2022-09-07 09:00:00,43.2,44.2,42.3,43.8
2022-09-08 09:00:00,43.7,48.6,43.6,44.7
2022-09-09 09:00:00,44.7,46.7,44.5,46.5
2022-09-10 09:00:00,46.4,51.7,46.0,47.7
2022-09-11 09:00:00,47.7,59.4,46.9,51.4
2022-09-12 09:00:00,51.4,53.2,48.8,49.4
2022-09-13 09:00:00,49.4,50.3,45.1,45.2
2022-09-14 09:00:00,45.3,46.2,44.6,45.7
2022-09-15 09:00:00,45.7,45.9,44.4,44.8
2022-09-16 09:00:00,44.8,46.7,44.4,44.9
2022-09-17 09:00:00,45.0,46.0,44.8,45.3
2022-09-18 09:00:00,45.2,46.3,42.9,43.2
2022-09-19 09:00:00,43.2,43.5,41.7,43.4
2022-09-20 09:00:00,43.3,43.5,42.4,42.8
2022-09-21 09:00:00,42.8,44.8,42.3,43.0
2022-09-22 09:00:00,43.1,44.2,42.4,44.2
2022-09-23 09:00:00,44.2,44.5,43.5,44.3
2022-09-24 09:00:00,44.3,44.6,44.0,44.3
2022-09-25 09:00:00,44.3,44.8,43.4,43.7
2022-09-26 09:00:00,43.5,43.6,42.6,43.3
2022-09-27 09:00:00,43.4,44.1,42.8,43.3
2022-09-28 09:00:00,43.2,43.8,42.1,43.4
2022-09-29 09:00:00,43.4,43.8,42.7,43.3
2022-09-30 09:00:00,43.2,43.5,42.7,43.2
2022-10-01 09:00:00,43.1,43.5,42.9,43.1
2022-10-02 09:00:00,43.0,45.5,42.7,43.5
2022-10-03 09:00:00,43.4,43.7,42.9,43.6
2022-10-04 09:00:00,43.7,44.8,43.1,43.8
2022-10-05 09:00:00,43.9,43.9,42.7,43.1
2022-10-06 09:00:00,43.2,43.4,42.7,43.0
2022-10-07 09:00:00,42.9,44.1,42.3,42.9
2022-10-08 09:00:00,43.1,44.2,42.8,43.3
2022-10-09 09:00:00,43.3,43.7,42.8,43.2
2022-10-10 09:00:00,43.3,44.4,42.1,42.3
2022-10-11 09:00:00,42.3,42.4,40.9,41.3
2022-10-12 09:00:00,41.4,42.1,41.1,41.3
2022-10-13 09:00:00,41.3,41.4,37.4,40.1
2022-10-14 09:00:00,40.1,40.7,39.1,40.0
2022-10-15 09:00:00,39.9,41.2,39.6,40.5
2022-10-16 09:00:00,40.5,41.0,40.2,40.4
2022-10-17 09:00:00,40.4,41.2,39.8,41.0
2022-10-18 09:00:00,41.0,42.2,39.5,40.2
2022-10-19 09:00:00,40.2,40.6,38.7,38.9
2022-10-20 09:00:00,38.9,39.2,37.5,37.9
2022-10-21 09:00:00,37.9,38.2,36.1,37.3
2022-10-22 09:00:00,37.3,38.2,36.8,37.3
2022-10-23 09:00:00,37.3,37.9,36.6,37.5
2022-10-24 09:00:00,37.6,37.8,36.2,36.6
2022-10-25 09:00:00,36.6,37.8,36.3,37.2
2022-10-26 09:00:00,37.2,37.8,36.9,37.8
2022-10-27 09:00:00,37.8,37.8,36.8,36.9
2022-10-28 09:00:00,36.9,37.4,36.6,37.4
2022-10-29 09:00:00,37.4,37.8,37.1,37.3
2022-10-30 09:00:00,37.5,38.2,37.0,37.1
2022-10-31 09:00:00,37.1,38.4,36.7,37.3
2022-11-01 09:00:00,37.3,37.5,36.9,37.1
2022-11-02 09:00:00,37.1,37.5,36.3,36.7
2022-11-03 09:00:00,36.6,38.2,36.5,37.4
2022-11-04 09:00:00,37.5,38.5,37.2,38.4
2022-11-05 09:00:00,38.4,38.9,38.1,38.5
2022-11-06 09:00:00,38.6,39.6,37.3,37.5
2022-11-07 09:00:00,37.4,37.6,36.8,37.4
2022-11-08 09:00:00,37.3,37.3,29.7,31.5
2022-11-09 09:00:00,31.5,32.4,21.4,22.6
2022-11-10 09:00:00,22.7,26.5,22.3,26.3
2022-11-11 09:00:00,26.3,26.8,23.5,24.5
2022-11-12 09:00:00,24.5,27.8,23.7,24.9
2022-11-13 09:00:00,24.5,24.9,21.7,22.7
2022-11-14 09:00:00,22.7,23.9,20.0,22.3
2022-11-15 09:00:00,22.3,24.4,22.0,23.1
2022-11-16 09:00:00,23.0,23.7,22.2,23.3
2022-11-17 09:00:00,23.2,23.4,22.3,22.8
2022-11-18 09:00:00,22.8,23.4,22.8,23.3
2022-11-19 09:00:00,23.2,34.1,23.1,26.3
2022-11-20 09:00:00,26.3,29.2,23.8,24.3
2022-11-21 09:00:00,24.3,24.7,22.9,23.7
2022-11-22 09:00:00,23.6,24.0,22.5,23.9
2022-11-23 09:00:00,23.9,24.8,23.6,24.6
2022-11-24 09:00:00,24.6,27.5,23.3,24.5
2022-11-25 09:00:00,24.5,24.7,23.2,24.4
2022-11-26 09:00:00,24.4,25.3,24.1,24.7
2022-11-27 09:00:00,24.7,25.4,24.5,25.0
2022-11-28 09:00:00,25.0,26.8,23.4,24.4
2022-11-29 09:00:00,24.4,24.6,24.0,24.4
2022-11-30 09:00:00,24.3,26.1,24.3,25.4
2022-12-01 09:00:00,25.4,27.3,24.5,24.8
2022-12-02 09:00:00,24.8,24.9,24.0,24.7
2022-12-03 09:00:00,24.7,25.0,24.5,24.7
2022-12-04 09:00:00,24.7,25.0,24.3,24.8
2022-12-05 09:00:00,24.8,24.9,24.2,24.3
2022-12-06 09:00:00,24.3,25.5,24.2,24.6
2022-12-07 09:00:00,24.6,24.7,22.8,23.7
2022-12-08 09:00:00,23.7,25.5,23.4,24.1
2022-12-09 09:00:00,24.2,30.3,24.1,26.7
2022-12-10 09:00:00,26.7,26.7,24.8,24.8
2022-12-11 09:00:00,25.0,25.0,24.2,24.2
2022-12-12 09:00:00,24.3,27.2,24.1,25.1
2022-12-13 09:00:00,25.0,25.1,23.2,24.3
2022-12-14 09:00:00,24.3,24.3,23.8,24.0
2022-12-15 09:00:00,24.0,24.7,23.2,23.7
2022-12-16 09:00:00,23.7,23.9,20.6,21.2
2022-12-17 09:00:00,21.2,21.7,19.8,20.7
2022-12-18 09:00:00,20.8,23.5,20.7,21.1
2022-12-19 09:00:00,21.2,21.4,19.3,19.9
2022-12-20 09:00:00,20.0,23.1,19.6,21.4
2022-12-21 09:00:00,21.4,21.6,20.8,21.1
2022-12-22 09:00:00,21.1,22.1,20.4,21.0
2022-12-23 09:00:00,21.0,22.8,20.7,21.4
2022-12-24 09:00:00,21.3,22.0,21.1,21.5
2022-12-25 09:00:00,21.5,21.6,20.7,20.9
2022-12-26 09:00:00,20.9,20.9,20.0,20.5
2022-12-27 09:00:00,20.4,20.6,19.9,20.1
2022-12-28 09:00:00,20.1,20.4,19.0,19.3
2022-12-29 09:00:00,19.2,19.9,18.5,19.2
2022-12-30 09:00:00,19.3,19.5,18.6,19.3
2022-12-31 09:00:00,19.4,20.9,19.0,20.6
2023-01-01 09:00:00,20.6,20.6,20.0,20.2
2023-01-02 09:00:00,20.2,20.7,19.8,20.4
2023-01-03 09:00:00,20.4,20.8,20.1,20.4
2023-01-04 09:00:00,20.3,21.2,20.2,20.9
2023-01-05 09:00:00,20.9,22.0,20.6,20.9
2023-01-06 09:00:00,20.9,21.2,19.9,20.8
2023-01-07 09:00:00,20.8,20.9,20.6,20.7
2023-01-08 09:00:00,20.8,21.4,20.6,21.3
2023-01-09 09:00:00,21.3,22.3,21.1,21.7
2023-01-10 09:00:00,21.7,26.7,21.7,23.1
2023-01-11 09:00:00,23.2,23.8,22.3,22.8
2023-01-12 09:00:00,22.9,23.6,21.6,23.5
2023-01-13 09:00:00,23.5,25.2,23.2,24.3
2023-01-14 09:00:00,24.3,27.8,23.6,26.0
2023-01-15 09:00:00,26.0,32.9,25.4,28.0
2023-01-16 09:00:00,28.0,28.4,26.1,27.1
2023-01-17 09:00:00,27.2,33.3,27.1,28.3
2023-01-18 09:00:00,28.3,28.3,25.0,25.6
2023-01-19 09:00:00,25.6,27.0,25.0,26.7
2023-01-20 09:00:00,26.6,29.4,26.5,28.5
2023-01-21 09:00:00,28.6,34.2,28.5,28.8
2023-01-22 09:00:00,28.8,31.0,28.4,29.9
2023-01-23 09:00:00,29.9,56.0,29.4,55.6
