,0
Start,2022-08-13 09:00:00
End,2023-09-16 09:00:00
Duration,399 days 00:00:00
Exposure Time [%],91.75
Equity Final [$],12276058.101400001
Equity Peak [$],20330798.820000004
Return [%],22.76058101400001
Buy & Hold Return [%],-67.40458015267176
Return (Ann.) [%],20.577500902393165
Volatility (Ann.) [%],78.08211795538497
Sharpe Ratio,0.2635366642353485
Sortino Ratio,0.5227802205603375
Calmar Ratio,0.3960346875807217
Max. Drawdown [%],-51.958834788174855
Avg. Drawdown [%],-8.618374224585851
Max. Drawdown Duration,201 days 00:00:00
Avg. Drawdown Duration,19 days 00:00:00
# Trades,22
ticker,RANK_8_[LH6.62_HL-68.6]_KRW-HPO
explain,# Explain RANK_8_[LH6.62_HL-68.6]_KRW-HPO 
