,0
Start,2023-07-21 10:45:00
End,2023-07-29 19:00:00
Duration,8 days 08:15:00
Exposure Time [%],94.25
Equity Final [$],9706.972000000003
Equity Peak [$],10079.398000000001
Return [%],-2.930279999999966
Buy & Hold Return [%],-7.641196013289036
Return (Ann.) [%],-75.18905256780984
Volatility (Ann.) [%],14.70418038131828
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-6.725441340841964
Avg. Drawdown [%],-3.5264209231543275
Max. Drawdown Duration,7 days 20:00:00
Avg. Drawdown Duration,3 days 22:15:00
# Trades,29
ticker,RANK-2-KRW-GMT
explain,# Explain RANK-2-KRW-GMT 
