,0
Start,2023-07-21 10:30:00
End,2023-07-29 19:00:00
Duration,8 days 08:30:00
Exposure Time [%],92.875
Equity Final [$],10684.937999999998
Equity Peak [$],10780.937999999998
Return [%],6.849379999999982
Buy & Hold Return [%],6.91358024691358
Return (Ann.) [%],1368.468745481484
Volatility (Ann.) [%],788.1006654140955
Sharpe Ratio,1.7364136404610735
Sortino Ratio,63.26261987802925
Calmar Ratio,261.5433730331873
Max. Drawdown [%],-5.232282239121533
Avg. Drawdown [%],-0.8547760484745712
Max. Drawdown Duration,4 days 07:45:00
Avg. Drawdown Duration,0 days 06:32:00
# Trades,30
ticker,RANK-2-KRW-HIFI
explain,# Explain RANK-2-KRW-HIFI 
