,0
Start,2023-07-21 11:15:00
End,2023-07-29 19:00:00
Duration,8 days 07:45:00
Exposure Time [%],95.5
Equity Final [$],8283.455800000007
Equity Peak [$],10000.0
Return [%],-17.16544199999993
Buy & Hold Return [%],4.512635379061372
Return (Ann.) [%],-99.71510638578705
Volatility (Ann.) [%],0.14359989042219212
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-17.573195999999935
Avg. Drawdown [%],-17.573195999999935
Max. Drawdown Duration,7 days 23:00:00
Avg. Drawdown Duration,7 days 23:00:00
# Trades,37
ticker,RANK-2-KRW-TFUEL
explain,# Explain RANK-2-KRW-TFUEL 
