,0
Start,2023-07-21 10:15:00
End,2023-07-29 19:00:00
Duration,8 days 08:45:00
Exposure Time [%],97.125
Equity Final [$],8079.3907999999965
Equity Peak [$],10962.3984
Return [%],-19.206092000000037
Buy & Hold Return [%],12.885662431941928
Return (Ann.) [%],-99.97616370096534
Volatility (Ann.) [%],0.03825429088092634
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-30.999329489794903
Avg. Drawdown [%],-7.858660886467598
Max. Drawdown Duration,5 days 20:00:00
Avg. Drawdown Duration,1 days 15:00:00
# Trades,43
ticker,RANK-4-KRW-STPT
explain,# Explain RANK-4-KRW-STPT 
