,0
Start,2023-07-21 07:00:00
End,2023-07-29 19:00:00
Duration,8 days 12:00:00
Exposure Time [%],97.125
Equity Final [$],9418.01399999999
Equity Peak [$],10390.595999999992
Return [%],-5.819860000000099
Buy & Hold Return [%],-0.5494505494505495
Return (Ann.) [%],-87.52683312456556
Volatility (Ann.) [%],5.963633576417814
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-10.953077186332749
Avg. Drawdown [%],-2.0121682599979445
Max. Drawdown Duration,5 days 08:00:00
Avg. Drawdown Duration,0 days 17:58:00
# Trades,33
ticker,RANK-5-KRW-ELF
explain,# Explain RANK-5-KRW-ELF 
