,0
Start,2023-07-21 03:45:00
End,2023-07-29 19:00:00
Duration,8 days 15:15:00
Exposure Time [%],96.75
Equity Final [$],9017.912000000002
Equity Peak [$],10000.0
Return [%],-9.82087999999998
Buy & Hold Return [%],-3.8135593220338984
Return (Ann.) [%],-93.67265565138567
Volatility (Ann.) [%],1.173113890134596
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-10.434599999999971
Avg. Drawdown [%],-10.434599999999971
Max. Drawdown Duration,8 days 08:30:00
Avg. Drawdown Duration,8 days 08:30:00
# Trades,32
ticker,RANK-5-KRW-IOTA
explain,# Explain RANK-5-KRW-IOTA 
