,0
Start,2023-07-21 10:30:00
End,2023-07-29 19:00:00
Duration,8 days 08:30:00
Exposure Time [%],96.0
Equity Final [$],9445.898
Equity Peak [$],10480.218000000003
Return [%],-5.541020000000008
Buy & Hold Return [%],-4.477611940298507
Return (Ann.) [%],-91.72559011435384
Volatility (Ann.) [%],4.9001857066407934
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-9.869260353172072
Avg. Drawdown [%],-1.1301523371173132
Max. Drawdown Duration,4 days 13:00:00
Avg. Drawdown Duration,0 days 09:03:00
# Trades,33
ticker,RANK-6-KRW-SXP
explain,# Explain RANK-6-KRW-SXP 
