,0
Start,2023-07-21 11:15:00
End,2023-07-29 19:00:00
Duration,8 days 07:45:00
Exposure Time [%],96.875
Equity Final [$],8960.548400000007
Equity Peak [$],10521.860999999999
Return [%],-10.39451599999993
Buy & Hold Return [%],7.642626480086108
Return (Ann.) [%],-99.50663886293236
Volatility (Ann.) [%],0.4566584025720878
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-16.842425498683088
Avg. Drawdown [%],-6.001361734230434
Max. Drawdown Duration,7 days 21:00:00
Avg. Drawdown Duration,2 days 16:20:00
# Trades,45
ticker,RANK-7-KRW-DOGE
explain,# Explain RANK-7-KRW-DOGE 
